сар,бохирдуулагч,утга_мг_м3
2002-01,Тоосонцор РМ10,
2002-01,Тоосонцор РМ2.5,
2002-02,Тоосонцор РМ10,
2002-02,Тоосонцор РМ2.5,
2002-03,Тоосонцор РМ10,
2002-03,Тоосонцор РМ2.5,
2002-04,Тоосонцор РМ10,
2002-04,Тоосонцор РМ2.5,
2002-05,Тоосонцор РМ10,
2002-05,Тоосонцор РМ2.5,
2002-06,Тоосонцор РМ10,
2002-06,Тоосонцор РМ2.5,
2002-07,Тоосонцор РМ10,
2002-07,Тоосонцор РМ2.5,
2002-08,Тоосонцор РМ10,
2002-08,Тоосонцор РМ2.5,
2002-09,Тоосонцор РМ10,
2002-09,Тоосонцор РМ2.5,
2002-10,Тоосонцор РМ10,
2002-10,Тоосонцор РМ2.5,
2002-11,Тоосонцор РМ10,
2002-11,Тоосонцор РМ2.5,
2002-12,Тоосонцор РМ10,
2002-12,Тоосонцор РМ2.5,
2003-01,Тоосонцор РМ10,
2003-01,Тоосонцор РМ2.5,
2003-02,Тоосонцор РМ10,
2003-02,Тоосонцор РМ2.5,
2003-03,Тоосонцор РМ10,
2003-03,Тоосонцор РМ2.5,
2003-04,Тоосонцор РМ10,
2003-04,Тоосонцор РМ2.5,
2003-05,Тоосонцор РМ10,
2003-05,Тоосонцор РМ2.5,
2003-06,Тоосонцор РМ10,
2003-06,Тоосонцор РМ2.5,
2003-07,Тоосонцор РМ10,
2003-07,Тоосонцор РМ2.5,
2003-08,Тоосонцор РМ10,
2003-08,Тоосонцор РМ2.5,
2003-09,Тоосонцор РМ10,
2003-09,Тоосонцор РМ2.5,
2003-10,Тоосонцор РМ10,
2003-10,Тоосонцор РМ2.5,
2003-11,Тоосонцор РМ10,
2003-11,Тоосонцор РМ2.5,
2003-12,Тоосонцор РМ10,
2003-12,Тоосонцор РМ2.5,
2004-01,Тоосонцор РМ10,
2004-01,Тоосонцор РМ2.5,
2004-02,Тоосонцор РМ10,
2004-02,Тоосонцор РМ2.5,
2004-03,Тоосонцор РМ10,
2004-03,Тоосонцор РМ2.5,
2004-04,Тоосонцор РМ10,
2004-04,Тоосонцор РМ2.5,
2004-05,Тоосонцор РМ10,
2004-05,Тоосонцор РМ2.5,
2004-06,Тоосонцор РМ10,
2004-06,Тоосонцор РМ2.5,
2004-07,Тоосонцор РМ10,
2004-07,Тоосонцор РМ2.5,
2004-08,Тоосонцор РМ10,
2004-08,Тоосонцор РМ2.5,
2004-09,Тоосонцор РМ10,
2004-09,Тоосонцор РМ2.5,
2004-10,Тоосонцор РМ10,
2004-10,Тоосонцор РМ2.5,
2004-11,Тоосонцор РМ10,
2004-11,Тоосонцор РМ2.5,
2004-12,Тоосонцор РМ10,
2004-12,Тоосонцор РМ2.5,
2005-01,Тоосонцор РМ10,
2005-01,Тоосонцор РМ2.5,
2005-02,Тоосонцор РМ10,
2005-02,Тоосонцор РМ2.5,
2005-03,Тоосонцор РМ10,
2005-03,Тоосонцор РМ2.5,
2005-04,Тоосонцор РМ10,
2005-04,Тоосонцор РМ2.5,
2005-05,Тоосонцор РМ10,
2005-05,Тоосонцор РМ2.5,
2005-06,Тоосонцор РМ10,
2005-06,Тоосонцор РМ2.5,
2005-07,Тоосонцор РМ10,
2005-07,Тоосонцор РМ2.5,
2005-08,Тоосонцор РМ10,
2005-08,Тоосонцор РМ2.5,
2005-09,Тоосонцор РМ10,
2005-09,Тоосонцор РМ2.5,
2005-10,Тоосонцор РМ10,
2005-10,Тоосонцор РМ2.5,
2005-11,Тоосонцор РМ10,
2005-11,Тоосонцор РМ2.5,
2005-12,Тоосонцор РМ10,
2005-12,Тоосонцор РМ2.5,
2006-01,Тоосонцор РМ10,
2006-01,Тоосонцор РМ2.5,
2006-02,Тоосонцор РМ10,
2006-02,Тоосонцор РМ2.5,
2006-03,Тоосонцор РМ10,
2006-03,Тоосонцор РМ2.5,
2006-04,Тоосонцор РМ10,
2006-04,Тоосонцор РМ2.5,
2006-05,Тоосонцор РМ10,
