month,metric,value
2009-01,Exports,170.077
2009-01,Imports,120.737
2009-01,Net Balance,49.34
2009-02,Exports,61.367
2009-02,Imports,73.39
2009-02,Net Balance,-12.023000000000003
2009-03,Exports,89.687
2009-03,Imports,177.608
2009-03,Net Balance,-87.921
2009-04,Exports,121.612
2009-04,Imports,138.543
2009-04,Net Balance,-16.93100000000001
2009-05,Exports,148.378
2009-05,Imports,152.303
2009-05,Net Balance,-3.9250000000000114
2009-06,Exports,169.655
2009-06,Imports,193.242
2009-06,Net Balance,-23.58699999999999
2009-07,Exports,158.936
2009-07,Imports,188.064
2009-07,Net Balance,-29.127999999999982
2009-08,Exports,159.669
2009-08,Imports,178.793
2009-08,Net Balance,-19.123999999999995
2009-09,Exports,183.409
2009-09,Imports,207.447
2009-09,Net Balance,-24.03800000000001
2009-10,Exports,192.912
2009-10,Imports,213.295
2009-10,Net Balance,-20.38299999999998
2009-11,Exports,190.972
2009-11,Imports,199.94
2009-11,Net Balance,-8.96799999999999
2009-12,Exports,234.193
2009-12,Imports,215.701
2009-12,Net Balance,18.49200000000002
2010-01,Exports,163.289
2010-01,Imports,126.362
2010-01,Net Balance,36.92699999999999
2010-02,Exports,148.108
2010-02,Imports,158.84
2010-02,Net Balance,-10.732
2010-03,Exports,187.234
2010-03,Imports,271.049
2010-03,Net Balance,-83.81499999999997
2010-04,Exports,230.355
2010-04,Imports,237.626
2010-04,Net Balance,-7.271000000000015
2010-05,Exports,260.464
2010-05,Imports,219.062
2010-05,Net Balance,41.40199999999999
2010-06,Exports,318.747
2010-06,Imports,295.665
2010-06,Net Balance,23.081999999999997
2010-07,Exports,229.741
2010-07,Imports,302.325
2010-07,Net Balance,-72.58399999999997
2010-08,Exports,255.094
2010-08,Imports,285.441
2010-08,Net Balance,-30.34699999999998
2010-09,Exports,232.035
2010-09,Imports,272.98
2010-09,Net Balance,-40.94500000000002
2010-10,Exports,250.282
2010-10,Imports,271.298
2010-10,Net Balance,-21.01599999999999
2010-11,Exports,274.692
2010-11,Imports,324.677
2010-11,Net Balance,-49.985000000000014
2010-12,Exports,357.839
2010-12,Imports,314.568
2010-12,Net Balance,43.271000000000015
2011-01,Exports,198.506
2011-01,Imports,369.549
2011-01,Net Balance,-171.04299999999998
2011-02,Exports,193.731
2011-02,Imports,267.375
2011-02,Net Balance,-73.644
2011-03,Exports,307.76
2011-03,Imports,481.012
2011-03,Net Balance,-173.252
2011-04,Exports,350.954
2011-04,Imports,511.574
2011-04,Net Balance,-160.62
2011-05,Exports,334.95
2011-05,Imports,547.963
2011-05,Net Balance,-213.013
2011-06,Exports,351.185
2011-06,Imports,620.356
2011-06,Net Balance,-269.171
2011-07,Exports,292.002
2011-07,Imports,721.49
2011-07,Net Balance,-429.488
2011-08,Exports,433.82
2011-08,Imports,762.429
2011-08,Net Balance,-328.609
2011-09,Exports,390.169
2011-09,Imports,667.53
2011-09,Net Balance,-277.361
2011-10,Exports,370.342
2011-10,Imports,542.995
2011-10,Net Balance,-172.65300000000002
2011-11,Exports,396.043
2011-11,Imports,618.792
2011-11,Net Balance,-222.749
2011-12,Exports,436.536
2011-12,Imports,614.088
2011-12,Net Balance,-177.55199999999996
2012-01,Exports,196.728
2012-01,Imports,496.504
2012-01,Net Balance,-299.776
2012-02,Exports,244.758
2012-02,Imports,479.469
2012-02,Net Balance,-234.711
2012-03,Exports,300.897
2012-03,Imports,546.213
2012-03,Net Balance,-245.316
2012-04,Exports,333.878
2012-04,Imports,597.605
2012-04,Net Balance,-263.72700000000003
2012-05,Exports,328.815
2012-05,Imports,664.23
2012-05,Net Balance,-335.415
2012-06,Exports,473.783
2012-06,Imports,594.365
2012-06,Net Balance,-120.582
2012-07,Exports,238.42
2012-07,Imports,663.771
2012-07,Net Balance,-425.351
2012-08,Exports,291.563
2012-08,Imports,698.318
2012-08,Net Balance,-406.755
2012-09,Exports,334.814
2012-09,Imports,574.188
