сар,үзүүлэлт,утга
2009-01,Экспорт,170.077
2009-01,Импорт,120.737
2009-01,Цэвэр тэнцэл,49.34
2009-02,Экспорт,61.367
2009-02,Импорт,73.39
2009-02,Цэвэр тэнцэл,-12.023000000000003
2009-03,Экспорт,89.687
2009-03,Импорт,177.608
2009-03,Цэвэр тэнцэл,-87.921
2009-04,Экспорт,121.612
2009-04,Импорт,138.543
2009-04,Цэвэр тэнцэл,-16.93100000000001
2009-05,Экспорт,148.378
2009-05,Импорт,152.303
2009-05,Цэвэр тэнцэл,-3.9250000000000114
2009-06,Экспорт,169.655
2009-06,Импорт,193.242
2009-06,Цэвэр тэнцэл,-23.58699999999999
2009-07,Экспорт,158.936
2009-07,Импорт,188.064
2009-07,Цэвэр тэнцэл,-29.127999999999982
2009-08,Экспорт,159.669
2009-08,Импорт,178.793
2009-08,Цэвэр тэнцэл,-19.123999999999995
2009-09,Экспорт,183.409
2009-09,Импорт,207.447
2009-09,Цэвэр тэнцэл,-24.03800000000001
2009-10,Экспорт,192.912
2009-10,Импорт,213.295
2009-10,Цэвэр тэнцэл,-20.38299999999998
2009-11,Экспорт,190.972
2009-11,Импорт,199.94
2009-11,Цэвэр тэнцэл,-8.96799999999999
2009-12,Экспорт,234.193
2009-12,Импорт,215.701
2009-12,Цэвэр тэнцэл,18.49200000000002
2010-01,Экспорт,163.289
2010-01,Импорт,126.362
2010-01,Цэвэр тэнцэл,36.92699999999999
2010-02,Экспорт,148.108
2010-02,Импорт,158.84
2010-02,Цэвэр тэнцэл,-10.732
2010-03,Экспорт,187.234
2010-03,Импорт,271.049
2010-03,Цэвэр тэнцэл,-83.81499999999997
2010-04,Экспорт,230.355
2010-04,Импорт,237.626
2010-04,Цэвэр тэнцэл,-7.271000000000015
2010-05,Экспорт,260.464
2010-05,Импорт,219.062
2010-05,Цэвэр тэнцэл,41.40199999999999
2010-06,Экспорт,318.747
2010-06,Импорт,295.665
2010-06,Цэвэр тэнцэл,23.081999999999997
2010-07,Экспорт,229.741
2010-07,Импорт,302.325
2010-07,Цэвэр тэнцэл,-72.58399999999997
2010-08,Экспорт,255.094
2010-08,Импорт,285.441
2010-08,Цэвэр тэнцэл,-30.34699999999998
2010-09,Экспорт,232.035
2010-09,Импорт,272.98
2010-09,Цэвэр тэнцэл,-40.94500000000002
2010-10,Экспорт,250.282
2010-10,Импорт,271.298
2010-10,Цэвэр тэнцэл,-21.01599999999999
2010-11,Экспорт,274.692
2010-11,Импорт,324.677
2010-11,Цэвэр тэнцэл,-49.985000000000014
2010-12,Экспорт,357.839
2010-12,Импорт,314.568
2010-12,Цэвэр тэнцэл,43.271000000000015
2011-01,Экспорт,198.506
2011-01,Импорт,369.549
2011-01,Цэвэр тэнцэл,-171.04299999999998
2011-02,Экспорт,193.731
2011-02,Импорт,267.375
2011-02,Цэвэр тэнцэл,-73.644
2011-03,Экспорт,307.76
2011-03,Импорт,481.012
2011-03,Цэвэр тэнцэл,-173.252
2011-04,Экспорт,350.954
2011-04,Импорт,511.574
2011-04,Цэвэр тэнцэл,-160.62
2011-05,Экспорт,334.95
2011-05,Импорт,547.963
2011-05,Цэвэр тэнцэл,-213.013
2011-06,Экспорт,351.185
2011-06,Импорт,620.356
2011-06,Цэвэр тэнцэл,-269.171
2011-07,Экспорт,292.002
2011-07,Импорт,721.49
2011-07,Цэвэр тэнцэл,-429.488
2011-08,Экспорт,433.82
2011-08,Импорт,762.429
2011-08,Цэвэр тэнцэл,-328.609
2011-09,Экспорт,390.169
2011-09,Импорт,667.53
2011-09,Цэвэр тэнцэл,-277.361
2011-10,Экспорт,370.342
2011-10,Импорт,542.995
2011-10,Цэвэр тэнцэл,-172.65300000000002
2011-11,Экспорт,396.043
2011-11,Импорт,618.792
2011-11,Цэвэр тэнцэл,-222.749
2011-12,Экспорт,436.536
2011-12,Импорт,614.088
2011-12,Цэвэр тэнцэл,-177.55199999999996
2012-01,Экспорт,196.728
2012-01,Импорт,496.504
2012-01,Цэвэр тэнцэл,-299.776
2012-02,Экспорт,244.758
2012-02,Импорт,479.469
2012-02,Цэвэр тэнцэл,-234.711
2012-03,Экспорт,300.897
2012-03,Импорт,546.213
2012-03,Цэвэр тэнцэл,-245.316
2012-04,Экспорт,333.878
2012-04,Импорт,597.605
2012-04,Цэвэр тэнцэл,-263.72700000000003
2012-05,Экспорт,328.815
2012-05,Импорт,664.23
2012-05,Цэвэр тэнцэл,-335.415
2012-06,Экспорт,473.783
2012-06,Импорт,594.365
2012-06,Цэвэр тэнцэл,-120.582
2012-07,Экспорт,238.42
2012-07,Импорт,663.771
2012-07,Цэвэр тэнцэл,-425.351
2012-08,Экспорт,291.563
2012-08,Импорт,698.318
2012-08,Цэвэр тэнцэл,-406.755
2012-09,Экспорт,334.814
2012-09,Импорт,574.188
2012-09,Цэвэр тэнцэл,-239.374
2012-10,Экспорт,392.994
2012-10,Импорт,504.926
2012-10,Цэвэр тэнцэл,-111.93199999999996
2012-11,Экспорт,343.629
2012-11,Импорт,536.275
2012-11,Цэвэр тэнцэл,-192.646
2012-12,Экспорт,320.172
2012-12,Импорт,474.393
2012-12,Цэвэр тэнцэл,-154.22099999999995
2013-01,Экспорт,260.237
2013-01,Импорт,507.204
2013-01,Цэвэр тэнцэл,-246.967
2013-02,Экспорт,191.581
2013-02,Импорт,310.73
2013-02,Цэвэр тэнцэл,-119.14900000000004
2013-03,Экспорт,272.942
2013-03,Импорт,401.652
2013-03,Цэвэр тэнцэл,-128.70999999999998
2013-04,Экспорт,328.399
2013-04,Импорт,537.155
2013-04,Цэвэр тэнцэл,-208.756
2013-05,Экспорт,379.946
2013-05,Импорт,735.295
2013-05,Цэвэр тэнцэл,-355.34899999999993
2013-06,Экспорт,318.346
2013-06,Импорт,593.853
2013-06,Цэвэр тэнцэл,-275.50699999999995
2013-07,Экспорт,308.303
2013-07,Импорт,618.313
2013-07,Цэвэр тэнцэл,-310.01
2013-08,Экспорт,303.783
2013-08,Импорт,587.378
2013-08,Цэвэр тэнцэл,-283.595
2013-09,Экспорт,338.076
2013-09,Импорт,571.897
2013-09,Цэвэр тэнцэл,-233.82100000000003
2013-10,Экспорт,358.179
2013-10,Импорт,539.888
2013-10,Цэвэр тэнцэл,-181.7090000000001
2013-11,Экспорт,353.301
2013-11,Импорт,494.557
2013-11,Цэвэр тэнцэл,-141.25600000000003
2013-12,Экспорт,376.276
2013-12,Импорт,499.55
2013-12,Цэвэр тэнцэл,-123.274
2014-01,Экспорт,292.538
2014-01,Импорт,339.122
2014-01,Цэвэр тэнцэл,-46.584
2014-02,Экспорт,255.225
2014-02,Импорт,280.361
2014-02,Цэвэр тэнцэл,-25.136
2014-03,Экспорт,362.099
2014-03,Импорт,388.436
2014-03,Цэвэр тэнцэл,-26.33699999999999
2014-04,Экспорт,423.826
2014-04,Импорт,530.257
2014-04,Цэвэр тэнцэл,-106.43099999999993
2014-05,Экспорт,472.804
2014-05,Импорт,571.364
2014-05,Цэвэр тэнцэл,-98.56000000000006
2014-06,Экспорт,517.548
2014-06,Импорт,505.679
2014-06,Цэвэр тэнцэл,11.869000000000028
2014-07,Экспорт,444.143
2014-07,Импорт,528.141
2014-07,Цэвэр тэнцэл,-83.99799999999999
2014-08,Экспорт,607.706
2014-08,Импорт,467.141
2014-08,Цэвэр тэнцэл,140.565
2014-09,Экспорт,431.414
2014-09,Импорт,477.595
2014-09,Цэвэр тэнцэл,-46.18100000000004
2014-10,Экспорт,554.474
2014-10,Импорт,433.682
2014-10,Цэвэр тэнцэл,120.79200000000004
2014-11,Экспорт,556.153
2014-11,Импорт,371.117
2014-11,Цэвэр тэнцэл,185.036
2014-12,Экспорт,552.918
2014-12,Импорт,400.24
2014-12,Цэвэр тэнцэл,152.678
2015-01,Экспорт,384.536
2015-01,Импорт,255.374
2015-01,Цэвэр тэнцэл,129.162
2015-02,Экспорт,360.462
2015-02,Импорт,220.99
2015-02,Цэвэр тэнцэл,139.47199999999998
2015-03,Экспорт,359.468
2015-03,Импорт,243.859
2015-03,Цэвэр тэнцэл,115.609
2015-04,Экспорт,376.174
2015-04,Импорт,338.862
2015-04,Цэвэр тэнцэл,37.31199999999996
2015-05,Экспорт,322.857
2015-05,Импорт,416.624
2015-05,Цэвэр тэнцэл,-93.767
2015-06,Экспорт,470.263
2015-06,Импорт,398.74
2015-06,Цэвэр тэнцэл,71.52299999999997
2015-07,Экспорт,394.79
2015-07,Импорт,372.901
2015-07,Цэвэр тэнцэл,21.88900000000001
2015-08,Экспорт,432.899
2015-08,Импорт,349.815
2015-08,Цэвэр тэнцэл,83.084
2015-09,Экспорт,316.672
2015-09,Импорт,323.867
2015-09,Цэвэр тэнцэл,-7.194999999999993
2015-10,Экспорт,339.582
2015-10,Импорт,314.659
2015-10,Цэвэр тэнцэл,24.923
2015-11,Экспорт,259.983
2015-11,Импорт,338.831
2015-11,Цэвэр тэнцэл,-78.84800000000001
2015-12,Экспорт,428.716
2015-12,Импорт,309.276
2015-12,Цэвэр тэнцэл,119.44
2016-01,Экспорт,298.43
2016-01,Импорт,211.003
2016-01,Цэвэр тэнцэл,87.42700000000002
2016-02,Экспорт,308.654
2016-02,Импорт,156.652
2016-02,Цэвэр тэнцэл,152.002
2016-03,Экспорт,385.268
2016-03,Импорт,251.259
2016-03,Цэвэр тэнцэл,134.009
2016-04,Экспорт,384.762
2016-04,Импорт,275.613
2016-04,Цэвэр тэнцэл,109.149
2016-05,Экспорт,370.374
2016-05,Импорт,316.216
2016-05,Цэвэр тэнцэл,54.158000000000015
2016-06,Экспорт,426.801
2016-06,Импорт,341.786
2016-06,Цэвэр тэнцэл,85.01499999999999
2016-07,Экспорт,332.767
2016-07,Импорт,339.31
2016-07,Цэвэр тэнцэл,-6.543000000000006
2016-08,Экспорт,411.272
2016-08,Импорт,357.993
2016-08,Цэвэр тэнцэл,53.279
2016-09,Экспорт,348.485
2016-09,Импорт,285.019
2016-09,Цэвэр тэнцэл,63.46600000000001
2016-10,Экспорт,349.559
2016-10,Импорт,327.022
2016-10,Цэвэр тэнцэл,22.537000000000035
2016-11,Экспорт,550.289
2016-11,Импорт,318.009
2016-11,Цэвэр тэнцэл,232.28
2016-12,Экспорт,637.317
2016-12,Импорт,286.312
2016-12,Цэвэр тэнцэл,351.005
2017-01,Экспорт,394.603
2017-01,Импорт,285.239
2017-01,Цэвэр тэнцэл,109.36400000000005
2017-02,Экспорт,397.911
2017-02,Импорт,219.181
2017-02,Цэвэр тэнцэл,178.73
2017-03,Экспорт,417.249
2017-03,Импорт,280.01
2017-03,Цэвэр тэнцэл,137.23900000000003
2017-04,Экспорт,537.867
2017-04,Импорт,343.112
2017-04,Цэвэр тэнцэл,194.75499999999997
2017-05,Экспорт,604.753
2017-05,Импорт,380.539
2017-05,Цэвэр тэнцэл,224.21400000000008
2017-06,Экспорт,539.93
2017-06,Импорт,428.314
2017-06,Цэвэр тэнцэл,111.61599999999991
2017-07,Экспорт,376.032
2017-07,Импорт,405.047
2017-07,Цэвэр тэнцэл,-29.015000000000043
2017-08,Экспорт,583.952
2017-08,Импорт,422.555
2017-08,Цэвэр тэнцэл,161.397
2017-09,Экспорт,460.809
2017-09,Импорт,376.937
2017-09,Цэвэр тэнцэл,83.87200000000001
2017-10,Экспорт,576.138
2017-10,Импорт,398.605
2017-10,Цэвэр тэнцэл,177.53300000000002
2017-11,Экспорт,450.489
2017-11,Импорт,374.245
2017-11,Цэвэр тэнцэл,76.24399999999997
2017-12,Экспорт,494.576
2017-12,Импорт,426.853
2017-12,Цэвэр тэнцэл,67.72300000000001
2018-01,Экспорт,425.937
2018-01,Импорт,364.802
2018-01,Цэвэр тэнцэл,61.13499999999999
2018-02,Экспорт,330.848
2018-02,Импорт,361.494
2018-02,Цэвэр тэнцэл,-30.64600000000001
