date,category,cpi_index
2010-01,Miscellaneous goods and services,50.6
2010-01,Food and non-alcoholic beverages,40.8
2010-01,Health,53.0
2010-01,Communication,90.5
2010-01,Recreation and culture,65.0
2010-01,"Alcoholic beverages, tobacco",39.9
2010-01,"Furnishings, household equipment",49.6
2010-01,Education,28.7
2010-01,"Housing, water, electricity and fuels",42.7
2010-01,Restaurants and hotels,41.2
2010-01,"Clothing, footwear and cloth",40.7
2010-01,Transport,63.8
2010-02,Health,52.8
2010-02,Recreation and culture,65.0
2010-02,Communication,90.8
2010-02,"Furnishings, household equipment",49.8
2010-02,"Alcoholic beverages, tobacco",40.0
2010-02,"Clothing, footwear and cloth",41.0
2010-02,Restaurants and hotels,42.6
2010-02,Transport,63.8
2010-02,Miscellaneous goods and services,50.5
2010-02,Food and non-alcoholic beverages,42.7
2010-02,Education,28.7
2010-02,"Housing, water, electricity and fuels",43.3
2010-03,Education,28.7
2010-03,Health,52.8
2010-03,"Housing, water, electricity and fuels",43.3
2010-03,Restaurants and hotels,43.8
2010-03,"Furnishings, household equipment",50.4
2010-03,Recreation and culture,65.4
2010-03,"Alcoholic beverages, tobacco",40.1
2010-03,Communication,98.4
2010-03,"Clothing, footwear and cloth",41.7
2010-03,Transport,63.2
2010-03,Miscellaneous goods and services,51.1
2010-03,Food and non-alcoholic beverages,45.4
2010-04,Communication,103.1
2010-04,"Furnishings, household equipment",50.6
2010-04,Restaurants and hotels,44.0
2010-04,Transport,63.8
2010-04,Recreation and culture,65.6
2010-04,Miscellaneous goods and services,51.5
2010-04,"Clothing, footwear and cloth",41.7
2010-04,"Alcoholic beverages, tobacco",40.0
2010-04,Health,53.0
2010-04,Education,28.7
2010-04,"Housing, water, electricity and fuels",42.8
2010-04,Food and non-alcoholic beverages,47.3
2010-05,Restaurants and hotels,44.1
2010-05,Education,28.7
2010-05,Food and non-alcoholic beverages,49.3
2010-05,"Furnishings, household equipment",51.0
2010-05,"Housing, water, electricity and fuels",42.7
2010-05,"Clothing, footwear and cloth",42.0
2010-05,Miscellaneous goods and services,51.8
2010-05,Health,53.0
2010-05,Communication,103.2
2010-05,Transport,63.8
2010-05,Recreation and culture,65.8
2010-05,"Alcoholic beverages, tobacco",40.1
2010-06,"Clothing, footwear and cloth",42.2
2010-06,Communication,103.1
2010-06,"Alcoholic beverages, tobacco",40.3
2010-06,Education,28.7
2010-06,Recreation and culture,65.9
2010-06,Health,53.2
2010-06,Restaurants and hotels,44.5
2010-06,Transport,64.3
2010-06,Food and non-alcoholic beverages,52.4
2010-06,"Furnishings, household equipment",51.1
2010-06,Miscellaneous goods and services,51.7
2010-06,"Housing, water, electricity and fuels",42.9
2010-07,"Housing, water, electricity and fuels",44.3
2010-07,Health,53.5
2010-07,Communication,103.8
2010-07,Miscellaneous goods and services,51.6
2010-07,"Furnishings, household equipment",51.5
2010-07,Restaurants and hotels,44.9
2010-07,Recreation and culture,65.6
2010-07,Transport,64.5
2010-07,"Clothing, footwear and cloth",42.2
2010-07,"Alcoholic beverages, tobacco",40.3
2010-07,Food and non-alcoholic beverages,50.3
2010-07,Education,28.7
2010-08,Education,28.7
2010-08,"Furnishings, household equipment",51.7
2010-08,Health,53.5
2010-08,"Alcoholic beverages, tobacco",40.4
2010-08,Miscellaneous goods and services,51.9
2010-08,Recreation and culture,65.5
2010-08,"Housing, water, electricity and fuels",44.4
2010-08,Food and non-alcoholic beverages,47.1
2010-08,Communication,103.8
2010-08,Restaurants and hotels,45.3
2010-08,"Clothing, footwear and cloth",42.6
2010-08,Transport,64.4
2010-09,Communication,103.8
2010-09,"Furnishings, household equipment",52.0
2010-09,Restaurants and hotels,45.5
2010-09,Recreation and culture,65.8
2010-09,Transport,64.3
2010-09,Education,33.8
2010-09,"Housing, water, electricity and fuels",45.8
2010-09,"Clothing, footwear and cloth",42.8
2010-09,Miscellaneous goods and services,52.0
2010-09,Health,53.6
2010-09,"Alcoholic beverages, tobacco",40.7
2010-09,Food and non-alcoholic beverages,46.2
2010-10,"Clothing, footwear and cloth",43.1
2010-10,Transport,64.3
2010-10,"Alcoholic beverages, tobacco",40.7
2010-10,Recreation and culture,66.0
2010-10,Food and non-alcoholic beverages,45.2
2010-10,Health,53.6
2010-10,Education,34.1
2010-10,Restaurants and hotels,45.5
2010-10,"Furnishings, household equipment",52.1
2010-10,"Housing, water, electricity and fuels",46.1
2010-10,Communication,103.7
2010-10,Miscellaneous goods and services,52.3
2010-11,Restaurants and hotels,46.3
2010-11,"Housing, water, electricity and fuels",46.9
2010-11,"Clothing, footwear and cloth",43.7
2010-11,Transport,64.3
2010-11,Miscellaneous goods and services,52.4
2010-11,"Alcoholic beverages, tobacco",40.9
2010-11,Recreation and culture,66.3
2010-11,Food and non-alcoholic beverages,45.0
2010-11,"Furnishings, household equipment",53.1
2010-11,Communication,103.7
2010-11,Health,53.9
2010-11,Education,34.1
2010-12,Food and non-alcoholic beverages,46.0
2010-12,"Housing, water, electricity and fuels",47.9
2010-12,"Furnishings, household equipment",52.9
2010-12,Transport,64.6
2010-12,"Alcoholic beverages, tobacco",41.2
2010-12,Education,34.1
2010-12,Communication,103.7
2010-12,Recreation and culture,66.4
2010-12,"Clothing, footwear and cloth",44.5
2010-12,Restaurants and hotels,46.3
2010-12,Health,53.7
2010-12,Miscellaneous goods and services,52.6
2011-01,"Clothing, footwear and cloth",44.9
2011-01,Transport,64.7
2011-01,"Housing, water, electricity and fuels",48.1
2011-01,Health,53.8
2011-01,Food and non-alcoholic beverages,48.4
2011-01,"Furnishings, household equipment",52.9
2011-01,Restaurants and hotels,46.4
2011-01,Communication,103.7
2011-01,Recreation and culture,66.5
2011-01,Miscellaneous goods and services,52.7
2011-01,"Alcoholic beverages, tobacco",41.5
2011-01,Education,34.1
2011-02,Restaurants and hotels,46.5
2011-02,"Alcoholic beverages, tobacco",42.1
2011-02,"Clothing, footwear and cloth",45.1
2011-02,Health,53.9
2011-02,Communication,103.7
2011-02,"Housing, water, electricity and fuels",47.8
2011-02,Education,34.1
2011-02,"Furnishings, household equipment",53.1
2011-02,Recreation and culture,66.6
2011-02,Miscellaneous goods and services,52.8
2011-02,Food and non-alcoholic beverages,50.7
2011-02,Transport,64.7
2011-03,Education,34.1
2011-03,"Clothing, footwear and cloth",45.4
2011-03,"Housing, water, electricity and fuels",47.6
2011-03,Miscellaneous goods and services,52.8
2011-03,Transport,65.7
2011-03,"Alcoholic beverages, tobacco",42.2
2011-03,Restaurants and hotels,46.5
2011-03,Food and non-alcoholic beverages,51.2
2011-03,Health,54.3
2011-03,Communication,103.8
2011-03,Recreation and culture,66.6
2011-03,"Furnishings, household equipment",53.1
2011-04,Miscellaneous goods and services,52.9
2011-04,Restaurants and hotels,46.7
2011-04,Health,54.4
2011-04,Recreation and culture,66.8
2011-04,"Furnishings, household equipment",53.3
2011-04,"Housing, water, electricity and fuels",47.2
2011-04,Education,34.1
2011-04,Communication,103.8
2011-04,Food and non-alcoholic beverages,50.4
2011-04,"Clothing, footwear and cloth",45.6
2011-04,"Alcoholic beverages, tobacco",42.2
2011-04,Transport,65.9
2011-05,Transport,66.0
