code,khoroo,district_code,district,area_km2,lon,lat
1101,1-r khoroo,11,Nalaikh,60.082,107.327303,47.816137
1102,2-r khoroo,11,Nalaikh,0.482,107.254291,47.771655
1103,3-r khoroo,11,Nalaikh,177.597,107.35137,47.702944
1104,4-r khoroo,11,Nalaikh,11.502,107.300412,47.775488
1105,5-r khoroo,11,Nalaikh,178.142,107.453524,47.784893
1106,6-r khoroo,11,Nalaikh,252.111,107.478443,47.913785
1107,7-r khoroo,11,Nalaikh,4.376,107.235602,47.77926
1108,8-r khoroo,11,Nalaikh,1.688,107.247693,47.766067
1201,1-r khoroo,12,Baganuur,92.502,108.291033,47.85464
1202,2-r khoroo,12,Baganuur,97.129,108.268725,47.774829
1203,3-r khoroo,12,Baganuur,103.072,108.353234,47.716723
1204,4-r khoroo,12,Baganuur,202.074,108.349446,47.90812
1205,5-r khoroo,12,Baganuur,103.766,108.446223,47.785781
1301,1-r khoroo,13,Bayanzurkh,0.389,106.936115,47.926159
1302,2-r khoroo,13,Bayanzurkh,1.876,106.942769,47.933934
1303,3-r khoroo,13,Bayanzurkh,0.482,106.936821,47.921051
1304,4-r khoroo,13,Bayanzurkh,0.415,106.949572,47.921127
1305,5-r khoroo,13,Bayanzurkh,0.295,106.962555,47.920306
1306,6-r khoroo,13,Bayanzurkh,0.272,106.932881,47.915666
1307,7-r khoroo,13,Bayanzurkh,0.201,106.943798,47.92291
1308,8-r khoroo,13,Bayanzurkh,0.948,107.001316,47.917872
1309,9-r khoroo,13,Bayanzurkh,1.037,107.001166,47.934485
1310,10-r khoroo,13,Bayanzurkh,3.275,107.017211,47.915492
1311,11-r khoroo,13,Bayanzurkh,355.097,107.078856,47.811115
1312,12-r khoroo,13,Bayanzurkh,1.39,107.005069,47.907095
1313,13-r khoroo,13,Bayanzurkh,1.015,106.967624,47.912049
1314,14-r khoroo,13,Bayanzurkh,0.675,106.951412,47.915207
1315,15-r khoroo,13,Bayanzurkh,0.163,106.939658,47.917515
1316,16-r khoroo,13,Bayanzurkh,0.425,106.978802,47.919308
1317,17-r khoroo,13,Bayanzurkh,1.007,107.006434,47.926345
1318,18-r khoroo,13,Bayanzurkh,0.24,106.939884,47.914469
1319,19-r khoroo,13,Bayanzurkh,2.188,106.980584,47.936123
1320,20-r khoroo,13,Bayanzurkh,308.019,107.269524,47.922877
1321,21-r khoroo,13,Bayanzurkh,10.291,106.966079,47.963559
1322,22-r khoroo,13,Bayanzurkh,0.583,106.969449,47.919888
1323,23-r khoroo,13,Bayanzurkh,2.242,107.034626,47.913466
1324,24-r khoroo,13,Bayanzurkh,7.352,106.996279,47.956488
1325,25-r khoroo,13,Bayanzurkh,0.217,106.940902,47.910092
1326,26-r khoroo,13,Bayanzurkh,9.275,106.968992,47.896343
1327,27-r khoroo,13,Bayanzurkh,2.903,106.948462,47.947614
1328,28-r khoroo,13,Bayanzurkh,16.401,107.068376,47.919418
1329,29-r khoroo,13,Bayanzurkh,1.22,106.93051,47.948702
1330,30-r khoroo,13,Bayanzurkh,1.533,106.95452,47.93231
1331,31-r khoroo,13,Bayanzurkh,1.629,106.963536,47.938279
1332,32-r khoroo,13,Bayanzurkh,1.401,106.970722,47.934681
1333,33-r khoroo,13,Bayanzurkh,223.571,107.189958,48.031232
1334,34-r khoroo,13,Bayanzurkh,8.67,107.014613,47.955616
1335,35-r khoroo,13,Bayanzurkh,243.97,107.073334,48.092508
1336,36-r khoroo,13,Bayanzurkh,2.548,106.985022,47.903126
1337,37-r khoroo,13,Bayanzurkh,1.256,106.985016,47.908236
1338,38-r khoroo,13,Bayanzurkh,0.654,106.99084,47.917188
1339,39-r khoroo,13,Bayanzurkh,0.42,106.980545,47.915058
1340,40-r khoroo,13,Bayanzurkh,0.47,106.984917,47.922034
1341,41-r khoroo,13,Bayanzurkh,0.329,106.956851,47.920381
1342,42-r khoroo,13,Bayanzurkh,0.795,106.952446,47.909942
1343,43-r khoroo,13,Bayanzurkh,0.315,106.934709,47.910275
1401,1-r khoroo,14,Sukhbaatar,1.47,106.920986,47.912799
1402,2-r khoroo,14,Sukhbaatar,0.197,106.909738,47.91121
