код,хороо,дүүргийн_код,дүүрэг,сургуулийн_тоо
1101,1-р хороо,11,Налайх,1
1102,2-р хороо,11,Налайх,1
1103,3-р хороо,11,Налайх,1
1104,4-р хороо,11,Налайх,0
1105,5-р хороо,11,Налайх,1
1106,6-р хороо,11,Налайх,1
1107,7-р хороо,11,Налайх,1
1108,8-р хороо,11,Налайх,4
1201,1-р хороо,12,Багануур,2
1202,2-р хороо,12,Багануур,0
1203,3-р хороо,12,Багануур,3
1204,4-р хороо,12,Багануур,1
1205,5-р хороо,12,Багануур,1
1301,1-р хороо,13,Баянзүрх,5
1302,2-р хороо,13,Баянзүрх,0
1303,3-р хороо,13,Баянзүрх,4
1304,4-р хороо,13,Баянзүрх,2
1305,5-р хороо,13,Баянзүрх,1
1306,6-р хороо,13,Баянзүрх,2
1307,7-р хороо,13,Баянзүрх,0
1308,8-р хороо,13,Баянзүрх,6
1309,9-р хороо,13,Баянзүрх,1
1310,10-р хороо,13,Баянзүрх,0
1311,11-р хороо,13,Баянзүрх,2
1312,12-р хороо,13,Баянзүрх,0
1313,13-р хороо,13,Баянзүрх,4
1314,14-р хороо,13,Баянзүрх,1
1315,15-р хороо,13,Баянзүрх,3
1316,16-р хороо,13,Баянзүрх,3
1317,17-р хороо,13,Баянзүрх,0
1318,18-р хороо,13,Баянзүрх,3
1319,19-р хороо,13,Баянзүрх,1
1320,20-р хороо,13,Баянзүрх,1
1321,21-р хороо,13,Баянзүрх,1
1322,22-р хороо,13,Баянзүрх,0
1323,23-р хороо,13,Баянзүрх,2
1324,24-р хороо,13,Баянзүрх,0
1325,25-р хороо,13,Баянзүрх,6
1326,26-р хороо,13,Баянзүрх,5
1327,27-р хороо,13,Баянзүрх,1
1328,28-р хороо,13,Баянзүрх,2
1329,29-р хороо,13,Баянзүрх,1
1330,30-р хороо,13,Баянзүрх,1
1331,31-р хороо,13,Баянзүрх,0
1332,32-р хороо,13,Баянзүрх,2
1333,33-р хороо,13,Баянзүрх,0
1334,34-р хороо,13,Баянзүрх,2
1335,35-р хороо,13,Баянзүрх,0
1336,36-р хороо,13,Баянзүрх,0
1337,37-р хороо,13,Баянзүрх,0
1338,38-р хороо,13,Баянзүрх,2
1339,39-р хороо,13,Баянзүрх,1
1340,40-р хороо,13,Баянзүрх,1
1341,41-р хороо,13,Баянзүрх,1
1342,42-р хороо,13,Баянзүрх,0
1343,43-р хороо,13,Баянзүрх,1
1401,1-р хороо,14,Сүхбаатар,6
1402,2-р хороо,14,Сүхбаатар,8
1403,3-р хороо,14,Сүхбаатар,2
1404,4-р хороо,14,Сүхбаатар,2
1405,5-р хороо,14,Сүхбаатар,2
1406,6-р хороо,14,Сүхбаатар,4
1407,7-р хороо,14,Сүхбаатар,6
1408,8-р хороо,14,Сүхбаатар,10
1409,9-р хороо,14,Сүхбаатар,2
1410,10-р хороо,14,Сүхбаатар,6
1411,11-р хороо,14,Сүхбаатар,5
1412,12-р хороо,14,Сүхбаатар,0
1413,13-р хороо,14,Сүхбаатар,0
1414,14-р хороо,14,Сүхбаатар,3
1415,15-р хороо,14,Сүхбаатар,2
1416,16-р хороо,14,Сүхбаатар,0
1417,17-р хороо,14,Сүхбаатар,1
1418,18-р хороо,14,Сүхбаатар,1
1419,19-р хороо,14,Сүхбаатар,0
1420,20-р хороо,14,Сүхбаатар,0
1501,1-р хороо,15,Чингэлтэй,2
1502,2-р хороо,15,Чингэлтэй,1
1503,3-р хороо,15,Чингэлтэй,2
1504,4-р хороо,15,Чингэлтэй,4
1505,5-р хороо,15,Чингэлтэй,4
1506,6-р хороо,15,Чингэлтэй,2
1507,7-р хороо,15,Чингэлтэй,0
1508,8-р хороо,15,Чингэлтэй,0
1509,9-р хороо,15,Чингэлтэй,0
1510,10-р хороо,15,Чингэлтэй,2
1511,11-р хороо,15,Чингэлтэй,1
1512,12-р хороо,15,Чингэлтэй,2
1513,13-р хороо,15,Чингэлтэй,3
1514,14-р хороо,15,Чингэлтэй,0
1515,15-р хороо,15,Чингэлтэй,2
1516,16-р хороо,15,Чингэлтэй,0
1517,17-р хороо,15,Чингэлтэй,2
1518,18-р хороо,15,Чингэлтэй,0
1519,19-р хороо,15,Чингэлтэй,0
1520,20-р хороо,15,Чингэлтэй,0
1521,21-р хороо,15,Чингэлтэй,1
1522,22-р хороо,15,Чингэлтэй,1
1523,23-р хороо,15,Чингэлтэй,1
1524,24-р хороо,15,Чингэлтэй,1
1528,28-р хороо,18,Сонгинохайрхан,0
1601,1-р хороо,16,Баянгол,0
1602,2-р хороо,16,Баянгол,3
1603,3-р хороо,16,Баянгол,3
1604,4-р хороо,16,Баянгол,3
1605,5-р хороо,16,Баянгол,1
1606,6-р хороо,16,Баянгол,3
1607,7-р хороо,16,Баянгол,4
1608,8-р хороо,16,Баянгол,2
1609,9-р хороо,16,Баянгол,0
1610,10-р хороо,16,Баянгол,1
1611,11-р хороо,16,Баянгол,7
1612,12-р хороо,16,Баянгол,0
1613,13-р хороо,16,Баянгол,3
1614,14-р хороо,16,Баянгол,0
1615,15-р хороо,16,Баянгол,1
1616,16-р хороо,16,Баянгол,0
1617,17-р хороо,16,Баянгол,2
1618,18-р хороо,16,Баянгол,4
1619,19-р хороо,16,Баянгол,1
1620,20-р хороо,16,Баянгол,2
1621,21-р хороо,16,Баянгол,0
1622,22-р хороо,16,Баянгол,0
1623,23-р хороо,16,Баянгол,0
1624,24-р хороо,16,Баянгол,1
1625,25-р хороо,16,Баянгол,1
1626,26-р хороо,16,Баянгол,3
1627,27-р хороо,16,Баянгол,2
1628,28-р хороо,16,Баянгол,1
1629,29-р хороо,16,Баянгол,1
1630,30-р хороо,16,Баянгол,1
1631,31-р хороо,16,Баянгол,0
1632,32-р хороо,16,Баянгол,2
1633,33-р хороо,16,Баянгол,6
1634,34-р хороо,16,Баянгол,1
1701,1-р хороо,17,Хан-Уул,2
1702,2-р хороо,17,Хан-Уул,1
1703,3-р хороо,17,Хан-Уул,3
1704,4-р хороо,17,Хан-Уул,1
1705,5-р хороо,17,Хан-Уул,1
1706,6-р хороо,17,Хан-Уул,0
1707,7-р хороо,17,Хан-Уул,2
1708,8-р хороо,17,Хан-Уул,1
1709,9-р хороо,17,Хан-Уул,1
1710,10-р хороо,17,Хан-Уул,1
1711,11-р хороо,17,Хан-Уул,2
1712,12-р хороо,17,Хан-Уул,1
1713,13-р хороо,17,Хан-Уул,1
1714,14-р хороо,17,Хан-Уул,2
1715,15-р хороо,17,Хан-Уул,2
1716,16-р хороо,17,Хан-Уул,2
1717,17-р хороо,17,Хан-Уул,1
1718,18-р хороо,17,Хан-Уул,2
1719,19-р хороо,17,Хан-Уул,3
1720,20-р хороо,17,Хан-Уул,5
1721,21-р хороо,17,Хан-Уул,0
1722,22-р хороо,17,Хан-Уул,2
1723,23-р хороо,17,Хан-Уул,3
1724,24-р хороо,17,Хан-Уул,3
1725,25-р хороо,17,Хан-Уул,0
1801,1-р хороо,18,Сонгинохайрхан,1
1802,2-р хороо,18,Сонгинохайрхан,1
1803,3-р хороо,18,Сонгинохайрхан,2
1804,4-р хороо,18,Сонгинохайрхан,0
1805,5-р хороо,18,Сонгинохайрхан,0
1806,6-р хороо,18,Сонгинохайрхан,2
1807,7-р хороо,18,Сонгинохайрхан,0
1808,8-р хороо,18,Сонгинохайрхан,2
1809,9-р хороо,18,Сонгинохайрхан,3
1810,10-р хороо,18,Сонгинохайрхан,0
1811,11-р хороо,18,Сонгинохайрхан,3
1812,12-р хороо,18,Сонгинохайрхан,1
1813,13-р хороо,18,Сонгинохайрхан,1
1814,14-р хороо,18,Сонгинохайрхан,2
1815,15-р хороо,18,Сонгинохайрхан,1
1816,16-р хороо,18,Сонгинохайрхан,3
1817,17-р хороо,18,Сонгинохайрхан,3
1818,18-р хороо,18,Сонгинохайрхан,2
1819,19-р хороо,18,Сонгинохайрхан,5
1820,20-р хороо,18,Сонгинохайрхан,0
1821,21-р хороо,18,Сонгинохайрхан,2
1822,22-р хороо,18,Сонгинохайрхан,0
1823,23-р хороо,18,Сонгинохайрхан,0
1824,24-р хороо,18,Сонгинохайрхан,0
1825,25-р хороо,18,Сонгинохайрхан,2
1826,26-р хороо,18,Сонгинохайрхан,0
1827,27-р хороо,18,Сонгинохайрхан,0
1829,29-р хороо,18,Сонгинохайрхан,0
1830,30-р хороо,18,Сонгинохайрхан,0
1831,31-р хороо,18,Сонгинохайрхан,0
1832,32-р хороо,18,Сонгинохайрхан,0
1833,33-р хороо,18,Сонгинохайрхан,1
1834,34-р хороо,18,Сонгинохайрхан,4
1835,35-р хороо,18,Сонгинохайрхан,0
1836,36-р хороо,18,Сонгинохайрхан,0
1837,37-р хороо,18,Сонгинохайрхан,0
1838,38-р хороо,18,Сонгинохайрхан,0
1839,39-р хороо,18,Сонгинохайрхан,0
1840,40-р хороо,18,Сонгинохайрхан,0
1841,41-р хороо,18,Сонгинохайрхан,2
1842,42-р хороо,18,Сонгинохайрхан,0
1843,43-р хороо,18,Сонгинохайрхан,0
1901,1-р хороо,19,Багахангай,1
1902,2-р хороо,19,Багахангай,2
