id,school,address,district_code,district,khoroo_code,khoroo,lon,lat
5145,Khos-uyanga surguuli,"ND 1-r khoroo, 9b gudamj 478 toot",11,Nalaikh,1101,1-r khoroo,107.255287,47.781305
5117,Golomt TS,"ND 2-r khoroo, Davaajavyn gudamj",11,Nalaikh,1102,2-r khoroo,107.253473,47.774446
5114,109-r baga surguuli,"ND 3-r khoroo, Denj-1",11,Nalaikh,1103,3-r khoroo,107.267013,47.765252
5119,Chandmani TS /103-r surguuli/,"ND 5-r khoroo, Gorodok tosgony surguuli",11,Nalaikh,1105,5-r khoroo,107.395825,47.784932
5185,Erdmiin orgil TS Tereljiin baga surguuli,"ND 6-r khoroo, Terelj zochid buudlyn baruun zugt",11,Nalaikh,1106,6-r khoroo,107.457963,47.989019
5115,Chandmana-Erdene surguuli,"ND 7-r khoroo,T.Damdiny gudamj",11,Nalaikh,1107,7-r khoroo,107.249032,47.771988
5116,Erdmiin orgil TS,"ND 2-r khoroo, Jargalt Damdiny gudamj",11,Nalaikh,1108,8-r khoroo,107.248451,47.768681
5118,119-r surguuli,ND 2-r khoroo,11,Nalaikh,1108,8-r khoroo,107.24457,47.767472
5146,Nalaikh duurgiin TT jishig dund surguuli,"ND 2-r khoroo,",11,Nalaikh,1108,8-r khoroo,107.24395,47.770666
5181,Alban bus - Nasan turshiin bolovsrolyn tuv,"ND 2-r khoroo, Damdiny gudamj Erdmiin orgil tsogtsolbor surguuli",11,Nalaikh,1108,8-r khoroo,107.246598,47.768233
5084,Gun galuutai TS /1-r bair/,"BND 1-r khoroo,",12,Baganuur,1201,1-r khoroo,108.367532,47.783628
5303,Gun galuutai TS /2-r bair/,"BND 1-r khoroo, D.Natsagdorjiin gudamj S95/1",12,Baganuur,1201,1-r khoroo,108.366883,47.783845
5073,Bolovsrol TS /2-r bair/,"BND 3-r khoroo,",12,Baganuur,1203,3-r khoroo,108.374884,47.782786
5083,Oyuuny erin TS /1-r bair/,"BND 3-r khoroo, Bolovsrol tsogtsolboryn 3-r bairny urd",12,Baganuur,1203,3-r khoroo,108.375302,47.781386
5305,Sod surguuli,"BND 3-r khoroo, D.Natsagdorjiin gudamj 54",12,Baganuur,1203,3-r khoroo,108.374384,47.783851
5174,Nasan turshiin bolovsrolyn tuv,BND 4-r khoroo,12,Baganuur,1204,4-r khoroo,108.378944,47.791801
5304,Oyuuny erin TS /2-r bair/,"BND 5-r khoroo, Kherlengiin gudamj",12,Baganuur,1205,5-r khoroo,108.392635,47.796713
5053,48-r surguuli,"BZD 1-r khoroo, RTNK-iin zuun tald",13,Bayanzurkh,1301,1-r khoroo,106.936265,47.925498
5088,Bilguun nomch surguuli,"BZD 1-r khoroo, Sansaryn tuneli deer",13,Bayanzurkh,1301,1-r khoroo,106.940242,47.92431
5089,Krillitsa surguuli,"BZD 1-r khoroo, Orosyn shinjlekh ukhaan soyolyn tuv, 3 davkhart",13,Bayanzurkh,1301,1-r khoroo,106.93523,47.926278
5128,ISM surguuli - Erel surguuli,"BZD 1-r khoroo, 12-r khor-l, RTNK-n khoino, top mebeliin baruun tald",13,Bayanzurkh,1301,1-r khoroo,106.934191,47.928214
5278,48-r surguuli,"BZD 1-r khoroo,Tokiogiin gudamj S48",13,Bayanzurkh,1301,1-r khoroo,106.936613,47.925682
5054,33-r surguuli,"BZD 3-r khoroo, sansaryn tunel deer",13,Bayanzurkh,1303,3-r khoroo,106.940167,47.922347
5232,Erkhem bayan erdem surguuli,BZD 1-r khoroo SEZIS-iin S bair 2 davkhart,13,Bayanzurkh,1303,3-r khoroo,106.930873,47.919146
5277,33-r surguuli,"BZD 3-r khoroo, Ikh toiruu S33/2",13,Bayanzurkh,1303,3-r khoroo,106.940018,47.92197
5289,Shildeg surguuli,"BZD 3-r khoroo, Tsend gunii gudamj 31",13,Bayanzurkh,1303,3-r khoroo,106.939372,47.921921
4990,Russkii litsei surguuli,"BZD 4-r khoroo, Khiliin tsergiin angiin urd",13,Bayanzurkh,1304,4-r khoroo,106.949563,47.920236
5006,97-r surguuli,BZD 4-r khoroo 15-r khoroolol Selenge zochid buudyn khajuud,13,Bayanzurkh,1304,4-r khoroo,106.947018,47.923506
5031,Shavi tsogtsolbor surguuli /69-r surguuli/,BZD 5-r khoroo,13,Bayanzurkh,1305,5-r khoroo,106.961587,47.920481
5004,21-r surguuli,"BZD 6-r khoroo,Selbe golyn zuun tald",13,Bayanzurkh,1306,6-r khoroo,106.931872,47.914998
5288,Arvis surguuli,"BZD 6-r khoroo, Sangiin khoroony gudamj 50",13,Bayanzurkh,1306,6-r khoroo,106.934838,47.915063
5035,92-r surguuli,BZD 8-r khoroo Erdenetolgoid,13,Bayanzurkh,1308,8-r khoroo,106.996667,47.919111
5071,Amgalan TsC,"BZD 8-r khoroo, Botanikiin etsest",13,Bayanzurkh,1308,8-r khoroo,107.00191,47.913574
5074,Ulaanbaatar-Empathy surguuli,"BZD 8-r khoroo, Usny gud, 15-r bair, Botanikiin etssiin buudal",13,Bayanzurkh,1308,8-r khoroo,107.001889,47.914733
5283,92-r surguuli,"BZD 8-r khoroo, Khilchnii gudamj S92",13,Bayanzurkh,1308,8-r khoroo,106.996308,47.920179
5284,Amgalan TS,"BZD 8-r khoroo, Tsagdaagiin akademiin urgun chuluu S27/1",13,Bayanzurkh,1308,8-r khoroo,107.002643,47.913707
5287,KSIS-iin khariyaa akhlakh surguuli,"BZD 8-r khoroo, Khilchnii gudamj KSIS bair",13,Bayanzurkh,1308,8-r khoroo,106.995622,47.914423
5281,79-r surguuli /1-r bair/,"BZD 17-r khoroo, Sharkhadny gudamj S79",13,Bayanzurkh,1309,9-r khoroo,107.004938,47.932546
5136,88-r surguuli,"BZD 11-r khoroo, “Khonkhor” tosgon 64-r bairny urd",13,Bayanzurkh,1311,11-r khoroo,107.163066,47.810617
5144,110-r surguuli,"KUD 11-r khoroo, Khuukhdiin khorikh 411-r angi",13,Bayanzurkh,1311,11-r khoroo,107.166939,47.815728
5066,55-r surguuli,BZD 13-r khoroo BZDuurgiin urd,13,Bayanzurkh,1313,13-r khoroo,106.966093,47.915331
5233,Itgel surguuli,"BZD 13-r khoroo, ""Em Ai Yu"" deed surguuliin khashaand",13,Bayanzurkh,1313,13-r khoroo,106.974906,47.913869
5306,14-r surguuli,"BZD 13-r khoroo, Enkhtaivany urgun chuluu S14",13,Bayanzurkh,1313,13-r khoroo,106.970177,47.915365
5307,14-r surguuli,"BZD 13-r khoroo, Enkhtaivany urgun chuluu S14",13,Bayanzurkh,1313,13-r khoroo,106.969407,47.915099
5234,G.V.Plekhanovyn neremjit surguuli,BZD 14-r khoroo,13,Bayanzurkh,1314,14-r khoroo,106.948346,47.916928
5230,Oyuunlag surguuli,BZD 15-r khoroo,13,Bayanzurkh,1315,15-r khoroo,106.938277,47.91656
5231,Oyuuny onis surguuli,"BZD 15-r khoroo, 6/3-r bair, Oyuun ukhaany muzei",13,Bayanzurkh,1315,15-r khoroo,106.941752,47.917446
5237,Nomch nakhia surguuli,BZD 15-r khoroo 13-r khoroolol 7B bair,13,Bayanzurkh,1315,15-r khoroo,106.941179,47.917015
5032,44-r surguuli,"BZD 16-r khoroo, Ulaankhuarand",13,Bayanzurkh,1316,16-r khoroo,106.980779,47.920674
