id,сургууль,хаяг,дүүргийн_код,дүүрэг,хорооны_код,хороо,lon,lat
5145,Хос-уянга сургууль,"НД 1-р хороо, 9б гудамж 478 тоот",11,Налайх,1101,1-р хороо,107.255287,47.781305
5117,Голомт ЦС,"НД 2-р хороо, Даваажавын гудамж",11,Налайх,1102,2-р хороо,107.253473,47.774446
5114,109-р бага сургууль,"НД 3-р хороо, Дэнж-1",11,Налайх,1103,3-р хороо,107.267013,47.765252
5119,Чандмань ЦС /103-р сургууль/,"НД 5-р хороо, Городок тосгоны сургууль",11,Налайх,1105,5-р хороо,107.395825,47.784932
5185,Эрдмийн оргил ЦС Тэрэлжийн бага сургууль,"НД 6-р хороо, Тэрэлж зочид буудлын баруун зүгт",11,Налайх,1106,6-р хороо,107.457963,47.989019
5115,Чандмана-Эрдэнэ сургууль,"НД 7-р хороо,Т.Дамдины гудамж",11,Налайх,1107,7-р хороо,107.249032,47.771988
5116,Эрдмийн оргил ЦС,"НД 2-р хороо, Жаргалт Дамдины гудамж",11,Налайх,1108,8-р хороо,107.248451,47.768681
5118,119-р сургууль,НД 2-р хороо,11,Налайх,1108,8-р хороо,107.24457,47.767472
5146,Налайх дүүргийн ТТ жишиг дунд сургууль,"НД 2-р хороо,",11,Налайх,1108,8-р хороо,107.24395,47.770666
5181,Албан бус - Насан туршийн боловсролын төв,"НД 2-р хороо, Дамдины гудамж Эрдмийн оргил цогцолбор сургууль",11,Налайх,1108,8-р хороо,107.246598,47.768233
5084,Гүн галуутай ЦС /1-р байр/,"БНД 1-р хороо,",12,Багануур,1201,1-р хороо,108.367532,47.783628
5303,Гүн галуутай ЦС /2-р байр/,"БНД 1-р хороо, Д.Нацагдоржийн гудамж С95/1",12,Багануур,1201,1-р хороо,108.366883,47.783845
5073,Боловсрол ЦС /2-р байр/,"БНД 3-р хороо,",12,Багануур,1203,3-р хороо,108.374884,47.782786
5083,Оюуны эрин ЦС /1-р байр/,"БНД 3-р хороо, Боловсрол цогцолборын 3-р байрны урд",12,Багануур,1203,3-р хороо,108.375302,47.781386
5305,Сод сургууль,"БНД 3-р хороо, Д.Нацагдоржийн гудамж 54",12,Багануур,1203,3-р хороо,108.374384,47.783851
5174,Насан туршийн боловсролын төв,БНД 4-р хороо,12,Багануур,1204,4-р хороо,108.378944,47.791801
5304,Оюуны эрин ЦС /2-р байр/,"БНД 5-р хороо, Хэрлэнгийн гудамж",12,Багануур,1205,5-р хороо,108.392635,47.796713
5053,48-р сургууль,"БЗД 1-р хороо, РЦНК-ийн зүүн талд",13,Баянзүрх,1301,1-р хороо,106.936265,47.925498
5088,Билгүүн номч сургууль,"БЗД 1-р хороо, Сансарын тунель дээр",13,Баянзүрх,1301,1-р хороо,106.940242,47.92431
5089,Криллица сургууль,"БЗД 1-р хороо, Оросын шинжлэх ухаан соёлын төв, 3 давхарт",13,Баянзүрх,1301,1-р хороо,106.93523,47.926278
5128,И-Эс-Эм сургууль - Эрэл сургууль,"БЗД 1-р хороо, 12-р хор-л, РЦНК-н хойно, топ мебелийн баруун талд",13,Баянзүрх,1301,1-р хороо,106.934191,47.928214
