ангилал,он,утга
Эрдэс бүтээгдэхүүн,1995,309976.4
Нэхмэл болон нэхмэл бүтээгдэхүүн,1995,80730.6
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",1995,4.4
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,1995,17070.3
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",1995,10414.3
Хүнсний бэлэн бүтээгдэхүүн,1995,2541.5
Эрдэс бүтээгдэхүүн,1996,242778.3
Нэхмэл болон нэхмэл бүтээгдэхүүн,1996,103496.5
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",1996,0.5
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,1996,15969.2
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",1996,14136.8
Хүнсний бэлэн бүтээгдэхүүн,1996,1746.0
Эрдэс бүтээгдэхүүн,1997,251443.6
Нэхмэл болон нэхмэл бүтээгдэхүүн,1997,96574.4
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",1997,116996.4
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,1997,21851.6
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",1997,18664.2
Хүнсний бэлэн бүтээгдэхүүн,1997,2000.0
Эрдэс бүтээгдэхүүн,1998,156287.2
Нэхмэл болон нэхмэл бүтээгдэхүүн,1998,77872.0
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",1998,123706.2
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,1998,11002.9
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",1998,18793.2
Хүнсний бэлэн бүтээгдэхүүн,1998,2837.6
Эрдэс бүтээгдэхүүн,1999,146837.2
Нэхмэл болон нэхмэл бүтээгдэхүүн,1999,127380.9
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",1999,99014.6
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,1999,8269.3
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",1999,21864.5
Хүнсний бэлэн бүтээгдэхүүн,1999,2552.6
Эрдэс бүтээгдэхүүн,2000,188562.7
Нэхмэл болон нэхмэл бүтээгдэхүүн,2000,192275.6
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2000,75786.0
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2000,6054.8
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2000,23102.5
Хүнсний бэлэн бүтээгдэхүүн,2000,1142.1
Эрдэс бүтээгдэхүүн,2001,175212.7
Нэхмэл болон нэхмэл бүтээгдэхүүн,2001,171502.6
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2001,150178.7
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2001,5105.9
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2001,26369.2
Хүнсний бэлэн бүтээгдэхүүн,2001,328.3
Эрдэс бүтээгдэхүүн,2002,173371.7
Нэхмэл болон нэхмэл бүтээгдэхүүн,2002,145144.0
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2002,119326.2
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2002,4326.9
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2002,28864.2
Хүнсний бэлэн бүтээгдэхүүн,2002,382.8
Эрдэс бүтээгдэхүүн,2003,214583.4
Нэхмэл болон нэхмэл бүтээгдэхүүн,2003,165022.1
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2003,139903.7
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2003,8562.9
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2003,22505.4
Хүнсний бэлэн бүтээгдэхүүн,2003,191.7
Эрдэс бүтээгдэхүүн,2004,353738.5
Нэхмэл болон нэхмэл бүтээгдэхүүн,2004,197002.6
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2004,243257.2
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2004,19779.8
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2004,18354.9
Хүнсний бэлэн бүтээгдэхүүн,2004,490.6
Эрдэс бүтээгдэхүүн,2005,454731.0
Нэхмэл болон нэхмэл бүтээгдэхүүн,2005,191434.2
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2005,331576.6
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2005,18227.8
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2005,19608.4
Хүнсний бэлэн бүтээгдэхүүн,2005,1710.5
Эрдэс бүтээгдэхүүн,2006,893992.2
Нэхмэл болон нэхмэл бүтээгдэхүүн,2006,246682.3
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2006,270172.0
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2006,24769.1
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2006,25662.1
Хүнсний бэлэн бүтээгдэхүүн,2006,2122.3
Эрдэс бүтээгдэхүүн,2007,1301403.7
Нэхмэл болон нэхмэл бүтээгдэхүүн,2007,262566.8
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2007,234880.0
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2007,26492.2
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2007,26733.0
Хүнсний бэлэн бүтээгдэхүүн,2007,2642.5
Эрдэс бүтээгдэхүүн,2008,1529401.0
Нэхмэл болон нэхмэл бүтээгдэхүүн,2008,226542.8
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2008,600172.6
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2008,23121.8
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2008,31641.5
Хүнсний бэлэн бүтээгдэхүүн,2008,3527.4
Эрдэс бүтээгдэхүүн,2009,1251766.6
Нэхмэл болон нэхмэл бүтээгдэхүүн,2009,192166.6
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2009,308525.2
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2009,17414.4
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2009,45808.8
Хүнсний бэлэн бүтээгдэхүүн,2009,5474.0
Эрдэс бүтээгдэхүүн,2010,2354476.0
Нэхмэл болон нэхмэл бүтээгдэхүүн,2010,216340.8
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2010,178351.5
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2010,22158.2
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2010,69384.3
Хүнсний бэлэн бүтээгдэхүүн,2010,6051.2
Эрдэс бүтээгдэхүүн,2011,4299412.13
Нэхмэл болон нэхмэл бүтээгдэхүүн,2011,241477.36
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2011,109916.03
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2011,25668.83
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2011,39946.94
Хүнсний бэлэн бүтээгдэхүүн,2011,7824.67
Эрдэс бүтээгдэхүүн,2012,3909626.56
Нэхмэл болон нэхмэл бүтээгдэхүүн,2012,233604.52
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2012,122345.36
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2012,19806.36
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2012,24237.31
Хүнсний бэлэн бүтээгдэхүүн,2012,8928.47
Эрдэс бүтээгдэхүүн,2013,3495466.91
Нэхмэл болон нэхмэл бүтээгдэхүүн,2013,283003.31
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2013,309910.52
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2013,21517.72
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2013,24224.12
Хүнсний бэлэн бүтээгдэхүүн,2013,14925.3
Эрдэс бүтээгдэхүүн,2014,4791481.68
Нэхмэл болон нэхмэл бүтээгдэхүүн,2014,338751.64
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2014,405577.69
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2014,47702.96
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2014,16513.47
Хүнсний бэлэн бүтээгдэхүүн,2014,11588.84
Эрдэс бүтээгдэхүүн,2015,3678200.05
Нэхмэл болон нэхмэл бүтээгдэхүүн,2015,302654.55
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2015,421384.96
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2015,72279.02
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2015,26382.04
Хүнсний бэлэн бүтээгдэхүүн,2015,15669.29
Эрдэс бүтээгдэхүүн,2016,3484046.56
Нэхмэл болон нэхмэл бүтээгдэхүүн,2016,300223.45
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2016,761511.22
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2016,86178.15
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2016,29242.19
Хүнсний бэлэн бүтээгдэхүүн,2016,11920.24
Эрдэс бүтээгдэхүүн,2017,4933672.06
Нэхмэл болон нэхмэл бүтээгдэхүүн,2017,335466.05
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2017,596939.24
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2017,101000.62
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2017,67416.82
Хүнсний бэлэн бүтээгдэхүүн,2017,23007.94
Эрдэс бүтээгдэхүүн,2018,6070339.17
Нэхмэл болон нэхмэл бүтээгдэхүүн,2018,409800.65
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2018,145480.75
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2018,91754.73
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2018,102121.22
Хүнсний бэлэн бүтээгдэхүүн,2018,91423.28
Эрдэс бүтээгдэхүүн,2019,6377586.38
Нэхмэл болон нэхмэл бүтээгдэхүүн,2019,434672.31
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2019,419075.83
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2019,77821.21
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2019,97610.45
Хүнсний бэлэн бүтээгдэхүүн,2019,61856.37
Эрдэс бүтээгдэхүүн,2020,5256037.29
Нэхмэл болон нэхмэл бүтээгдэхүүн,2020,279484.63
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2020,1789935.13
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2020,66620.97
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2020,52915.27
Хүнсний бэлэн бүтээгдэхүүн,2020,70206.03
Эрдэс бүтээгдэхүүн,2021,7510437.69
Нэхмэл болон нэхмэл бүтээгдэхүүн,2021,370657.86
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2021,1025376.62
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2021,97068.52
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2021,42266.45
Хүнсний бэлэн бүтээгдэхүүн,2021,47076.09
Эрдэс бүтээгдэхүүн,2022,10543268.92
Нэхмэл болон нэхмэл бүтээгдэхүүн,2022,486156.3
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2022,1135442.86
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2022,98870.37
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2022,65256.8
Хүнсний бэлэн бүтээгдэхүүн,2022,23710.09
Эрдэс бүтээгдэхүүн,2023,13146454.24
Нэхмэл болон нэхмэл бүтээгдэхүүн,2023,451152.59
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2023,762000.59
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2023,123035.16
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2023,200065.97
Хүнсний бэлэн бүтээгдэхүүн,2023,157718.67
Эрдэс бүтээгдэхүүн,2024,13769884.51
Нэхмэл болон нэхмэл бүтээгдэхүүн,2024,404074.48
"Үнэт, хагас үнэт чулуу, метал гоёлын зүйлс",2024,912490.33
Үндсэн төмөрлөг болонтүүгээр хийсэн бүтээгдэхүүн,2024,153215.15
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн",2024,197492.05
Хүнсний бэлэн бүтээгдэхүүн,2024,103326.75
