улс,он,утга
Итали,2024,59634.58
Итали,2023,98994.8
Итали,2022,88058.0
Итали,2021,35559.6
Итали,2020,19403.4
Итали,2019,45298.8
Итали,2018,54078.1
Итали,2017,43299.9
Итали,2016,33579.3
Итали,2015,43401.1
Итали,2014,51412.5
Итали,2013,51506.2
Итали,2012,31608.2
Итали,2011,49816.1
Итали,2010,31776.6
Итали,2009,31443.0
Итали,2008,42218.4
Итали,2007,56739.2
Итали,2006,40395.7
Итали,2005,24846.3
ОХУ,2024,100712.12
ОХУ,2023,112709.7
ОХУ,2022,93365.8
ОХУ,2021,112783.9
ОХУ,2020,57274.8
ОХУ,2019,68093.3
ОХУ,2018,85936.0
ОХУ,2017,67661.1
ОХУ,2016,55769.1
ОХУ,2015,76871.7
ОХУ,2014,61607.3
ОХУ,2013,61772.7
ОХУ,2012,79565.7
ОХУ,2011,96342.4
ОХУ,2010,82747.9
ОХУ,2009,68204.7
ОХУ,2008,86318.0
ОХУ,2007,58485.4
ОХУ,2006,45113.0
ОХУ,2005,27229.9
Швейцарь,2024,744975.45
Швейцарь,2023,666311.7
Швейцарь,2022,1030718.8
Швейцарь,2021,869738.5
Швейцарь,2020,1681588.9
Швейцарь,2019,74986.3
Швейцарь,2018,738.7
Швейцарь,2017,658.3
Швейцарь,2016,1013.8
Швейцарь,2015,109167.6
Швейцарь,2014,28052.0
Швейцарь,2013,3073.9
Швейцарь,2012,8925.1
Швейцарь,2011,18027.6
Швейцарь,2010,2910.3
Швейцарь,2009,2815.6
Швейцарь,2008,2082.0
Швейцарь,2007,1768.5
Швейцарь,2006,6367.7
Швейцарь,2005,4182.6
БНХАУ,2024,14420678.66
БНХАУ,2023,13940183.1
БНХАУ,2022,11061576.4
БНХАУ,2021,7638572.5
БНХАУ,2020,5493619.0
БНХАУ,2019,6789726.9
БНХАУ,2018,6542824.8
БНХАУ,2017,5307431.8
БНХАУ,2016,3901611.3
БНХАУ,2015,3910120.6
БНХАУ,2014,5073398.8
БНХАУ,2013,3706341.0
БНХАУ,2012,4059720.4
БНХАУ,2011,4439870.9
БНХАУ,2010,2466447.5
БНХАУ,2009,1394000.7
БНХАУ,2008,1635942.4
БНХАУ,2007,1411391.2
БНХАУ,2006,1049595.0
БНХАУ,2005,513422.3
Иран,2024,66250.55
Иран,2023,34900.1
Иран,2022,7995.5
Иран,2021,1728.2
Иран,2020,1917.2
Иран,2019,21137.9
Иран,2018,9022.3
Иран,2017,8266.3
Иран,2016,55.4
Иран,2015,0.0
Иран,2014,0.0
Иран,2013,1966.2
Иран,2012,214.6
Иран,2011,798.0
Иран,2010,6839.3
Иран,2009,
Иран,2008,
Иран,2007,108.7
Иран,2006,0.0
Иран,2005,
АНУ,2024,166397.03
АНУ,2023,36553.5
АНУ,2022,9895.4
АНУ,2021,31029.8
АНУ,2020,10824.3
АНУ,2019,25997.5
АНУ,2018,7603.3
АНУ,2017,8299.1
АНУ,2016,10461.5
АНУ,2015,18732.3
АНУ,2014,15362.8
АНУ,2013,3898.1
АНУ,2012,3568.1
АНУ,2011,5040.0
АНУ,2010,6018.2
АНУ,2009,13892.0
АНУ,2008,114232.6
АНУ,2007,99869.4
АНУ,2006,119031.5
АНУ,2005,152476.7
