салбар,утга
"Уул уурхай, олборлолт",21980612.94
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",8793230.75
Бүтээгдэхүүний цэвэр татвар,8249771.3
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",5881104.41
Боловсруулах үйлдвэрлэл,4495483.47
Тээвэр ба агуулахын үйл ажиллагаа,4439528.88
Санхүүгийн болон даатгалын үйл ажиллагаа,4246731.93
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",3993608.15
Боловсрол,3632621.71
Үл хөдлөх хөрөнгийн үйл ажиллагаа,3584145.8
Барилга,2696383.17
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,1931261.72
"Мэдээлэл, холбоо",1645120.23
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",1204982.81
"Цахилгаан, хий, уур, агааржуулалт",1181046.36
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",943888.61
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,584259.94
"Урлаг, үзвэр, тоглоом, наадам",416715.44
"Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",412072.88
Үйлчилгээний бусад үйл ажиллагаа,350480.47
