sector,year,value
Agriculture,1990,1597.14
Construction,1990,735.57
Manufacturing,1990,2607.99
Mining,1990,1599.3
Trade,1990,2090.51
Transport,1990,1044.8
Agriculture,1991,2669.49
Construction,1991,1072.22
Manufacturing,1991,3834.58
Mining,1991,2359.83
Trade,1991,3774.92
Transport,1991,1057.85
Agriculture,1992,14345.27
Construction,1992,1285.15
Manufacturing,1992,10435.55
Mining,1992,6411.22
Trade,1992,5819.3
Transport,1992,2139.98
Agriculture,1993,58534.42
Construction,1993,3821.77
Manufacturing,1993,37075.42
Mining,1993,22747.86
Trade,1993,36320.69
Transport,1993,11467.04
Agriculture,1994,105011.96
Construction,1994,8386.69
Manufacturing,1994,64103.81
Mining,1994,39348.39
Trade,1994,43338.84
Transport,1994,24327.46
Agriculture,1995,212002.1
Construction,1995,13088.55
Manufacturing,1995,112581.03
Mining,1995,73841.54
Trade,1995,59632.69
Transport,1995,29924.29
Agriculture,1996,283958.98
Construction,1996,24992.57
Manufacturing,1996,56653.92
Mining,1996,76197.77
Trade,1996,69525.26
Transport,1996,40001.14
Agriculture,1997,300746.34
Construction,1997,25687.1
Manufacturing,1997,78899.85
Mining,1997,132390.3
Trade,1997,96650.65
Transport,1997,53652.08
Agriculture,1998,306644.91
Construction,1998,28095.75
Manufacturing,1998,66929.98
Mining,1998,81274.07
Trade,1998,110681.25
Transport,1998,64110.6
Agriculture,1999,342505.23
Construction,1999,32159.55
Manufacturing,1999,75925.8
Mining,1999,94909.29
Trade,1999,112438.52
Transport,1999,70804.25
Agriculture,2000,335668.79
Construction,2000,27254.93
Manufacturing,2000,82040.78
Mining,2000,132400.1
Trade,2000,115903.09
Transport,2000,92556.51
Agriculture,2001,319698.93
Construction,2001,30738.57
Manufacturing,2001,114828.11
Mining,2001,117076.12
Trade,2001,129544.67
Transport,2001,118884.88
Agriculture,2002,293361.83
Construction,2002,42858.82
Manufacturing,2002,99138.59
Mining,2002,144753.7
Trade,2002,162803.42
Transport,2002,149765.41
Agriculture,2003,337272.09
Construction,2003,69683.82
Manufacturing,2003,121551.45
Mining,2003,206557.84
Trade,2003,185210.82
Transport,2003,166101.25
Agriculture,2004,472934.46
Construction,2004,69429.03
Manufacturing,2004,130576.26
Mining,2004,391597.57
Trade,2004,202639.88
Transport,2004,198897.01
Agriculture,2005,602136.31
Construction,2005,81408.37
Manufacturing,2005,175155.91
Mining,2005,642089.04
Trade,2005,227478.16
Transport,2005,256726.38
Agriculture,2006,710609.19
Construction,2006,86792.3
Manufacturing,2006,218885.57
Mining,2006,1145733.91
Trade,2006,271511.62
Transport,2006,287501.52
Agriculture,2007,913409.23
Construction,2007,106421.12
Manufacturing,2007,309500.42
Mining,2007,1340854.37
Trade,2007,313204.36
Transport,2007,322307.02
Agriculture,2008,1259660.83
Construction,2008,122051.03
Manufacturing,2008,430179.37
Mining,2008,1324247.71
Trade,2008,472226.49
Transport,2008,419323.18
Agriculture,2009,1177380.29
Construction,2009,86238.66
Manufacturing,2009,425000.65
Mining,2009,1285899.7
Trade,2009,432646.15
Transport,2009,546745.46
Agriculture,2010,1144697.86
Construction,2010,250230.7
Manufacturing,2010,664815.26
Mining,2010,2102157.94
Trade,2010,1199007.2
Transport,2010,677906.16
Agriculture,2011,1357866.8
Construction,2011,402828.29
Manufacturing,2011,931377.51
Mining,2011,2536239.6
Trade,2011,1973260.4
Transport,2011,802897.08
Agriculture,2012,1878786.37
Construction,2012,837487.47
Manufacturing,2012,1248666.3
Mining,2012,2742750.5
Trade,2012,2231148.45
Transport,2012,894427.58
Agriculture,2013,2572044.9
Construction,2013,979689.0
Manufacturing,2013,1672313.0
Mining,2013,2849415.3
Trade,2013,2267231.1
Transport,2013,843617.4
Agriculture,2014,2965360.5
Construction,2014,988960.7
Manufacturing,2014,1950933.7
Mining,2014,3661031.2
Trade,2014,2544761.3
Transport,2014,1109154.6
Agriculture,2015,3223402.72
Construction,2015,918316.62
Manufacturing,2015,1606184.69
Mining,2015,4150464.29
Trade,2015,2664772.42
Transport,2015,1202359.1
Agriculture,2016,3022012.54
Construction,2016,902883.62
Manufacturing,2016,1595623.61
Mining,2016,4822677.54
Trade,2016,2621290.71
Transport,2016,1274385.28
Agriculture,2017,3119618.18
Construction,2017,905587.14
Manufacturing,2017,1932245.54
Mining,2017,7007876.15
Trade,2017,2867791.27
Transport,2017,1318695.48
Agriculture,2018,3723544.32
Construction,2018,985716.25
Manufacturing,2018,2298123.56
Mining,2018,8370789.17
Trade,2018,3090221.77
Transport,2018,1538733.26
Agriculture,2019,4373602.54
Construction,2019,1328925.99
Manufacturing,2019,2675065.06
Mining,2019,9590129.54
Trade,2019,3644111.22
Transport,2019,1686897.28
Agriculture,2020,4856063.0
Construction,2020,1367522.8
Manufacturing,2020,2904937.7
Mining,2020,8722066.6
Trade,2020,3436809.1
Transport,2020,1411794.3
Agriculture,2021,5733284.28
Construction,2021,1368827.87
Manufacturing,2021,3096438.7
Mining,2021,10753722.63
Trade,2021,4069619.4
Transport,2021,1597051.18
Agriculture,2022,7015700.27
Construction,2022,1783826.56
Manufacturing,2022,3832703.06
Mining,2022,12402469.0
Trade,2022,5677897.87
Transport,2022,2510913.1
Agriculture,2023,6988223.0
Construction,2023,2269770.11
Manufacturing,2023,4436468.27
Mining,2023,19814080.28
Trade,2023,7316253.17
Transport,2023,3919987.64
Agriculture,2024,5881104.41
Construction,2024,2696383.17
Manufacturing,2024,4495483.47
Mining,2024,21980612.94
Trade,2024,8793230.75
Transport,2024,4439528.88
