салбар,он,утга
Барилга,1990,735.57
Тээвэр,1990,1044.8
Уул уурхай,1990,1599.3
ХАА,1990,1597.14
Худалдаа,1990,2090.51
Үйлдвэрлэл,1990,2607.99
Барилга,1991,1072.22
Тээвэр,1991,1057.85
Уул уурхай,1991,2359.83
ХАА,1991,2669.49
Худалдаа,1991,3774.92
Үйлдвэрлэл,1991,3834.58
Барилга,1992,1285.15
Тээвэр,1992,2139.98
Уул уурхай,1992,6411.22
ХАА,1992,14345.27
Худалдаа,1992,5819.3
Үйлдвэрлэл,1992,10435.55
Барилга,1993,3821.77
Тээвэр,1993,11467.04
Уул уурхай,1993,22747.86
ХАА,1993,58534.42
Худалдаа,1993,36320.69
Үйлдвэрлэл,1993,37075.42
Барилга,1994,8386.69
Тээвэр,1994,24327.46
Уул уурхай,1994,39348.39
ХАА,1994,105011.96
Худалдаа,1994,43338.84
Үйлдвэрлэл,1994,64103.81
Барилга,1995,13088.55
Тээвэр,1995,29924.29
Уул уурхай,1995,73841.54
ХАА,1995,212002.1
Худалдаа,1995,59632.69
Үйлдвэрлэл,1995,112581.03
Барилга,1996,24992.57
Тээвэр,1996,40001.14
Уул уурхай,1996,76197.77
ХАА,1996,283958.98
Худалдаа,1996,69525.26
Үйлдвэрлэл,1996,56653.92
Барилга,1997,25687.1
Тээвэр,1997,53652.08
Уул уурхай,1997,132390.3
ХАА,1997,300746.34
Худалдаа,1997,96650.65
Үйлдвэрлэл,1997,78899.85
Барилга,1998,28095.75
Тээвэр,1998,64110.6
Уул уурхай,1998,81274.07
ХАА,1998,306644.91
Худалдаа,1998,110681.25
Үйлдвэрлэл,1998,66929.98
Барилга,1999,32159.55
Тээвэр,1999,70804.25
Уул уурхай,1999,94909.29
ХАА,1999,342505.23
Худалдаа,1999,112438.52
Үйлдвэрлэл,1999,75925.8
Барилга,2000,27254.93
Тээвэр,2000,92556.51
Уул уурхай,2000,132400.1
ХАА,2000,335668.79
Худалдаа,2000,115903.09
Үйлдвэрлэл,2000,82040.78
Барилга,2001,30738.57
Тээвэр,2001,118884.88
Уул уурхай,2001,117076.12
ХАА,2001,319698.93
Худалдаа,2001,129544.67
Үйлдвэрлэл,2001,114828.11
Барилга,2002,42858.82
Тээвэр,2002,149765.41
Уул уурхай,2002,144753.7
ХАА,2002,293361.83
Худалдаа,2002,162803.42
Үйлдвэрлэл,2002,99138.59
Барилга,2003,69683.82
Тээвэр,2003,166101.25
Уул уурхай,2003,206557.84
ХАА,2003,337272.09
Худалдаа,2003,185210.82
Үйлдвэрлэл,2003,121551.45
Барилга,2004,69429.03
Тээвэр,2004,198897.01
Уул уурхай,2004,391597.57
ХАА,2004,472934.46
Худалдаа,2004,202639.88
Үйлдвэрлэл,2004,130576.26
Барилга,2005,81408.37
Тээвэр,2005,256726.38
Уул уурхай,2005,642089.04
ХАА,2005,602136.31
Худалдаа,2005,227478.16
Үйлдвэрлэл,2005,175155.91
Барилга,2006,86792.3
Тээвэр,2006,287501.52
Уул уурхай,2006,1145733.91
ХАА,2006,710609.19
Худалдаа,2006,271511.62
Үйлдвэрлэл,2006,218885.57
Барилга,2007,106421.12
Тээвэр,2007,322307.02
Уул уурхай,2007,1340854.37
ХАА,2007,913409.23
Худалдаа,2007,313204.36
Үйлдвэрлэл,2007,309500.42
Барилга,2008,122051.03
Тээвэр,2008,419323.18
Уул уурхай,2008,1324247.71
ХАА,2008,1259660.83
Худалдаа,2008,472226.49
Үйлдвэрлэл,2008,430179.37
Барилга,2009,86238.66
Тээвэр,2009,546745.46
Уул уурхай,2009,1285899.7
ХАА,2009,1177380.29
