year,value
1991,-1720.6
1992,464.1
1993,453.7
1994,-9971.1
1995,12415.8
1996,546.1
1997,-65120.2
1998,-102203.2
1999,-95189.2
2000,-86836.6
2001,-50440.5
2002,-71590.3
2003,-61882.0
2004,-39372.8
2005,73261.1
2006,123401.8
2007,133178.4
2008,-296404.4
2009,-342634.1
2010,41779.0
2011,-769861.8
2012,-1136628.6
2013,-224618.7
2014,-867959.1
2015,-1156909.8
2016,-3660289.1
2017,-1742456.9
2018,27859.3
2019,-756190.4
2020,-4440434.8
2021,-2919009.2
2022,-1032732.6
2023,785889.8
2024,-920248.3
2025,-1231538.2
