үзүүлэлт,он,утга
Зарлага,1921,1.7
Зарлага,1922,3.0
Зарлага,1923,4.3
Зарлага,1924,6.7
Зарлага,1925,8.0
Зарлага,1926,9.7
Зарлага,1927,15.2
Зарлага,1928,15.6
Зарлага,1929,19.9
Зарлага,1930,26.3
Зарлага,1931,33.4
Зарлага,1932,35.6
Зарлага,1933,32.4
Зарлага,1934,37.5
Зарлага,1935,36.5
Зарлага,1936,48.4
Зарлага,1937,65.4
Зарлага,1938,89.0
Зарлага,1939,98.5
Зарлага,1940,122.1
Зарлага,1941,176.8
Зарлага,1942,157.9
Зарлага,1943,185.4
Зарлага,1944,217.2
Зарлага,1945,287.7
Зарлага,1946,304.1
Зарлага,1947,309.8
Зарлага,1948,316.1
Зарлага,1949,320.1
Зарлага,1950,315.8
Зарлага,1951,350.7
Зарлага,1952,363.0
Зарлага,1953,369.9
Зарлага,1954,412.5
Зарлага,1955,461.7
Зарлага,1956,509.7
Зарлага,1957,600.3
Зарлага,1958,713.3
Зарлага,1959,863.5
Зарлага,1960,1016.8
Зарлага,1961,1247.7
Зарлага,1962,1281.0
Зарлага,1963,1336.8
Зарлага,1964,1419.5
Зарлага,1965,1468.2
Зарлага,1966,1612.9
Зарлага,1967,1708.0
Зарлага,1968,1734.0
Зарлага,1969,1828.8
Зарлага,1970,1909.5
Зарлага,1971,2080.5
Зарлага,1972,2165.1
Зарлага,1973,2529.9
Зарлага,1974,2669.8
Зарлага,1975,2683.4
Зарлага,1976,3022.1
Зарлага,1977,3024.1
Зарлага,1978,3261.0
Зарлага,1979,3756.1
Зарлага,1980,4044.0
Зарлага,1981,4269.9
Зарлага,1982,4756.7
Зарлага,1983,5126.0
Зарлага,1984,5383.1
Зарлага,1985,5700.9
Зарлага,1986,6056.2
Зарлага,1987,6408.6
Зарлага,1988,6741.7
Зарлага,1989,7062.3
Зарлага,1990,6812.3
Зарлага,1991,8929.3
Зарлага,1992,12360.8
Зарлага,1993,57228.6
Зарлага,1994,96103.2
Зарлага,1995,132153.1
Зарлага,1996,162377.5
Зарлага,1997,287648.5
Зарлага,1998,342201.3
Зарлага,1999,361683.8
Зарлага,2000,434246.1
Зарлага,2001,489730.5
Зарлага,2002,548639.2
Зарлага,2003,615771.2
Зарлага,2004,752486.4
Зарлага,2005,764597.2
Зарлага,2006,1237008.0
Зарлага,2007,1747310.5
Зарлага,2008,2466774.4
Зарлага,2009,2336629.5
Зарлага,2010,3080685.1
Зарлага,2011,4997039.9
Зарлага,2012,6017800.5
Зарлага,2013,6164685.3
Зарлага,2014,7144568.0
Зарлага,2015,7137973.9
Зарлага,2016,9495332.9
Зарлага,2017,9017318.6
Зарлага,2018,9317220.8
Зарлага,2019,11661701.2
Зарлага,2020,13904273.0
Зарлага,2021,15630443.9
Зарлага,2022,18159668.9
Зарлага,2023,22509000.1
Зарлага,2024,30591083.9
Зарлага,2025,31289204.3
Орлого,1921,1.7
Орлого,1922,3.0
Орлого,1923,4.3
Орлого,1924,6.9
Орлого,1925,8.0
Орлого,1926,11.0
Орлого,1927,15.7
Орлого,1928,15.8
Орлого,1929,19.9
Орлого,1930,27.4
Орлого,1931,35.0
Орлого,1932,35.6
Орлого,1933,33.3
Орлого,1934,38.9
Орлого,1935,38.1
Орлого,1936,53.4
Орлого,1937,69.4
Орлого,1938,92.0
Орлого,1939,102.5
Орлого,1940,123.9
Орлого,1941,176.8
Орлого,1942,174.1
Орлого,1943,208.7
Орлого,1944,249.0
Орлого,1945,315.2
Орлого,1946,284.5
