indicator,year,value
Expenditure,1991,8929.3
Expenditure,1992,12360.8
Expenditure,1993,57228.6
Expenditure,1994,96103.2
Expenditure,1995,132153.1
Expenditure,1996,162377.5
Expenditure,1997,287648.5
Expenditure,1998,342201.3
Expenditure,1999,361683.8
Expenditure,2000,434246.1
Expenditure,2001,489730.5
Expenditure,2002,548639.2
Expenditure,2003,615771.2
Expenditure,2004,752486.4
Expenditure,2005,764597.2
Expenditure,2006,1237008.0
Expenditure,2007,1747310.5
Expenditure,2008,2466774.4
Expenditure,2009,2336629.5
Expenditure,2010,3080685.1
Expenditure,2011,4997039.9
Expenditure,2012,6017800.5
Expenditure,2013,6164685.3
Expenditure,2014,7144568.0
Expenditure,2015,7137973.9
Expenditure,2016,9495332.9
Expenditure,2017,9017318.6
Expenditure,2018,9317220.8
Expenditure,2019,11661701.2
Expenditure,2020,13904273.0
Expenditure,2021,15630443.9
Expenditure,2022,18159668.9
Expenditure,2023,22509000.1
Expenditure,2024,30591083.9
Expenditure,2025,31289204.3
Revenue,1991,7208.7
Revenue,1992,12824.9
Revenue,1993,57682.3
Revenue,1994,86132.1
Revenue,1995,144568.9
Revenue,1996,162923.6
Revenue,1997,222528.3
Revenue,1998,239998.1
Revenue,1999,266494.6
Revenue,2000,347409.5
Revenue,2001,439290.0
Revenue,2002,477049.0
Revenue,2003,553889.3
Revenue,2004,713113.6
Revenue,2005,837858.3
Revenue,2006,1360409.8
Revenue,2007,1880488.9
Revenue,2008,2170370.0
Revenue,2009,1993995.6
Revenue,2010,3122464.2
Revenue,2011,4227178.1
Revenue,2012,4881171.9
Revenue,2013,5940066.7
Revenue,2014,6276608.8
Revenue,2015,5981064.0
Revenue,2016,5835043.8
Revenue,2017,7274861.6
Revenue,2018,9345080.1
Revenue,2019,10905510.8
Revenue,2020,9463838.2
Revenue,2021,12711434.7
Revenue,2022,17126936.3
Revenue,2023,23294889.9
Revenue,2024,29670835.6
Revenue,2025,30057666.1
