үзүүлэлт,он,утга
Зарлага,1991,8929.3
Зарлага,1992,12360.8
Зарлага,1993,57228.6
Зарлага,1994,96103.2
Зарлага,1995,132153.1
Зарлага,1996,162377.5
Зарлага,1997,287648.5
Зарлага,1998,342201.3
Зарлага,1999,361683.8
Зарлага,2000,434246.1
Зарлага,2001,489730.5
Зарлага,2002,548639.2
Зарлага,2003,615771.2
Зарлага,2004,752486.4
Зарлага,2005,764597.2
Зарлага,2006,1237008.0
Зарлага,2007,1747310.5
Зарлага,2008,2466774.4
Зарлага,2009,2336629.5
Зарлага,2010,3080685.1
Зарлага,2011,4997039.9
Зарлага,2012,6017800.5
Зарлага,2013,6164685.3
Зарлага,2014,7144568.0
Зарлага,2015,7137973.9
Зарлага,2016,9495332.9
Зарлага,2017,9017318.6
Зарлага,2018,9317220.8
Зарлага,2019,11661701.2
Зарлага,2020,13904273.0
Зарлага,2021,15630443.9
Зарлага,2022,18159668.9
Зарлага,2023,22509000.1
Зарлага,2024,30591083.9
Зарлага,2025,31289204.3
Орлого,1991,7208.7
Орлого,1992,12824.9
Орлого,1993,57682.3
Орлого,1994,86132.1
Орлого,1995,144568.9
Орлого,1996,162923.6
Орлого,1997,222528.3
Орлого,1998,239998.1
Орлого,1999,266494.6
Орлого,2000,347409.5
Орлого,2001,439290.0
Орлого,2002,477049.0
Орлого,2003,553889.3
Орлого,2004,713113.6
Орлого,2005,837858.3
Орлого,2006,1360409.8
Орлого,2007,1880488.9
Орлого,2008,2170370.0
Орлого,2009,1993995.6
Орлого,2010,3122464.2
Орлого,2011,4227178.1
Орлого,2012,4881171.9
Орлого,2013,5940066.7
Орлого,2014,6276608.8
Орлого,2015,5981064.0
Орлого,2016,5835043.8
Орлого,2017,7274861.6
Орлого,2018,9345080.1
Орлого,2019,10905510.8
Орлого,2020,9463838.2
Орлого,2021,12711434.7
Орлого,2022,17126936.3
Орлого,2023,23294889.9
Орлого,2024,29670835.6
Орлого,2025,30057666.1
