байршил,он,зарлага_төгрөг
Хөдөө,1997,50401.0
Улсын дүн,1997,56311.0
Хот,1997,61989.0
Улсын дүн,1998,69098.0
Хот,1998,80189.0
Хөдөө,1998,57083.0
Хөдөө,1999,59439.0
Улсын дүн,1999,71804.0
Хот,1999,84158.0
Хот,2000,113644.0
Хөдөө,2000,102666.0
Улсын дүн,2000,108011.0
Хот,2001,133579.0
Хөдөө,2001,85994.0
Улсын дүн,2001,111119.0
Хот,2002,174847.0
Улсын дүн,2002,163654.0
Хөдөө,2002,151101.0
Хот,2003,173493.0
Улсын дүн,2003,165552.0
Хөдөө,2003,158021.0
Улсын дүн,2004,182630.0
Хот,2004,180291.0
Хөдөө,2004,186250.0
Хот,2005,205109.0
Хөдөө,2005,162479.0
Улсын дүн,2005,194078.0
Хот,2006,232188.0
Хөдөө,2006,211644.0
Улсын дүн,2006,228172.0
Хөдөө,2007,266768.0
Улсын дүн,2007,292488.0
Хот,2007,308016.0
Хөдөө,2008,293653.0
Улсын дүн,2008,367466.0
Хот,2008,421924.0
Улсын дүн,2009,437602.0
Хот,2009,471336.0
Хөдөө,2009,391883.0
Хөдөө,2010,387937.0
Улсын дүн,2010,450206.0
Хот,2010,501042.0
Хөдөө,2011,497633.0
Хот,2011,648829.0
Улсын дүн,2011,577406.0
Хот,2012,905269.0
Хөдөө,2012,657836.0
Улсын дүн,2012,820263.0
Хөдөө,2013,833997.0
Хот,2013,1036809.0
Улсын дүн,2013,961677.0
Улсын дүн,2014,1076557.0
Хот,2014,1145363.0
Хөдөө,2014,955939.0
Улсын дүн,2015,1064808.0
Хот,2015,1100058.0
Хөдөө,2015,999615.0
Хөдөө,2016,889681.0
Хот,2016,1003893.0
Улсын дүн,2016,966197.0
Улсын дүн,2017,1092384.0
Хөдөө,2017,986406.0
Хот,2017,1150764.0
Хөдөө,2018,1096030.0
Улсын дүн,2018,1240731.0
Хот,2018,1320376.0
Улсын дүн,2019,1416640.0
Хот,2019,1476833.0
Хөдөө,2019,1299329.0
Улсын дүн,2020,1519398.0
Хот,2020,1610308.0
Хөдөө,2020,1344028.0
Хот,2021,1545828.0
Хөдөө,2021,1410755.0
Улсын дүн,2021,1499180.0
Хөдөө,2022,1687923.0
Улсын дүн,2022,1851637.0
Хот,2022,1935522.0
Хот,2023,2314620.0
Хөдөө,2023,1933596.0
Улсын дүн,2023,2196615.0
Хот,2024,2818937.0
Хөдөө,2024,2235728.0
Улсын дүн,2024,2631689.0
