location,year,value
Rural,1997,49658.0
Urban,1997,62522.0
Rural,1998,59333.0
Urban,1998,73101.0
Rural,1999,59306.0
Urban,1999,75546.0
Rural,2000,102666.0
Urban,2000,113644.0
Rural,2001,85994.0
Urban,2001,133579.0
Rural,2002,156087.0
Urban,2002,157170.0
Rural,2003,173663.0
Urban,2003,184639.0
Rural,2004,201197.0
Urban,2004,173109.0
Rural,2005,163122.0
Urban,2005,176560.0
Rural,2006,207588.0
Urban,2006,181165.0
Rural,2007,254090.0
Urban,2007,269472.0
Rural,2008,305216.0
Urban,2008,406667.0
Rural,2009,331600.0
Urban,2009,454854.0
Rural,2010,386605.0
Urban,2010,498172.0
Rural,2011,488984.0
Urban,2011,649248.0
Rural,2012,649239.0
Urban,2012,909361.0
Rural,2013,814129.0
Urban,2013,1044640.0
Rural,2014,915606.0
Urban,2014,1174005.0
Rural,2015,911424.0
Urban,2015,1120699.0
Rural,2016,816297.0
Urban,2016,1007145.0
Rural,2017,885891.0
Urban,2017,1117921.0
Rural,2018,998511.0
Urban,2018,1281546.0
Rural,2019,1180662.0
Urban,2019,1426942.0
Rural,2020,1270289.0
Urban,2020,1632497.0
Rural,2021,1471851.0
Urban,2021,1700382.0
Rural,2022,1628154.0
Urban,2022,1979678.0
Rural,2023,1858933.0
Urban,2023,2298468.0
Rural,2024,2069149.0
Urban,2024,2803740.0
