байршил,он,утга
Хот,1997,62522.0
Хөдөө,1997,49658.0
Хот,1998,73101.0
Хөдөө,1998,59333.0
Хот,1999,75546.0
Хөдөө,1999,59306.0
Хот,2000,113644.0
Хөдөө,2000,102666.0
Хот,2001,133579.0
Хөдөө,2001,85994.0
Хот,2002,157170.0
Хөдөө,2002,156087.0
Хот,2003,184639.0
Хөдөө,2003,173663.0
Хот,2004,173109.0
Хөдөө,2004,201197.0
Хот,2005,176560.0
Хөдөө,2005,163122.0
Хот,2006,181165.0
Хөдөө,2006,207588.0
Хот,2007,269472.0
Хөдөө,2007,254090.0
Хот,2008,406667.0
Хөдөө,2008,305216.0
Хот,2009,454854.0
Хөдөө,2009,331600.0
Хот,2010,498172.0
Хөдөө,2010,386605.0
Хот,2011,649248.0
Хөдөө,2011,488984.0
Хот,2012,909361.0
Хөдөө,2012,649239.0
Хот,2013,1044640.0
Хөдөө,2013,814129.0
Хот,2014,1174005.0
Хөдөө,2014,915606.0
Хот,2015,1120699.0
Хөдөө,2015,911424.0
Хот,2016,1007145.0
Хөдөө,2016,816297.0
Хот,2017,1117921.0
Хөдөө,2017,885891.0
Хот,2018,1281546.0
Хөдөө,2018,998511.0
Хот,2019,1426942.0
Хөдөө,2019,1180662.0
Хот,2020,1632497.0
Хөдөө,2020,1270289.0
Хот,2021,1700382.0
Хөдөө,2021,1471851.0
Хот,2022,1979678.0
Хөдөө,2022,1628154.0
Хот,2023,2298468.0
Хөдөө,2023,1858933.0
Хот,2024,2803740.0
Хөдөө,2024,2069149.0
