year,vehicle_type,count
2007,Buses & Large Vehicles,2791
2007,Freight Vehicles,13114
2007,Passenger Cars,22004
2008,Buses & Large Vehicles,3172
2008,Freight Vehicles,17733
2008,Passenger Cars,38241
2009,Buses & Large Vehicles,1178
2009,Freight Vehicles,4557
2009,Passenger Cars,11451
2010,Buses & Large Vehicles,1634
2010,Freight Vehicles,12221
2010,Passenger Cars,26066
2011,Buses & Large Vehicles,2807
2011,Freight Vehicles,24853
2011,Passenger Cars,56805
2012,Buses & Large Vehicles,2432
2012,Freight Vehicles,22438
2012,Passenger Cars,45748
2013,Buses & Large Vehicles,1800
2013,Freight Vehicles,17995
2013,Passenger Cars,44680
2014,Buses & Large Vehicles,1291
2014,Freight Vehicles,12500
2014,Passenger Cars,41246
2015,Buses & Large Vehicles,870
2015,Freight Vehicles,7675
2015,Passenger Cars,37086
2016,Buses & Large Vehicles,964
2016,Freight Vehicles,6836
2016,Passenger Cars,37735
2017,Buses & Large Vehicles,1201
2017,Freight Vehicles,14155
2017,Passenger Cars,48870
2018,Buses & Large Vehicles,1363
2018,Freight Vehicles,22256
2018,Passenger Cars,64039
2019,Buses & Large Vehicles,1543
2019,Freight Vehicles,23050
2019,Passenger Cars,69472
2020,Buses & Large Vehicles,1359
2020,Freight Vehicles,20982
2020,Passenger Cars,53087
2021,Buses & Large Vehicles,1095
2021,Freight Vehicles,26526
2021,Passenger Cars,55238
2022,Buses & Large Vehicles,1082
2022,Freight Vehicles,22369
2022,Passenger Cars,65612
2023,Buses & Large Vehicles,1731
2023,Freight Vehicles,21361
2023,Passenger Cars,73556
2024,Buses & Large Vehicles,2383
2024,Freight Vehicles,28822
2024,Passenger Cars,123089
2025,Buses & Large Vehicles,1175
2025,Freight Vehicles,20965
2025,Passenger Cars,90151
