year,vehicle_type,count
2007,"Автобус, том тээврийн хэрэгсэл",2791
2007,Ачааны тээврийн хэрэгсэл,13114
2007,Суудлын автомашин,22004
2008,"Автобус, том тээврийн хэрэгсэл",3172
2008,Ачааны тээврийн хэрэгсэл,17733
2008,Суудлын автомашин,38241
2009,"Автобус, том тээврийн хэрэгсэл",1178
2009,Ачааны тээврийн хэрэгсэл,4557
2009,Суудлын автомашин,11451
2010,"Автобус, том тээврийн хэрэгсэл",1634
2010,Ачааны тээврийн хэрэгсэл,12221
2010,Суудлын автомашин,26066
2011,"Автобус, том тээврийн хэрэгсэл",2807
2011,Ачааны тээврийн хэрэгсэл,24853
2011,Суудлын автомашин,56805
2012,"Автобус, том тээврийн хэрэгсэл",2432
2012,Ачааны тээврийн хэрэгсэл,22438
2012,Суудлын автомашин,45748
2013,"Автобус, том тээврийн хэрэгсэл",1800
2013,Ачааны тээврийн хэрэгсэл,17995
2013,Суудлын автомашин,44680
2014,"Автобус, том тээврийн хэрэгсэл",1291
2014,Ачааны тээврийн хэрэгсэл,12500
2014,Суудлын автомашин,41246
2015,"Автобус, том тээврийн хэрэгсэл",870
2015,Ачааны тээврийн хэрэгсэл,7675
2015,Суудлын автомашин,37086
2016,"Автобус, том тээврийн хэрэгсэл",964
2016,Ачааны тээврийн хэрэгсэл,6836
2016,Суудлын автомашин,37735
2017,"Автобус, том тээврийн хэрэгсэл",1201
2017,Ачааны тээврийн хэрэгсэл,14155
2017,Суудлын автомашин,48870
2018,"Автобус, том тээврийн хэрэгсэл",1363
2018,Ачааны тээврийн хэрэгсэл,22256
2018,Суудлын автомашин,64039
2019,"Автобус, том тээврийн хэрэгсэл",1543
2019,Ачааны тээврийн хэрэгсэл,23050
2019,Суудлын автомашин,69472
2020,"Автобус, том тээврийн хэрэгсэл",1359
2020,Ачааны тээврийн хэрэгсэл,20982
2020,Суудлын автомашин,53087
2021,"Автобус, том тээврийн хэрэгсэл",1095
2021,Ачааны тээврийн хэрэгсэл,26526
2021,Суудлын автомашин,55238
2022,"Автобус, том тээврийн хэрэгсэл",1082
2022,Ачааны тээврийн хэрэгсэл,22369
2022,Суудлын автомашин,65612
2023,"Автобус, том тээврийн хэрэгсэл",1731
2023,Ачааны тээврийн хэрэгсэл,21361
2023,Суудлын автомашин,73556
2024,"Автобус, том тээврийн хэрэгсэл",2383
2024,Ачааны тээврийн хэрэгсэл,28822
2024,Суудлын автомашин,123089
2025,"Автобус, том тээврийн хэрэгсэл",1175
2025,Ачааны тээврийн хэрэгсэл,20965
2025,Суудлын автомашин,90151
