он,улс,тоо
2007,Австри,0
2007,Канад,5
2007,БНХАУ,87
2007,ХБHГУ,436
2007,Япон,18857
2007,Бусад,60
2007,БНСУ,2222
2007,ОХУ,194
2007,Тайланд,0
2007,Их Британи,143
2007,Америкийн Нэгдсэн Улс,0
2008,Австри,0
2008,Канад,1
2008,БНХАУ,79
2008,ХБHГУ,799
2008,Япон,31167
2008,Бусад,80
2008,БНСУ,5591
2008,ОХУ,333
2008,Тайланд,31
2008,Их Британи,160
2008,Америкийн Нэгдсэн Улс,0
2009,Австри,0
2009,Канад,1
2009,БНХАУ,9
2009,ХБHГУ,292
2009,Япон,9047
2009,Бусад,154
2009,БНСУ,1701
2009,ОХУ,101
2009,Тайланд,15
2009,Их Британи,131
2009,Америкийн Нэгдсэн Улс,0
2010,Австри,0
2010,Канад,0
2010,БНХАУ,89
2010,ХБHГУ,537
2010,Япон,22233
2010,Бусад,126
2010,БНСУ,2656
2010,ОХУ,212
2010,Тайланд,34
2010,Их Британи,179
2010,Америкийн Нэгдсэн Улс,0
2011,Австри,0
2011,Канад,2
2011,БНХАУ,128
2011,ХБHГУ,1458
2011,Япон,44011
2011,Бусад,158
2011,БНСУ,10371
2011,ОХУ,209
2011,Тайланд,64
2011,Их Британи,404
2011,Америкийн Нэгдсэн Улс,0
2012,Австри,0
2012,Канад,5
2012,БНХАУ,44
2012,ХБHГУ,1096
2012,Япон,34942
2012,Бусад,140
2012,БНСУ,9069
2012,ОХУ,155
2012,Тайланд,50
2012,Их Британи,247
2012,Америкийн Нэгдсэн Улс,0
2013,Австри,2
2013,Канад,3
2013,БНХАУ,27
2013,ХБHГУ,830
2013,Япон,37275
2013,Бусад,65
2013,БНСУ,5732
2013,ОХУ,140
2013,Тайланд,34
2013,Их Британи,115
2013,Америкийн Нэгдсэн Улс,457
2014,Австри,1
2014,Канад,3
2014,БНХАУ,19
2014,ХБHГУ,423
2014,Япон,37783
2014,Бусад,66
2014,БНСУ,2458
2014,ОХУ,31
2014,Тайланд,18
2014,Их Британи,99
2014,Америкийн Нэгдсэн Улс,345
2015,Австри,14
2015,Канад,21
2015,БНХАУ,4
2015,ХБHГУ,248
2015,Япон,33825
2015,Бусад,39
2015,БНСУ,2568
2015,ОХУ,84
2015,Тайланд,4
2015,Их Британи,94
2015,Америкийн Нэгдсэн Улс,185
2016,Австри,1
2016,Канад,15
2016,БНХАУ,26
2016,ХБHГУ,260
2016,Япон,33038
2016,Бусад,77
2016,БНСУ,3959
2016,ОХУ,65
2016,Тайланд,19
2016,Их Британи,36
2016,Америкийн Нэгдсэн Улс,239
2017,Австри,28
2017,Канад,34
2017,БНХАУ,76
2017,ХБHГУ,315
2017,Япон,45050
2017,Бусад,55
2017,БНСУ,2927
2017,ОХУ,167
2017,Тайланд,1
2017,Их Британи,75
2017,Америкийн Нэгдсэн Улс,142
2018,Австри,28
2018,Канад,253
2018,БНХАУ,127
2018,ХБHГУ,722
2018,Япон,59918
2018,Бусад,123
2018,БНСУ,2096
2018,ОХУ,228
2018,Тайланд,20
2018,Их Британи,112
2018,Америкийн Нэгдсэн Улс,412
2019,Австри,135
2019,Канад,337
2019,БНХАУ,54
2019,ХБHГУ,845
2019,Япон,65372
2019,Бусад,196
2019,БНСУ,1295
2019,ОХУ,539
2019,Тайланд,93
2019,Их Британи,121
2019,Америкийн Нэгдсэн Улс,485
2020,Австри,147
2020,Канад,267
2020,БНХАУ,128
2020,ХБHГУ,719
2020,Япон,49779
2020,Бусад,218
2020,БНСУ,840
2020,ОХУ,226
2020,Тайланд,69
2020,Их Британи,125
2020,Америкийн Нэгдсэн Улс,569
2021,Австри,145
2021,Канад,266
2021,БНХАУ,239
2021,ХБHГУ,595
2021,Япон,52014
2021,Бусад,200
2021,БНСУ,876
2021,ОХУ,141
2021,Тайланд,32
2021,Их Британи,116
2021,Америкийн Нэгдсэн Улс,614
2022,Австри,206
2022,Канад,259
2022,БНХАУ,1550
2022,ХБHГУ,924
2022,Япон,60160
2022,Бусад,299
2022,БНСУ,1094
2022,ОХУ,100
2022,Тайланд,72
2022,Их Британи,125
2022,Америкийн Нэгдсэн Улс,823
2023,Австри,207
2023,Канад,93
2023,БНХАУ,2050
2023,ХБHГУ,936
2023,Япон,67843
2023,Бусад,298
2023,БНСУ,1267
2023,ОХУ,4
2023,Тайланд,32
2023,Их Британи,161
2023,Америкийн Нэгдсэн Улс,665
2024,Австри,77
2024,Канад,166
2024,БНХАУ,3546
2024,ХБHГУ,1180
2024,Япон,114780
2024,Бусад,510
2024,БНСУ,1365
2024,ОХУ,55
2024,Тайланд,52
2024,Их Британи,208
2024,Америкийн Нэгдсэн Улс,1150
2025,Австри,161
2025,Канад,140
2025,БНХАУ,3924
2025,ХБHГУ,919
2025,Япон,82811
2025,Бусад,302
2025,БНСУ,848
2025,ОХУ,19
2025,Тайланд,51
2025,Их Британи,155
2025,Америкийн Нэгдсэн Улс,1076
