year,purpose,passengers
2025,Business,72057
2025,Other,293980
2025,Permanent residence,20392
2025,Personal,15407
2025,Study,10837
2025,Tourism,417935
2025,Transit,47791
2025,Work,72809
2024,Business,60583
2024,Other,140264
2024,Permanent residence,59535
2024,Personal,112589
2024,Study,11295
2024,Tourism,389451
2024,Transit,24499
2024,Work,55619
2023,Business,34620
2023,Other,16884
2023,Permanent residence,14903
2023,Personal,198291
2023,Study,9274
2023,Tourism,320630
2023,Transit,23588
2023,Work,25874
2022,Business,27550
2022,Other,8374
2022,Permanent residence,5890
2022,Personal,121936
2022,Study,1677
2022,Tourism,122930
2022,Transit,5492
2022,Work,6671
2021,Business,10935
2021,Other,2760
2021,Permanent residence,1136
2021,Personal,18327
2021,Study,509
2021,Tourism,1010
2021,Transit,68
2021,Work,4491
2020,Business,19738
2020,Other,3010
2020,Permanent residence,1983
2020,Personal,27996
2020,Study,542
2020,Tourism,7798
2020,Transit,317
2020,Work,5556
2019,Business,52680
2019,Other,47934
2019,Permanent residence,11765
2019,Personal,207850
2019,Study,6503
2019,Tourism,260078
2019,Transit,8758
2019,Work,41392
2018,Business,54359
2018,Other,44409
2018,Permanent residence,9905
2018,Personal,204557
2018,Study,4757
2018,Tourism,222168
2018,Transit,3877
2018,Work,54374
2017,Business,53896
2017,Other,35654
2017,Permanent residence,8723
2017,Personal,184739
2017,Study,3540
2017,Tourism,191147
2017,Transit,3873
2017,Work,61131
2016,Business,79362
2016,Other,26076
2016,Permanent residence,6608
2016,Personal,145658
2016,Study,2981
2016,Tourism,150335
2016,Transit,2732
2016,Work,57490
2015,Business,94458
2015,Other,20403
2015,Permanent residence,4092
2015,Personal,149408
2015,Study,2369
2015,Tourism,120891
2015,Transit,1044
2015,Work,74566
2014,Business,131510
2014,Other,5749
2014,Permanent residence,2294
2014,Personal,128280
2014,Study,2388
2014,Tourism,123331
2014,Transit,3974
2014,Work,108160
2013,Business,137367
2013,Other,4028
2013,Permanent residence,1633
2013,Personal,158253
2013,Study,2167
2013,Tourism,115729
2013,Transit,2438
2013,Work,93590
2012,Business,154843
2012,Other,6293
2012,Permanent residence,4353
2012,Personal,196347
2012,Study,1798
2012,Tourism,115397
2012,Transit,3012
2012,Work,141796
2011,Business,137375
2011,Other,12961
2011,Permanent residence,1603
2011,Personal,194524
2011,Study,1615
2011,Tourism,111213
2011,Transit,4287
2011,Work,163429
2010,Business,119772
2010,Other,26874
2010,Permanent residence,2083
2010,Personal,206513
2010,Study,1623
2010,Tourism,96949
2010,Transit,5974
2010,Work,97695
2009,Business,88164
2009,Other,31642
2009,Permanent residence,2462
2009,Personal,181620
2009,Study,2464
2009,Tourism,100872
2009,Transit,9366
2009,Work,48260
2008,Business,85369
2008,Other,22998
2008,Permanent residence,1651
2008,Personal,228099
2008,Study,1742
2008,Tourism,103824
2008,Transit,6103
2008,Work,19011
2007,Business,102970
2007,Other,18523
2007,Permanent residence,1311
2007,Personal,193247
2007,Study,1663
2007,Tourism,127444
2007,Transit,9604
2007,Work,0
2006,Business,82679
2006,Other,17881
2006,Permanent residence,1869
2006,Personal,154130
2006,Study,2141
2006,Tourism,134895
2006,Transit,14895
2006,Work,0
