year,purpose,passengers
2025,Ажиллах,72809
2025,Албан ажлаар,72057
2025,БОС,20392
2025,Бусад,293980
2025,Дамжин өнгөрөх,47791
2025,Жуулчлал,417935
2025,Суралцах,10837
2025,Хувийн журмаар,15407
2024,Ажиллах,55619
2024,Албан ажлаар,60583
2024,БОС,59535
2024,Бусад,140264
2024,Дамжин өнгөрөх,24499
2024,Жуулчлал,389451
2024,Суралцах,11295
2024,Хувийн журмаар,112589
2023,Ажиллах,25874
2023,Албан ажлаар,34620
2023,БОС,14903
2023,Бусад,16884
2023,Дамжин өнгөрөх,23588
2023,Жуулчлал,320630
2023,Суралцах,9274
2023,Хувийн журмаар,198291
2022,Ажиллах,6671
2022,Албан ажлаар,27550
2022,БОС,5890
2022,Бусад,8374
2022,Дамжин өнгөрөх,5492
2022,Жуулчлал,122930
2022,Суралцах,1677
2022,Хувийн журмаар,121936
2021,Ажиллах,4491
2021,Албан ажлаар,10935
2021,БОС,1136
2021,Бусад,2760
2021,Дамжин өнгөрөх,68
2021,Жуулчлал,1010
2021,Суралцах,509
2021,Хувийн журмаар,18327
2020,Ажиллах,5556
2020,Албан ажлаар,19738
2020,БОС,1983
2020,Бусад,3010
2020,Дамжин өнгөрөх,317
2020,Жуулчлал,7798
2020,Суралцах,542
2020,Хувийн журмаар,27996
2019,Ажиллах,41392
2019,Албан ажлаар,52680
2019,БОС,11765
2019,Бусад,47934
2019,Дамжин өнгөрөх,8758
2019,Жуулчлал,260078
2019,Суралцах,6503
2019,Хувийн журмаар,207850
2018,Ажиллах,54374
2018,Албан ажлаар,54359
2018,БОС,9905
2018,Бусад,44409
2018,Дамжин өнгөрөх,3877
2018,Жуулчлал,222168
2018,Суралцах,4757
2018,Хувийн журмаар,204557
2017,Ажиллах,61131
2017,Албан ажлаар,53896
2017,БОС,8723
2017,Бусад,35654
2017,Дамжин өнгөрөх,3873
2017,Жуулчлал,191147
2017,Суралцах,3540
2017,Хувийн журмаар,184739
2016,Ажиллах,57490
2016,Албан ажлаар,79362
2016,БОС,6608
2016,Бусад,26076
2016,Дамжин өнгөрөх,2732
2016,Жуулчлал,150335
2016,Суралцах,2981
2016,Хувийн журмаар,145658
2015,Ажиллах,74566
2015,Албан ажлаар,94458
2015,БОС,4092
2015,Бусад,20403
2015,Дамжин өнгөрөх,1044
2015,Жуулчлал,120891
2015,Суралцах,2369
2015,Хувийн журмаар,149408
2014,Ажиллах,108160
2014,Албан ажлаар,131510
2014,БОС,2294
2014,Бусад,5749
2014,Дамжин өнгөрөх,3974
2014,Жуулчлал,123331
2014,Суралцах,2388
2014,Хувийн журмаар,128280
2013,Ажиллах,93590
2013,Албан ажлаар,137367
2013,БОС,1633
2013,Бусад,4028
2013,Дамжин өнгөрөх,2438
2013,Жуулчлал,115729
2013,Суралцах,2167
2013,Хувийн журмаар,158253
2012,Ажиллах,141796
2012,Албан ажлаар,154843
2012,БОС,4353
2012,Бусад,6293
2012,Дамжин өнгөрөх,3012
2012,Жуулчлал,115397
2012,Суралцах,1798
2012,Хувийн журмаар,196347
2011,Ажиллах,163429
2011,Албан ажлаар,137375
2011,БОС,1603
2011,Бусад,12961
2011,Дамжин өнгөрөх,4287
2011,Жуулчлал,111213
2011,Суралцах,1615
2011,Хувийн журмаар,194524
2010,Ажиллах,97695
2010,Албан ажлаар,119772
2010,БОС,2083
2010,Бусад,26874
2010,Дамжин өнгөрөх,5974
2010,Жуулчлал,96949
2010,Суралцах,1623
2010,Хувийн журмаар,206513
2009,Ажиллах,48260
2009,Албан ажлаар,88164
2009,БОС,2462
2009,Бусад,31642
2009,Дамжин өнгөрөх,9366
2009,Жуулчлал,100872
2009,Суралцах,2464
2009,Хувийн журмаар,181620
2008,Ажиллах,19011
2008,Албан ажлаар,85369
2008,БОС,1651
2008,Бусад,22998
2008,Дамжин өнгөрөх,6103
2008,Жуулчлал,103824
2008,Суралцах,1742
2008,Хувийн журмаар,228099
2007,Ажиллах,0
2007,Албан ажлаар,102970
2007,БОС,1311
2007,Бусад,18523
2007,Дамжин өнгөрөх,9604
2007,Жуулчлал,127444
2007,Суралцах,1663
2007,Хувийн журмаар,193247
2006,Ажиллах,0
2006,Албан ажлаар,82679
2006,БОС,1869
2006,Бусад,17881
2006,Дамжин өнгөрөх,14895
2006,Жуулчлал,134895
2006,Суралцах,2141
2006,Хувийн журмаар,154130
