region,year,passengers
Africa,2006,1083
America,2006,15022
East Asia and the Pacific,2006,259130
Europe,2006,130455
Middle East,2006,1282
South Asia,2006,1407
Stateless,2006,111
Africa,2007,814
America,2007,15564
East Asia and the Pacific,2007,291253
Europe,2007,144269
Middle East,2007,1331
South Asia,2007,1271
Stateless,2007,260
Africa,2008,626
America,2008,16044
East Asia and the Pacific,2008,294144
Europe,2008,154612
Middle East,2008,1614
South Asia,2008,1370
Stateless,2008,387
Africa,2009,503
America,2009,14368
East Asia and the Pacific,2009,298086
Europe,2009,148753
Middle East,2009,1637
South Asia,2009,1451
Stateless,2009,52
Africa,2010,606
America,2010,16708
East Asia and the Pacific,2010,367161
Europe,2010,168826
Middle East,2010,2569
South Asia,2010,1597
Stateless,2010,16
Africa,2011,12336
America,2011,21498
East Asia and the Pacific,2011,432654
Europe,2011,150892
Middle East,2011,2469
South Asia,2011,7149
Stateless,2011,9
Africa,2012,1457
America,2012,22884
East Asia and the Pacific,2012,461035
Europe,2012,133010
Middle East,2012,3138
South Asia,2012,2310
Stateless,2012,5
Africa,2013,1600
America,2013,21323
East Asia and the Pacific,2013,362074
Europe,2013,123342
Middle East,2013,4213
South Asia,2013,2650
Stateless,2013,3
Africa,2014,1126
America,2014,19131
East Asia and the Pacific,2014,359397
Europe,2014,119969
Middle East,2014,3766
South Asia,2014,2295
Stateless,2014,2
Africa,2015,982
America,2015,19607
East Asia and the Pacific,2015,320191
Europe,2015,120089
Middle East,2015,4013
South Asia,2015,2329
Stateless,2015,20
Africa,2016,1165
America,2016,21949
East Asia and the Pacific,2016,303255
Europe,2016,138152
Middle East,2016,3830
South Asia,2016,2876
Stateless,2016,15
Africa,2017,1520
America,2017,24096
East Asia and the Pacific,2017,345648
Europe,2017,164392
Middle East,2017,3884
South Asia,2017,3127
Stateless,2017,36
Africa,2018,1848
America,2018,25767
East Asia and the Pacific,2018,372876
Europe,2018,189161
Middle East,2018,4806
South Asia,2018,3909
Stateless,2018,39
Africa,2019,2444
America,2019,27174
East Asia and the Pacific,2019,390323
Europe,2019,205230
Middle East,2019,5289
South Asia,2019,6463
Stateless,2019,37
Africa,2020,422
America,2020,1862
East Asia and the Pacific,2020,27806
Europe,2020,35931
Middle East,2020,620
South Asia,2020,296
Stateless,2020,3
Africa,2021,401
America,2021,2054
East Asia and the Pacific,2021,12799
Europe,2021,21419
Middle East,2021,1917
South Asia,2021,643
Stateless,2021,3
Africa,2022,1391
America,2022,11086
East Asia and the Pacific,2022,103374
Europe,2022,177833
Middle East,2022,4668
South Asia,2022,2157
Stateless,2022,11
Africa,2023,1835
America,2023,17786
East Asia and the Pacific,2023,350738
Europe,2023,260606
Middle East,2023,8741
South Asia,2023,4349
Stateless,2023,9
Africa,2024,1796
America,2024,21498
East Asia and the Pacific,2024,540279
Europe,2024,274040
Middle East,2024,10215
South Asia,2024,5997
Stateless,2024,10
Africa,2025,1699
America,2025,25390
East Asia and the Pacific,2025,599997
Europe,2025,299380
Middle East,2025,16394
South Asia,2025,8334
Stateless,2025,14
