бүс,он,зорчигч
Америк,2006,15022
Африк,2006,1083
Европ,2006,130455
Зүүн Ази болон Номхон далайн орнууд,2006,259130
Ойрхи Дорнод,2006,1282
Харьяалалгүй,2006,111
Өмнөд Ази,2006,1407
Америк,2007,15564
Африк,2007,814
Европ,2007,144269
Зүүн Ази болон Номхон далайн орнууд,2007,291253
Ойрхи Дорнод,2007,1331
Харьяалалгүй,2007,260
Өмнөд Ази,2007,1271
Америк,2008,16044
Африк,2008,626
Европ,2008,154612
Зүүн Ази болон Номхон далайн орнууд,2008,294144
Ойрхи Дорнод,2008,1614
Харьяалалгүй,2008,387
Өмнөд Ази,2008,1370
Америк,2009,14368
Африк,2009,503
Европ,2009,148753
Зүүн Ази болон Номхон далайн орнууд,2009,298086
Ойрхи Дорнод,2009,1637
Харьяалалгүй,2009,52
Өмнөд Ази,2009,1451
Америк,2010,16708
Африк,2010,606
Европ,2010,168826
Зүүн Ази болон Номхон далайн орнууд,2010,367161
Ойрхи Дорнод,2010,2569
Харьяалалгүй,2010,16
Өмнөд Ази,2010,1597
Америк,2011,21498
Африк,2011,12336
Европ,2011,150892
Зүүн Ази болон Номхон далайн орнууд,2011,432654
Ойрхи Дорнод,2011,2469
Харьяалалгүй,2011,9
Өмнөд Ази,2011,7149
Америк,2012,22884
Африк,2012,1457
Европ,2012,133010
Зүүн Ази болон Номхон далайн орнууд,2012,461035
Ойрхи Дорнод,2012,3138
Харьяалалгүй,2012,5
Өмнөд Ази,2012,2310
Америк,2013,21323
Африк,2013,1600
Европ,2013,123342
Зүүн Ази болон Номхон далайн орнууд,2013,362074
Ойрхи Дорнод,2013,4213
Харьяалалгүй,2013,3
Өмнөд Ази,2013,2650
Америк,2014,19131
Африк,2014,1126
Европ,2014,119969
Зүүн Ази болон Номхон далайн орнууд,2014,359397
Ойрхи Дорнод,2014,3766
Харьяалалгүй,2014,2
Өмнөд Ази,2014,2295
Америк,2015,19607
Африк,2015,982
Европ,2015,120089
Зүүн Ази болон Номхон далайн орнууд,2015,320191
Ойрхи Дорнод,2015,4013
Харьяалалгүй,2015,20
Өмнөд Ази,2015,2329
Америк,2016,21949
Африк,2016,1165
Европ,2016,138152
Зүүн Ази болон Номхон далайн орнууд,2016,303255
Ойрхи Дорнод,2016,3830
Харьяалалгүй,2016,15
Өмнөд Ази,2016,2876
Америк,2017,24096
Африк,2017,1520
Европ,2017,164392
Зүүн Ази болон Номхон далайн орнууд,2017,345648
Ойрхи Дорнод,2017,3884
Харьяалалгүй,2017,36
Өмнөд Ази,2017,3127
Америк,2018,25767
Африк,2018,1848
Европ,2018,189161
Зүүн Ази болон Номхон далайн орнууд,2018,372876
Ойрхи Дорнод,2018,4806
Харьяалалгүй,2018,39
Өмнөд Ази,2018,3909
Америк,2019,27174
Африк,2019,2444
Европ,2019,205230
Зүүн Ази болон Номхон далайн орнууд,2019,390323
Ойрхи Дорнод,2019,5289
Харьяалалгүй,2019,37
Өмнөд Ази,2019,6463
Америк,2020,1862
Африк,2020,422
Европ,2020,35931
Зүүн Ази болон Номхон далайн орнууд,2020,27806
Ойрхи Дорнод,2020,620
Харьяалалгүй,2020,3
Өмнөд Ази,2020,296
Америк,2021,2054
Африк,2021,401
Европ,2021,21419
Зүүн Ази болон Номхон далайн орнууд,2021,12799
Ойрхи Дорнод,2021,1917
Харьяалалгүй,2021,3
Өмнөд Ази,2021,643
Америк,2022,11086
Африк,2022,1391
Европ,2022,177833
Зүүн Ази болон Номхон далайн орнууд,2022,103374
Ойрхи Дорнод,2022,4668
Харьяалалгүй,2022,11
Өмнөд Ази,2022,2157
Америк,2023,17786
Африк,2023,1835
Европ,2023,260606
Зүүн Ази болон Номхон далайн орнууд,2023,350738
Ойрхи Дорнод,2023,8741
Харьяалалгүй,2023,9
Өмнөд Ази,2023,4349
Америк,2024,21498
Африк,2024,1796
Европ,2024,274040
Зүүн Ази болон Номхон далайн орнууд,2024,540279
Ойрхи Дорнод,2024,10215
Харьяалалгүй,2024,10
Өмнөд Ази,2024,5997
Америк,2025,25390
Африк,2025,1699
Европ,2025,299380
Зүүн Ази болон Номхон далайн орнууд,2025,599997
Ойрхи Дорнод,2025,16394
Харьяалалгүй,2025,14
Өмнөд Ази,2025,8334
