subdivision,date,value
Mining and quarrying,2026-03,5042.8
Mining and quarrying,2026-02,4373.5
Mining and quarrying,2026-01,4167.1
Mining and quarrying,2025-12,4695.5
Mining and quarrying,2025-11,4247.6
Mining and quarrying,2025-10,4187.7
Mining and quarrying,2025-09,3846.0
Mining and quarrying,2025-08,3772.4
Mining and quarrying,2025-07,3559.9
Mining and quarrying,2025-06,2916.7
Mining and quarrying,2025-05,3564.3
Mining and quarrying,2025-04,3246.3
Mining and quarrying,2025-03,2727.6
Mining and quarrying,2025-02,2453.6
Mining and quarrying,2025-01,2616.6
Mining and quarrying,2024-12,3169.9
Mining and quarrying,2024-11,3222.9
Mining and quarrying,2024-10,3682.4
Mining and quarrying,2024-09,3336.3
Mining and quarrying,2024-08,3257.3
Mining and quarrying,2024-07,3292.8
Mining and quarrying,2024-06,3804.8
Mining and quarrying,2024-05,3924.2
Mining and quarrying,2024-04,3685.6
Mining and quarrying,2024-03,3627.5
Mining and quarrying,2024-02,3059.7
Mining and quarrying,2024-01,2863.2
Mining and quarrying,2023-12,2873.2
Mining and quarrying,2023-11,2938.1
Mining and quarrying,2023-10,2814.7
Mining and quarrying,2023-09,2941.4
Mining and quarrying,2023-08,2916.5
Mining and quarrying,2023-07,2217.6
Mining and quarrying,2023-06,2281.0
Mining and quarrying,2023-05,2304.0
Mining and quarrying,2023-04,2433.9
Mining and quarrying,2023-03,2451.0
Mining and quarrying,2023-02,2053.6
Mining and quarrying,2023-01,2280.6
Mining and quarrying,2022-12,2058.4
Mining and quarrying,2022-11,2044.5
Mining and quarrying,2022-10,2158.1
Mining and quarrying,2022-09,2008.5
Mining and quarrying,2022-08,1972.3
Mining and quarrying,2022-07,1384.8
Mining and quarrying,2022-06,1360.6
Mining and quarrying,2022-05,1197.3
Mining and quarrying,2022-04,1196.9
Mining and quarrying,2022-03,973.5
Mining and quarrying,2022-02,895.1
Mining and quarrying,2022-01,1116.6
Mining and quarrying,2021-12,899.1
Mining and quarrying,2021-11,995.5
Mining and quarrying,2021-10,1137.5
Mining and quarrying,2021-09,1020.1
Mining and quarrying,2021-08,1037.2
Mining and quarrying,2021-07,1022.6
Mining and quarrying,2021-06,1057.4
Mining and quarrying,2021-05,1121.5
Mining and quarrying,2021-04,1013.8
Mining and quarrying,2021-03,1081.6
Mining and quarrying,2021-02,880.5
Mining and quarrying,2021-01,920.4
Mining and quarrying,2020-12,1390.6
Mining and quarrying,2020-11,1363.5
Mining and quarrying,2020-10,1479.7
Mining and quarrying,2020-09,1285.5
Mining and quarrying,2020-08,1020.2
Mining and quarrying,2020-07,1043.8
Mining and quarrying,2020-06,1012.0
Mining and quarrying,2020-05,837.8
Mining and quarrying,2020-04,621.1
Mining and quarrying,2020-03,697.8
Mining and quarrying,2020-02,684.9
Mining and quarrying,2020-01,796.2
Mining and quarrying,2019-12,862.5
Mining and quarrying,2019-11,1112.5
Mining and quarrying,2019-10,1227.1
Mining and quarrying,2019-09,1180.7
Mining and quarrying,2019-08,1271.3
Mining and quarrying,2019-07,1152.9
Mining and quarrying,2019-06,1066.2
Mining and quarrying,2019-05,1217.6
Mining and quarrying,2019-04,1070.9
Mining and quarrying,2019-03,1070.7
Mining and quarrying,2019-02,950.8
Mining and quarrying,2019-01,976.1
Mining and quarrying,2018-12,1024.6
Mining and quarrying,2018-11,1018.1
Mining and quarrying,2018-10,1166.6
Mining and quarrying,2018-09,1067.6
Mining and quarrying,2018-08,933.7
Mining and quarrying,2018-07,892.6
Mining and quarrying,2018-06,1069.4
Mining and quarrying,2018-05,1101.0
Mining and quarrying,2018-04,911.2
Mining and quarrying,2018-03,902.5
Mining and quarrying,2018-02,688.0
Mining and quarrying,2018-01,815.1
Mining and quarrying,2017-12,771.6
Mining and quarrying,2017-11,783.9
Mining and quarrying,2017-10,957.1
Mining and quarrying,2017-09,972.2
Manufacturing,2026-03,551.7
Manufacturing,2026-02,481.5
Manufacturing,2026-01,554.4
Manufacturing,2025-12,748.9
Manufacturing,2025-11,687.7
Manufacturing,2025-10,828.3
Manufacturing,2025-09,907.6
Manufacturing,2025-08,888.8
Manufacturing,2025-07,623.0
Manufacturing,2025-06,750.2
Manufacturing,2025-05,664.2
Manufacturing,2025-04,519.1
Manufacturing,2025-03,443.1
