он,бараа_бүтээгдэхүүн,хэмжих_нэгж,утга
1989,Зэсийн баяжмал (35%),мян.тонн,352.9
1989,Молибдений баяжмал (47%),тонн,3361.0
1989,Нүүрс,мян.тонн,8044.5
1989,Цахилгаан эрчим хүч,сая кВт.ц,3568.3
1990,Зэсийн баяжмал (35%),мян.тонн,354.1
1990,Молибдений баяжмал (47%),тонн,4208.0
1990,Нүүрс,мян.тонн,7157.0
1990,Цахилгаан эрчим хүч,сая кВт.ц,3347.9
1991,Алт,кг,722.6
1991,Зэсийн баяжмал (35%),мян.тонн,257.4
1991,Молибдений баяжмал (47%),тонн,3718.0
1991,Нүүрс,мян.тонн,7037.0
1991,Цахилгаан эрчим хүч,сая кВт.ц,3228.6
1992,Алт,кг,776.0
1992,Зэсийн баяжмал (35%),мян.тонн,300.2
1992,Молибдений баяжмал (47%),тонн,3500.0
1992,Нүүрс,мян.тонн,6247.3
1992,Цахилгаан эрчим хүч,сая кВт.ц,2928.6
1993,Алт,кг,1117.0
1993,Зэсийн баяжмал (35%),мян.тонн,334.3
1993,Молибдений баяжмал (47%),тонн,4367.0
1993,Нүүрс,мян.тонн,5617.0
1993,Цахилгаан эрчим хүч,сая кВт.ц,2131.7
1994,Алт,кг,1789.5
1994,Зэсийн баяжмал (35%),мян.тонн,343.3
1994,Молибдений баяжмал (47%),тонн,4396.0
1994,Нүүрс,мян.тонн,5158.0
1994,Цахилгаан эрчим хүч,сая кВт.ц,2122.7
1995,Алт,кг,4504.0
1995,Зэсийн баяжмал (35%),мян.тонн,346.4
1995,Молибдений баяжмал (47%),тонн,3906.0
1995,Нүүрс,мян.тонн,5019.0
1995,Цахилгаан эрчим хүч,сая кВт.ц,2628.0
1996,Алт,кг,6976.4
1996,Зэсийн баяжмал (35%),мян.тонн,351.5
1996,Молибдений баяжмал (47%),тонн,4684.0
1996,Нүүрс,мян.тонн,5110.6
1996,Цахилгаан эрчим хүч,сая кВт.ц,2614.0
1997,Алт,кг,8451.0
1997,Зэсийн баяжмал (35%),мян.тонн,357.9
1997,Молибдений баяжмал (47%),тонн,4238.3
1997,Нүүрс,мян.тонн,4924.0
1997,Цахилгаан эрчим хүч,сая кВт.ц,2662.0
1998,Алт,кг,9531.4
1998,Газрын тос,мян.баррель,44.8
1998,Зэсийн баяжмал (35%),мян.тонн,358.4
1998,Молибдений баяжмал (47%),тонн,4240.0
1998,Нүүрс,мян.тонн,5057.0
1998,Цахилгаан эрчим хүч,сая кВт.ц,2675.0
1999,Алт,кг,10246.2
1999,Газрын тос,мян.баррель,71.9
1999,Зэсийн баяжмал (35%),мян.тонн,361.9
1999,Молибдений баяжмал (47%),тонн,4157.0
1999,Нүүрс,мян.тонн,4964.0
1999,Цахилгаан эрчим хүч,сая кВт.ц,2842.0
2000,Алт,кг,11808.1
2000,Газрын тос,мян.баррель,65.5
2000,Зэсийн баяжмал (35%),мян.тонн,357.8
2000,Молибдений баяжмал (47%),тонн,2843.0
2000,Нүүрс,мян.тонн,5185.0
2000,Цахилгаан эрчим хүч,сая кВт.ц,2946.0
2001,Алт,кг,13674.6
2001,Газрын тос,мян.баррель,73.7
2001,Зэсийн баяжмал (35%),мян.тонн,381.4
2001,Молибдений баяжмал (47%),тонн,3028.0
2001,Нүүрс,мян.тонн,5141.0
2001,Цахилгаан эрчим хүч,сая кВт.ц,3017.0
2002,Алт,кг,12097.1
2002,Газрын тос,мян.баррель,139.2
2002,Зэсийн баяжмал (35%),мян.тонн,376.3
2002,Молибдений баяжмал (47%),тонн,3384.0
2002,Нүүрс,мян.тонн,5544.4
2002,Цахилгаан эрчим хүч,сая кВт.ц,3111.7
2003,Алт,кг,11111.3
2003,Газрын тос,мян.баррель,183.0
2003,Зэсийн баяжмал (35%),мян.тонн,372.2
2003,Молибдений баяжмал (47%),тонн,3836.6
2003,Нүүрс,мян.тонн,5666.1
2003,Цахилгаан эрчим хүч,сая кВт.ц,3137.7
2004,Алт,кг,19417.6
2004,Газрын тос,мян.баррель,215.7
2004,Зэсийн баяжмал (35%),мян.тонн,371.4
2004,Молибдений баяжмал (47%),тонн,2428.0
2004,Нүүрс,мян.тонн,6865.0
2004,Төмрийн хүдэр,мян.тонн,33.5
2004,Цахилгаан эрчим хүч,сая кВт.ц,3303.4
2005,Алт,кг,24121.9
2005,Газрын тос,мян.баррель,200.7
2005,Зэсийн баяжмал (35%),мян.тонн,361.6
2005,Молибдений баяжмал (47%),тонн,2528.0
2005,Нүүрс,мян.тонн,7517.1
2005,Төмрийн хүдэр,мян.тонн,167.7
2005,Цахилгаан эрчим хүч,сая кВт.ц,3418.9
2006,Алт,кг,22561.3
2006,Газрын тос,мян.баррель,366.8
2006,Зэсийн баяжмал (35%),мян.тонн,370.5
2006,Молибдений баяжмал (47%),тонн,2987.0
2006,Нүүрс,мян.тонн,8074.1
2006,Төмрийн хүдэр,мян.тонн,180.0
2006,Цахилгаан эрчим хүч,сая кВт.ц,3544.2
2007,Алт,кг,17138.8
2007,Газрын тос,мян.баррель,833.2
2007,Зэсийн баяжмал (35%),мян.тонн,371.9
2007,Молибдений баяжмал (47%),тонн,4209.1
2007,Нүүрс,мян.тонн,9237.6
2007,Төмрийн хүдэр,мян.тонн,265.1
2007,Цахилгаан эрчим хүч,сая кВт.ц,3700.7
2008,Алт,кг,14494.1
2008,Газрын тос,мян.баррель,1174.2
