Month,rate
2016-01,19.0
2016-02,18.0
2016-03,17.0
2016-04,13.0
2016-05,11.0
2016-06,13.0
2016-07,12.0
2016-08,13.0
2016-09,16.0
2016-10,20.0
2016-11,27.0
2016-12,24.0
2017-01,17.0
2017-02,12.0
2017-03,14.0
2017-04,11.0
2017-05,13.0
2017-06,14.0
2017-07,13.0
2017-08,11.0
2017-09,13.0
2017-10,18.0
2017-11,14.0
2017-12,14.0
2018-01,15.0
2018-02,12.0
2018-03,13.0
2018-04,12.0
2018-05,12.0
2018-06,16.0
2018-07,11.0
2018-08,12.0
2018-09,14.0
2018-10,16.0
2018-11,14.0
2018-12,13.0
2019-01,19.0
2019-02,14.0
2019-03,12.0
2019-04,11.0
2019-05,12.0
2019-06,14.0
2019-07,12.0
2019-08,14.0
2019-09,15.0
2019-10,14.0
2019-11,12.0
2019-12,12.0
2020-01,14.0
2020-02,12.0
2020-03,13.0
2020-04,10.0
2020-05,10.0
2020-06,13.0
2020-07,11.0
2020-08,10.0
2020-09,11.0
2020-10,12.0
2020-11,10.0
2020-12,12.0
2021-01,13.0
2021-02,10.0
2021-03,13.0
2021-04,12.0
2021-05,12.0
2021-06,11.0
2021-07,13.0
2021-08,11.0
2021-09,14.0
2021-10,9.0
2021-11,10.0
2021-12,12.0
2022-01,14.0
2022-02,13.0
2022-03,12.0
2022-04,10.0
2022-05,11.0
2022-06,12.0
2022-07,12.0
2022-08,14.0
2022-09,15.0
2022-10,13.0
2022-11,13.0
2022-12,13.0
2023-01,14.0
2023-02,11.0
2023-03,12.0
2023-04,13.0
2023-05,10.0
2023-06,11.0
2023-07,11.0
2023-08,13.0
2023-09,14.0
2023-10,14.0
2023-11,13.0
2023-12,11.0
2024-01,11.0
2024-02,13.0
2024-03,12.0
2024-04,13.0
2024-05,14.0
2024-06,11.0
2024-07,11.0
2024-08,11.0
2024-09,12.0
2024-10,12.0
2024-11,12.0
2024-12,15.0
2025-01,14.0
2025-02,14.0
2025-03,15.0
2025-04,15.0
2025-05,14.0
2025-06,13.0
2025-07,12.0
2025-08,16.0
2025-09,14.0
2025-10,11.0
2025-11,13.0
2025-12,13.0
