region,year,kindergartens
Bayan-Ulgii,2000,22
Bayan-Ulgii,2001,22
Bayan-Ulgii,2002,24
Bayan-Ulgii,2003,24
Bayan-Ulgii,2004,24
Bayan-Ulgii,2005,24
Bayan-Ulgii,2006,25
Bayan-Ulgii,2007,27
Bayan-Ulgii,2008,26
Bayan-Ulgii,2009,29
Bayan-Ulgii,2010,29
Bayan-Ulgii,2011,30
Bayan-Ulgii,2012,31
Bayan-Ulgii,2013,31
Bayan-Ulgii,2014,32
Bayan-Ulgii,2015,38
Bayan-Ulgii,2016,43
Bayan-Ulgii,2017,44
Bayan-Ulgii,2018,44
Bayan-Ulgii,2019,45
Bayan-Ulgii,2020,50
Bayan-Ulgii,2021,53
Bayan-Ulgii,2022,53
Bayan-Ulgii,2023,57
Bayan-Ulgii,2024,62
Bayan-Ulgii,2025,68
Bayankhongor,2000,26
Bayankhongor,2001,26
Bayankhongor,2002,28
Bayankhongor,2003,27
Bayankhongor,2004,28
Bayankhongor,2005,27
Bayankhongor,2006,28
Bayankhongor,2007,28
Bayankhongor,2008,28
Bayankhongor,2009,28
Bayankhongor,2010,28
Bayankhongor,2011,30
Bayankhongor,2012,31
Bayankhongor,2013,32
Bayankhongor,2014,35
Bayankhongor,2015,36
Bayankhongor,2016,37
Bayankhongor,2017,42
Bayankhongor,2018,42
Bayankhongor,2019,43
Bayankhongor,2020,43
Bayankhongor,2021,43
Bayankhongor,2022,43
Bayankhongor,2023,42
Bayankhongor,2024,41
Bayankhongor,2025,40
Khovd,2000,24
Khovd,2001,25
Khovd,2002,25
Khovd,2003,25
Khovd,2004,25
Khovd,2005,28
Khovd,2006,27
Khovd,2007,27
Khovd,2008,27
Khovd,2009,27
Khovd,2010,27
Khovd,2011,27
Khovd,2012,28
Khovd,2013,30
Khovd,2014,36
Khovd,2015,44
Khovd,2016,41
Khovd,2017,44
Khovd,2018,46
Khovd,2019,43
Khovd,2020,43
Khovd,2021,43
Khovd,2022,41
Khovd,2023,38
