бүс,он,цэцэрлэг
Баян-Өлгий,2000,22
Баян-Өлгий,2001,22
Баян-Өлгий,2002,24
Баян-Өлгий,2003,24
Баян-Өлгий,2004,24
Баян-Өлгий,2005,24
Баян-Өлгий,2006,25
Баян-Өлгий,2007,27
Баян-Өлгий,2008,26
Баян-Өлгий,2009,29
Баян-Өлгий,2010,29
Баян-Өлгий,2011,30
Баян-Өлгий,2012,31
Баян-Өлгий,2013,31
Баян-Өлгий,2014,32
Баян-Өлгий,2015,38
Баян-Өлгий,2016,43
Баян-Өлгий,2017,44
Баян-Өлгий,2018,44
Баян-Өлгий,2019,45
Баян-Өлгий,2020,50
Баян-Өлгий,2021,53
Баян-Өлгий,2022,53
Баян-Өлгий,2023,57
Баян-Өлгий,2024,62
Баян-Өлгий,2025,68
Баянхонгор,2000,26
Баянхонгор,2001,26
Баянхонгор,2002,28
Баянхонгор,2003,27
Баянхонгор,2004,28
Баянхонгор,2005,27
Баянхонгор,2006,28
Баянхонгор,2007,28
Баянхонгор,2008,28
Баянхонгор,2009,28
Баянхонгор,2010,28
Баянхонгор,2011,30
Баянхонгор,2012,31
Баянхонгор,2013,32
Баянхонгор,2014,35
Баянхонгор,2015,36
Баянхонгор,2016,37
Баянхонгор,2017,42
Баянхонгор,2018,42
Баянхонгор,2019,43
Баянхонгор,2020,43
Баянхонгор,2021,43
Баянхонгор,2022,43
Баянхонгор,2023,42
Баянхонгор,2024,41
Баянхонгор,2025,40
Завхан,2000,34
Завхан,2001,34
Завхан,2002,35
Завхан,2003,34
Завхан,2004,34
Завхан,2005,32
Завхан,2006,33
Завхан,2007,33
Завхан,2008,34
Завхан,2009,34
Завхан,2010,34
Завхан,2011,33
Завхан,2012,33
Завхан,2013,36
Завхан,2014,36
Завхан,2015,38
Завхан,2016,39
Завхан,2017,39
Завхан,2018,40
Завхан,2019,40
Завхан,2020,41
Завхан,2021,41
Завхан,2022,42
Завхан,2023,40
Завхан,2024,39
Завхан,2025,39
Орхон,2000,18
Орхон,2001,18
Орхон,2002,17
Орхон,2003,18
Орхон,2004,18
Орхон,2005,18
Орхон,2006,20
Орхон,2007,20
Орхон,2008,21
Орхон,2009,21
Орхон,2010,23
Орхон,2011,23
Орхон,2012,28
Орхон,2013,33
Орхон,2014,37
Орхон,2015,37
Орхон,2016,35
Орхон,2017,35
Орхон,2018,37
Орхон,2019,37
Орхон,2020,38
Орхон,2021,39
Орхон,2022,39
Орхон,2023,37
Орхон,2024,38
Орхон,2025,38
Сэлэнгэ,2000,29
Сэлэнгэ,2001,29
Сэлэнгэ,2002,29
Сэлэнгэ,2003,29
Сэлэнгэ,2004,29
Сэлэнгэ,2005,29
Сэлэнгэ,2006,29
Сэлэнгэ,2007,30
Сэлэнгэ,2008,33
Сэлэнгэ,2009,34
Сэлэнгэ,2010,33
Сэлэнгэ,2011,34
Сэлэнгэ,2012,33
Сэлэнгэ,2013,34
Сэлэнгэ,2014,35
Сэлэнгэ,2015,38
Сэлэнгэ,2016,38
Сэлэнгэ,2017,40
Сэлэнгэ,2018,39
Сэлэнгэ,2019,39
Сэлэнгэ,2020,41
Сэлэнгэ,2021,41
Сэлэнгэ,2022,40
Сэлэнгэ,2023,40
Сэлэнгэ,2024,40
Сэлэнгэ,2025,40
Төв,2000,37
Төв,2001,36
Төв,2002,36
Төв,2003,38
Төв,2004,37
Төв,2005,37
Төв,2006,36
Төв,2007,37
Төв,2008,38
Төв,2009,40
Төв,2010,40
Төв,2011,41
Төв,2012,41
Төв,2013,41
Төв,2014,46
Төв,2015,49
Төв,2016,48
Төв,2017,49
Төв,2018,49
Төв,2019,49
Төв,2020,47
Төв,2021,45
Төв,2022,41
Төв,2023,41
Төв,2024,41
Төв,2025,41
Улаанбаатар,2000,154
Улаанбаатар,2001,153
Улаанбаатар,2002,151
Улаанбаатар,2003,170
Улаанбаатар,2004,190
Улаанбаатар,2005,191
Улаанбаатар,2006,202
Улаанбаатар,2007,219
Улаанбаатар,2008,228
Улаанбаатар,2009,247
Улаанбаатар,2010,292
Улаанбаатар,2011,326
Улаанбаатар,2012,368
Улаанбаатар,2013,454
Улаанбаатар,2014,520
Улаанбаатар,2015,591
Улаанбаатар,2016,650
Улаанбаатар,2017,688
Улаанбаатар,2018,672
Улаанбаатар,2019,675
Улаанбаатар,2020,674
Улаанбаатар,2021,667
Улаанбаатар,2022,639
Улаанбаатар,2023,649
Улаанбаатар,2024,645
Улаанбаатар,2025,629
Ховд,2000,24
Ховд,2001,25
Ховд,2002,25
Ховд,2003,25
Ховд,2004,25
Ховд,2005,28
Ховд,2006,27
Ховд,2007,27
Ховд,2008,27
Ховд,2009,27
Ховд,2010,27
Ховд,2011,27
Ховд,2012,28
Ховд,2013,30
Ховд,2014,36
Ховд,2015,44
Ховд,2016,41
Ховд,2017,44
Ховд,2018,46
Ховд,2019,43
Ховд,2020,43
Ховд,2021,43
Ховд,2022,41
Ховд,2023,38
Ховд,2024,37
Ховд,2025,38
Хөвсгөл,2000,30
Хөвсгөл,2001,30
Хөвсгөл,2002,24
Хөвсгөл,2003,31
Хөвсгөл,2004,31
Хөвсгөл,2005,32
Хөвсгөл,2006,32
Хөвсгөл,2007,33
Хөвсгөл,2008,33
Хөвсгөл,2009,37
Хөвсгөл,2010,37
Хөвсгөл,2011,37
Хөвсгөл,2012,37
Хөвсгөл,2013,38
Хөвсгөл,2014,37
Хөвсгөл,2015,40
Хөвсгөл,2016,43
Хөвсгөл,2017,44
Хөвсгөл,2018,45
Хөвсгөл,2019,45
Хөвсгөл,2020,50
Хөвсгөл,2021,50
Хөвсгөл,2022,47
