year,sex,value
2009,Female,56.5
2009,Male,66.7
2010,Female,56.2
2010,Male,67.2
2011,Female,56.8
2011,Male,68.7
2012,Female,58.4
2012,Male,69.1
2013,Female,56.3
2013,Male,68.1
2014,Female,56.2
2014,Male,68.6
2015,Female,55.4
2015,Male,68.1
2016,Female,54.2
2016,Male,67.3
2017,Female,55.2
2017,Male,67.5
2018,Female,53.4
2018,Male,69.5
2019,Female,55.7
2019,Male,70.4
2020,Female,54.1
2020,Male,68.7
2021,Female,51.8
2021,Male,67.1
2022,Female,53.1
2022,Male,68.1
2023,Female,51.9
2023,Male,67.9
2024,Female,53.5
2024,Male,69.7
2025,Female,52.9
2025,Male,69.7
