type_of_livestock,region,year,value
Camel,Total,1970,633.51
Cattle,Total,1970,2107.83
Goat,Total,1970,4206.98
Horse,Total,1970,2315.02
Sheep,Total,1970,13311.46
Camel,Total,1971,632.01
Cattle,Total,1971,2176.12
Goat,Total,1971,4194.78
Horse,Total,1971,2269.52
Sheep,Total,1971,13420.17
Camel,Total,1972,625.07
Cattle,Total,1972,2189.38
Goat,Total,1972,4338.41
Horse,Total,1972,2239.39
Sheep,Total,1972,13715.85
Camel,Total,1973,602.87
Cattle,Total,1973,2234.74
Goat,Total,1973,4442.2
Horse,Total,1973,2185.36
Sheep,Total,1973,14072.91
Camel,Total,1974,606.57
Cattle,Total,1974,2363.96
Goat,Total,1974,4574.36
Horse,Total,1974,2264.94
Sheep,Total,1974,14503.71
Camel,Total,1975,617.0
Cattle,Total,1975,2427.08
Goat,Total,1975,4594.58
Horse,Total,1975,2254.62
Sheep,Total,1975,14458.35
Camel,Total,1976,607.27
Cattle,Total,1976,2418.43
Goat,Total,1976,4547.08
Horse,Total,1976,2204.66
Sheep,Total,1976,13906.49
Camel,Total,1977,608.97
Cattle,Total,1977,2389.86
Goat,Total,1977,4410.31
Horse,Total,1977,2102.71
Sheep,Total,1977,13430.29
Camel,Total,1978,608.57
Cattle,Total,1978,2481.24
Goat,Total,1978,4704.67
Horse,Total,1978,2078.49
Sheep,Total,1978,14152.7
Camel,Total,1979,616.25
Cattle,Total,1979,2454.27
Goat,Total,1979,4739.2
Horse,Total,1979,2079.88
Sheep,Total,1979,14372.46
Camel,Total,1980,591.49
Cattle,Total,1980,2500.1
Goat,Total,1980,4566.75
Horse,Total,1980,1985.42
Sheep,Total,1980,14230.74
Camel,Total,1981,586.23
Cattle,Total,1981,2376.32
Goat,Total,1981,4595.39
Horse,Total,1981,1991.16
Sheep,Total,1981,14714.04
Camel,Total,1982,584.66
Cattle,Total,1982,2395.54
Goat,Total,1982,4801.79
Horse,Total,1982,2027.87
Sheep,Total,1982,14954.82
Camel,Total,1983,578.01
Cattle,Total,1983,2373.88
Goat,Total,1983,4548.52
Horse,Total,1983,1959.55
Sheep,Total,1983,14110.44
Camel,Total,1984,568.16
Cattle,Total,1984,2373.92
Goat,Total,1984,4298.0
Horse,Total,1984,1960.86
Sheep,Total,1984,13391.21
Camel,Total,1985,559.01
Cattle,Total,1985,2408.11
Goat,Total,1985,4298.6
Horse,Total,1985,1971.05
Sheep,Total,1985,13248.79
Camel,Total,1986,550.98
Cattle,Total,1986,2468.52
Goat,Total,1986,4384.36
Horse,Total,1986,2017.63
Sheep,Total,1986,13169.02
Camel,Total,1987,546.58
Cattle,Total,1987,2525.95
Goat,Total,1987,4387.68
Horse,Total,1987,2047.15
Sheep,Total,1987,13233.77
Camel,Total,1988,552.91
Cattle,Total,1988,2541.32
Goat,Total,1988,4474.32
Horse,Total,1988,2102.97
Sheep,Total,1988,13450.78
Camel,Total,1989,558.33
Cattle,Total,1989,2692.71
Goat,Total,1989,4959.15
Horse,Total,1989,2199.61
Sheep,Total,1989,14265.19
Camel,Total,1990,537.5
Cattle,Total,1990,2848.71
Goat,Total,1990,5125.75
Horse,Total,1990,2262.05
Sheep,Total,1990,15082.96
Camel,Total,1991,476.02
Cattle,Total,1991,2822.04
Goat,Total,1991,5249.59
Horse,Total,1991,2259.35
Sheep,Total,1991,14720.98
Camel,Total,1992,415.17
Cattle,Total,1992,2819.2
Goat,Total,1992,5602.53
Horse,Total,1992,2200.18
Sheep,Total,1992,14657.01
Camel,Total,1993,363.03
Cattle,Total,1993,2658.75
Goat,Total,1993,6036.14
Horse,Total,1993,2135.46
Sheep,Total,1993,13494.97
Camel,Total,1994,366.14
Cattle,Total,1994,2996.68
Goat,Total,1994,7234.63
Horse,Total,1994,2407.06
Sheep,Total,1994,13773.99
Camel,Total,1995,367.51
Cattle,Total,1995,3317.05
Goat,Total,1995,8520.75
Horse,Total,1995,2648.43
Sheep,Total,1995,13718.62
Camel,Total,1996,357.93
Cattle,Total,1996,3476.29
Goat,Total,1996,9134.88
Horse,Total,1996,2770.48
Sheep,Total,1996,13560.6
Camel,Total,1997,355.36
Cattle,Total,1997,3612.87
Goat,Total,1997,10265.32
Horse,Total,1997,2893.16
Sheep,Total,1997,14165.64
Camel,Total,1998,356.52
Cattle,Total,1998,3725.83
Goat,Total,1998,11061.88
Horse,Total,1998,3059.06
Sheep,Total,1998,14694.26
Camel,Total,1999,355.6
Cattle,Total,1999,3824.7
Goat,Total,1999,11033.9
Horse,Total,1999,3163.46
Sheep,Total,1999,15191.34
Camel,Total,2000,322.92
Cattle,Total,2000,3097.64
Goat,Total,2000,10269.84
Horse,Total,2000,2660.74
Sheep,Total,2000,13876.43
Camel,Total,2001,285.23
Cattle,Total,2001,2069.63
Goat,Total,2001,9591.34
Horse,Total,2001,2191.87
Sheep,Total,2001,11937.35
Camel,Total,2002,253.07
Cattle,Total,2002,1884.28
Goat,Total,2002,9134.78
Horse,Total,2002,1988.9
Sheep,Total,2002,10636.62
Camel,Total,2003,256.74
Cattle,Total,2003,1792.77
Goat,Total,2003,10652.97
Horse,Total,2003,1968.91
Sheep,Total,2003,10756.41
Camel,Total,2004,256.61
Cattle,Total,2004,1841.61
Goat,Total,2004,12238.04
Horse,Total,2004,2005.28
Sheep,Total,2004,11686.43
Camel,Total,2005,254.19
Cattle,Total,2005,1963.65
Goat,Total,2005,13267.39
Horse,Total,2005,2029.09
Sheep,Total,2005,12884.55
Camel,Total,2006,253.27
Cattle,Total,2006,2167.91
Goat,Total,2006,15451.7
Horse,Total,2006,2114.77
Sheep,Total,2006,14815.09
Camel,Total,2007,260.6
Cattle,Total,2007,2425.82
Goat,Total,2007,18347.85
Horse,Total,2007,2239.5
Sheep,Total,2007,16990.11
Camel,Total,2008,266.43
Cattle,Total,2008,2503.4
Goat,Total,2008,19969.4
Horse,Total,2008,2186.95
Sheep,Total,2008,18362.37
Camel,Total,2009,277.05
Cattle,Total,2009,2599.35
Goat,Total,2009,19651.54
Horse,Total,2009,2221.33
Sheep,Total,2009,19274.75
Camel,Total,2010,269.61
Cattle,Total,2010,2176.0
Goat,Total,2010,13883.24
Horse,Total,2010,1920.34
Sheep,Total,2010,14480.4
Camel,Total,2011,280.09
Cattle,Total,2011,2339.71
Goat,Total,2011,15934.58
Horse,Total,2011,2112.94
Sheep,Total,2011,15668.54
Camel,Total,2012,305.83
Cattle,Total,2012,2584.62
Goat,Total,2012,17558.67
Horse,Total,2012,2330.43
Sheep,Total,2012,18141.36
Camel,Total,2013,321.48
Cattle,Total,2013,2909.46
Goat,Total,2013,19227.58
Horse,Total,2013,2619.38
Sheep,Total,2013,20066.43
Camel,Total,2014,349.3
Cattle,Total,2014,3413.85
Goat,Total,2014,22008.9
Horse,Total,2014,2995.75
Sheep,Total,2014,23214.78
Camel,Total,2015,367.99
Cattle,Total,2015,3780.4
Goat,Total,2015,23592.92
Horse,Total,2015,3295.34
Sheep,Total,2015,24943.13
Camel,Total,2016,401.35
Cattle,Total,2016,4080.94
Goat,Total,2016,25574.86
Horse,Total,2016,3635.49
Sheep,Total,2016,27856.6
Camel,Total,2017,434.1
Cattle,Total,2017,4388.46
Goat,Total,2017,27346.71
Horse,Total,2017,3939.81
Sheep,Total,2017,30109.89
Camel,Total,2018,459.7
Cattle,Total,2018,4380.88
Goat,Total,2018,27124.7
Horse,Total,2018,3940.09
Sheep,Total,2018,30554.8
Camel,Total,2019,472.38
Cattle,Total,2019,4753.19
Goat,Total,2019,29261.66
Horse,Total,2019,4214.82
Sheep,Total,2019,32267.27
Camel,Total,2020,472.93
Cattle,Total,2020,4732.01
Goat,Total,2020,27720.25
Horse,Total,2020,4093.86
Sheep,Total,2020,30049.43
Camel,Total,2021,454.04
Cattle,Total,2021,5022.23
Goat,Total,2021,26456.09
Horse,Total,2021,4324.44
Sheep,Total,2021,31086.96
Camel,Total,2022,470.47
Cattle,Total,2022,5512.84
Goat,Total,2022,27569.4
Horse,Total,2022,4821.07
Sheep,Total,2022,32747.68
Camel,Total,2023,473.85
Cattle,Total,2023,5350.76
Goat,Total,2023,24618.23
Horse,Total,2023,4829.69
Sheep,Total,2023,29409.35
Camel,Total,2024,480.57
Cattle,Total,2024,5074.55
Goat,Total,2024,22920.18
Horse,Total,2024,4683.23
Sheep,Total,2024,24491.12
Camel,Total,2025,501.26
Cattle,Total,2025,5441.51
Goat,Total,2025,23170.31
Horse,Total,2025,5128.67
Sheep,Total,2025,23862.46
