малын_төрөл,бүс,он,утга
Адуу,Улсын дүн,1970,2315.0
Тэмээ,Улсын дүн,1970,633.5
Хонь,Улсын дүн,1970,13311.5
Ямаа,Улсын дүн,1970,4207.0
Үхэр,Улсын дүн,1970,2107.8
Адуу,Улсын дүн,1971,2269.5
Тэмээ,Улсын дүн,1971,632.0
Хонь,Улсын дүн,1971,13420.2
Ямаа,Улсын дүн,1971,4194.8
Үхэр,Улсын дүн,1971,2176.1
Адуу,Улсын дүн,1972,2239.4
Тэмээ,Улсын дүн,1972,625.1
Хонь,Улсын дүн,1972,13715.9
Ямаа,Улсын дүн,1972,4338.4
Үхэр,Улсын дүн,1972,2189.4
Адуу,Улсын дүн,1973,2185.4
Тэмээ,Улсын дүн,1973,602.9
Хонь,Улсын дүн,1973,14072.9
Ямаа,Улсын дүн,1973,4442.2
Үхэр,Улсын дүн,1973,2234.7
Адуу,Улсын дүн,1974,2264.9
Тэмээ,Улсын дүн,1974,606.6
Хонь,Улсын дүн,1974,14503.7
Ямаа,Улсын дүн,1974,4574.4
Үхэр,Улсын дүн,1974,2364.0
Адуу,Улсын дүн,1975,2254.6
Тэмээ,Улсын дүн,1975,617.0
Хонь,Улсын дүн,1975,14458.4
Ямаа,Улсын дүн,1975,4594.6
Үхэр,Улсын дүн,1975,2427.1
Адуу,Улсын дүн,1976,2204.7
Тэмээ,Улсын дүн,1976,607.3
Хонь,Улсын дүн,1976,13906.5
Ямаа,Улсын дүн,1976,4547.1
Үхэр,Улсын дүн,1976,2418.4
Адуу,Улсын дүн,1977,2102.7
Тэмээ,Улсын дүн,1977,609.0
Хонь,Улсын дүн,1977,13430.3
Ямаа,Улсын дүн,1977,4410.3
Үхэр,Улсын дүн,1977,2389.9
Адуу,Улсын дүн,1978,2078.5
Тэмээ,Улсын дүн,1978,608.6
Хонь,Улсын дүн,1978,14152.7
Ямаа,Улсын дүн,1978,4704.7
Үхэр,Улсын дүн,1978,2481.2
Адуу,Улсын дүн,1979,2079.9
Тэмээ,Улсын дүн,1979,616.3
Хонь,Улсын дүн,1979,14372.5
Ямаа,Улсын дүн,1979,4739.2
Үхэр,Улсын дүн,1979,2454.3
Адуу,Улсын дүн,1980,1985.4
Тэмээ,Улсын дүн,1980,591.5
Хонь,Улсын дүн,1980,14230.7
Ямаа,Улсын дүн,1980,4566.8
Үхэр,Улсын дүн,1980,2500.1
Адуу,Улсын дүн,1981,1991.2
Тэмээ,Улсын дүн,1981,586.2
Хонь,Улсын дүн,1981,14714.0
Ямаа,Улсын дүн,1981,4595.4
Үхэр,Улсын дүн,1981,2376.3
Адуу,Улсын дүн,1982,2027.9
Тэмээ,Улсын дүн,1982,584.7
Хонь,Улсын дүн,1982,14954.8
Ямаа,Улсын дүн,1982,4801.8
Үхэр,Улсын дүн,1982,2395.5
Адуу,Улсын дүн,1983,1959.6
Тэмээ,Улсын дүн,1983,578.0
Хонь,Улсын дүн,1983,14110.4
Ямаа,Улсын дүн,1983,4548.5
Үхэр,Улсын дүн,1983,2373.9
Адуу,Улсын дүн,1984,1960.9
Тэмээ,Улсын дүн,1984,568.2
Хонь,Улсын дүн,1984,13391.2
Ямаа,Улсын дүн,1984,4298.0
Үхэр,Улсын дүн,1984,2373.9
Адуу,Улсын дүн,1985,1971.1
Тэмээ,Улсын дүн,1985,559.0
Хонь,Улсын дүн,1985,13248.8
Ямаа,Улсын дүн,1985,4298.6
Үхэр,Улсын дүн,1985,2408.1
Адуу,Улсын дүн,1986,2017.6
Тэмээ,Улсын дүн,1986,551.0
Хонь,Улсын дүн,1986,13169.0
Ямаа,Улсын дүн,1986,4384.4
Үхэр,Улсын дүн,1986,2468.5
Адуу,Улсын дүн,1987,2047.2
Тэмээ,Улсын дүн,1987,546.6
Хонь,Улсын дүн,1987,13233.8
Ямаа,Улсын дүн,1987,4387.7
Үхэр,Улсын дүн,1987,2526.0
Адуу,Улсын дүн,1988,2103.0
Тэмээ,Улсын дүн,1988,552.9
Хонь,Улсын дүн,1988,13450.8
Ямаа,Улсын дүн,1988,4474.3
Үхэр,Улсын дүн,1988,2541.3
Адуу,Улсын дүн,1989,2199.6
Тэмээ,Улсын дүн,1989,558.3
Хонь,Улсын дүн,1989,14265.2
Ямаа,Улсын дүн,1989,4959.2
Үхэр,Улсын дүн,1989,2692.7
Адуу,Улсын дүн,1990,2262.1
Тэмээ,Улсын дүн,1990,537.5
Хонь,Улсын дүн,1990,15083.0
Ямаа,Улсын дүн,1990,5125.8
Үхэр,Улсын дүн,1990,2848.7
Адуу,Улсын дүн,1991,2259.4
Тэмээ,Улсын дүн,1991,476.0
Хонь,Улсын дүн,1991,14721.0
Ямаа,Улсын дүн,1991,5249.6
Үхэр,Улсын дүн,1991,2822.0
Адуу,Улсын дүн,1992,2200.2
Тэмээ,Улсын дүн,1992,415.2
Хонь,Улсын дүн,1992,14657.0
Ямаа,Улсын дүн,1992,5602.5
Үхэр,Улсын дүн,1992,2819.2
Адуу,Улсын дүн,1993,2135.5
Тэмээ,Улсын дүн,1993,363.0
Хонь,Улсын дүн,1993,13495.0
Ямаа,Улсын дүн,1993,6036.1
Үхэр,Улсын дүн,1993,2658.8
Адуу,Улсын дүн,1994,2407.1
Тэмээ,Улсын дүн,1994,366.1
Хонь,Улсын дүн,1994,13774.0
Ямаа,Улсын дүн,1994,7234.6
Үхэр,Улсын дүн,1994,2996.7
Адуу,Улсын дүн,1995,2648.4
Тэмээ,Улсын дүн,1995,367.5
Хонь,Улсын дүн,1995,13718.6
Ямаа,Улсын дүн,1995,8520.8
Үхэр,Улсын дүн,1995,3317.1
Адуу,Улсын дүн,1996,2770.5
Тэмээ,Улсын дүн,1996,357.9
Хонь,Улсын дүн,1996,13560.6
Ямаа,Улсын дүн,1996,9134.9
Үхэр,Улсын дүн,1996,3476.3
Адуу,Улсын дүн,1997,2893.2
Тэмээ,Улсын дүн,1997,355.4
Хонь,Улсын дүн,1997,14165.6
Ямаа,Улсын дүн,1997,10265.3
Үхэр,Улсын дүн,1997,3612.9
Адуу,Улсын дүн,1998,3059.1
Тэмээ,Улсын дүн,1998,356.5
Хонь,Улсын дүн,1998,14694.3
Ямаа,Улсын дүн,1998,11061.9
Үхэр,Улсын дүн,1998,3725.8
Адуу,Улсын дүн,1999,3163.5
Тэмээ,Улсын дүн,1999,355.6
Хонь,Улсын дүн,1999,15191.3
Ямаа,Улсын дүн,1999,11033.9
Үхэр,Улсын дүн,1999,3824.7
Адуу,Улсын дүн,2000,2660.7
Тэмээ,Улсын дүн,2000,322.9
Хонь,Улсын дүн,2000,13876.4
Ямаа,Улсын дүн,2000,10269.8
Үхэр,Улсын дүн,2000,3097.6
Адуу,Улсын дүн,2001,2191.9
Тэмээ,Улсын дүн,2001,285.2
Хонь,Улсын дүн,2001,11937.4
Ямаа,Улсын дүн,2001,9591.3
Үхэр,Улсын дүн,2001,2069.6
