малын_төрөл,бүс,он,утга
Бүгд,Улсын дүн,1970,22574.7
Бүгд,Улсын дүн,1971,22692.6
Бүгд,Улсын дүн,1972,23108.1
Бүгд,Улсын дүн,1973,23538.0
Бүгд,Улсын дүн,1974,24313.5
Бүгд,Улсын дүн,1975,24351.6
Бүгд,Улсын дүн,1976,23684.0
Бүгд,Улсын дүн,1977,22942.1
Бүгд,Улсын дүн,1978,24025.7
Бүгд,Улсын дүн,1979,24201.2
Бүгд,Улсын дүн,1980,23771.5
Бүгд,Улсын дүн,1981,24263.1
Бүгд,Улсын дүн,1982,24764.7
Бүгд,Улсын дүн,1983,23570.3
Бүгд,Улсын дүн,1984,22591.9
Бүгд,Улсын дүн,1985,22485.5
Бүгд,Улсын дүн,1986,22590.5
Бүгд,Улсын дүн,1987,22741.1
Бүгд,Улсын дүн,1988,23122.3
Бүгд,Улсын дүн,1989,24674.9
Бүгд,Улсын дүн,1990,25856.9
Бүгд,Улсын дүн,1991,25527.9
Бүгд,Улсын дүн,1992,25694.1
Бүгд,Улсын дүн,1993,24688.3
Бүгд,Улсын дүн,1994,26778.4
Бүгд,Улсын дүн,1995,28572.3
Бүгд,Улсын дүн,1996,29300.1
Бүгд,Улсын дүн,1997,31292.3
Бүгд,Улсын дүн,1998,32897.5
Бүгд,Улсын дүн,1999,33568.9
Бүгд,Улсын дүн,2000,30227.5
Бүгд,Улсын дүн,2001,26075.4
Бүгд,Улсын дүн,2002,23897.6
Бүгд,Улсын дүн,2003,25427.7
Бүгд,Улсын дүн,2004,28028.0
Бүгд,Улсын дүн,2005,30398.8
Бүгд,Улсын дүн,2006,34803.0
Бүгд,Улсын дүн,2007,40263.9
Бүгд,Улсын дүн,2008,43288.5
Бүгд,Улсын дүн,2009,43981.0
Бүгд,Улсын дүн,2010,32729.5
Бүгд,Улсын дүн,2011,36335.8
Бүгд,Улсын дүн,2012,40920.9
Бүгд,Улсын дүн,2013,45144.3
Бүгд,Улсын дүн,2014,51982.6
Бүгд,Улсын дүн,2015,55979.8
Бүгд,Улсын дүн,2016,61549.2
Бүгд,Улсын дүн,2017,66219.0
Бүгд,Улсын дүн,2018,66460.2
Бүгд,Улсын дүн,2019,70969.3
Бүгд,Улсын дүн,2020,67068.5
Бүгд,Улсын дүн,2021,67343.8
Бүгд,Улсын дүн,2022,71121.5
Бүгд,Улсын дүн,2023,64681.9
Бүгд,Улсын дүн,2024,57649.7
