date,metric,value
2004-01-01,Total Assets,825.095
2004-01-01,Total Liabilities,710.926
2004-01-01,Capital,114.169
2004-02-01,Total Assets,876.437
2004-02-01,Total Liabilities,754.781
2004-02-01,Capital,121.656
2004-03-01,Total Assets,912.824
2004-03-01,Total Liabilities,774.808
2004-03-01,Capital,138.016
2004-04-01,Total Assets,931.888
2004-04-01,Total Liabilities,793.463
2004-04-01,Capital,138.425
2004-05-01,Total Assets,974.943
2004-05-01,Total Liabilities,835.703
2004-05-01,Capital,139.24
2004-06-01,Total Assets,977.532
2004-06-01,Total Liabilities,836.505
2004-06-01,Capital,141.027
2004-07-01,Total Assets,995.125
2004-07-01,Total Liabilities,849.955
2004-07-01,Capital,145.17
2004-08-01,Total Assets,1040.788
2004-08-01,Total Liabilities,893.306
2004-08-01,Capital,147.483
2004-09-01,Total Assets,1031.215
2004-09-01,Total Liabilities,884.476
2004-09-01,Capital,146.739
2004-10-01,Total Assets,1053.49
2004-10-01,Total Liabilities,906.411
2004-10-01,Capital,147.079
2004-11-01,Total Assets,1092.658
2004-11-01,Total Liabilities,939.35
2004-11-01,Capital,153.309
2004-12-01,Total Assets,1108.846
2004-12-01,Total Liabilities,941.745
2004-12-01,Capital,167.101
2005-01-01,Total Assets,1121.305
2005-01-01,Total Liabilities,951.309
2005-01-01,Capital,169.996
2005-02-01,Total Assets,1139.124
2005-02-01,Total Liabilities,970.843
2005-02-01,Capital,168.282
2005-03-01,Total Assets,1164.294
2005-03-01,Total Liabilities,993.336
2005-03-01,Capital,170.958
2005-04-01,Total Assets,1199.425
2005-04-01,Total Liabilities,1023.97
2005-04-01,Capital,175.455
2005-05-01,Total Assets,1233.997
2005-05-01,Total Liabilities,1057.154
2005-05-01,Capital,176.843
2005-06-01,Total Assets,1292.06
2005-06-01,Total Liabilities,1112.611
2005-06-01,Capital,179.449
2005-07-01,Total Assets,1309.585
2005-07-01,Total Liabilities,1126.957
2005-07-01,Capital,182.628
2005-08-01,Total Assets,1364.29
2005-08-01,Total Liabilities,1176.561
2005-08-01,Capital,187.729
2005-09-01,Total Assets,1416.654
2005-09-01,Total Liabilities,1225.945
2005-09-01,Capital,190.709
2005-10-01,Total Assets,1434.186
2005-10-01,Total Liabilities,1239.764
2005-10-01,Capital,194.423
2005-11-01,Total Assets,1503.233
2005-11-01,Total Liabilities,1302.239
2005-11-01,Capital,200.994
2005-12-01,Total Assets,1585.037
2005-12-01,Total Liabilities,1377.962
2005-12-01,Capital,207.076
2006-01-01,Total Assets,1587.994
2006-01-01,Total Liabilities,1378.604
2006-01-01,Capital,209.39
2006-02-01,Total Assets,1614.047
2006-02-01,Total Liabilities,1401.45
2006-02-01,Capital,212.597
2006-03-01,Total Assets,1671.673
2006-03-01,Total Liabilities,1445.652
2006-03-01,Capital,226.021
2006-04-01,Total Assets,2037.047
2006-04-01,Total Liabilities,1800.933
2006-04-01,Capital,236.114
2006-05-01,Total Assets,2096.267
2006-05-01,Total Liabilities,1855.841
2006-05-01,Capital,240.426
2006-06-01,Total Assets,2010.974
2006-06-01,Total Liabilities,1768.619
2006-06-01,Capital,242.355
2006-07-01,Total Assets,2206.583
2006-07-01,Total Liabilities,1957.657
2006-07-01,Capital,248.925
2006-08-01,Total Assets,2121.644
2006-08-01,Total Liabilities,1866.657
2006-08-01,Capital,254.988
2006-09-01,Total Assets,2248.815
2006-09-01,Total Liabilities,1984.583
2006-09-01,Capital,264.231
2006-10-01,Total Assets,2246.663
2006-10-01,Total Liabilities,1976.375
2006-10-01,Capital,270.288
2006-11-01,Total Assets,2243.992
2006-11-01,Total Liabilities,1968.748
2006-11-01,Capital,275.244
2006-12-01,Total Assets,2314.598
2006-12-01,Total Liabilities,2019.818
2006-12-01,Capital,294.78
2007-01-01,Total Assets,2272.621
2007-01-01,Total Liabilities,1980.841
2007-01-01,Capital,291.78
2007-02-01,Total Assets,2366.97
2007-02-01,Total Liabilities,2072.808
2007-02-01,Capital,294.162
2007-03-01,Total Assets,2480.975
2007-03-01,Total Liabilities,2179.505
2007-03-01,Capital,301.47
2007-04-01,Total Assets,2629.118
2007-04-01,Total Liabilities,2321.782
2007-04-01,Capital,307.336
2007-05-01,Total Assets,2680.439
2007-05-01,Total Liabilities,2369.319
2007-05-01,Capital,311.119
2007-06-01,Total Assets,2771.14
2007-06-01,Total Liabilities,2452.268
2007-06-01,Capital,318.872
2007-07-01,Total Assets,2834.201
2007-07-01,Total Liabilities,2507.385
2007-07-01,Capital,326.816
2007-08-01,Total Assets,2954.615
2007-08-01,Total Liabilities,2619.541
2007-08-01,Capital,335.074
2007-09-01,Total Assets,3009.815
2007-09-01,Total Liabilities,2664.424
2007-09-01,Capital,345.391
2007-10-01,Total Assets,3134.817
2007-10-01,Total Liabilities,2780.147
2007-10-01,Capital,354.67
2007-11-01,Total Assets,3139.876
2007-11-01,Total Liabilities,2774.141
2007-11-01,Capital,365.735
2007-12-01,Total Assets,3383.952
2007-12-01,Total Liabilities,3007.566
2007-12-01,Capital,376.386
2008-01-01,Total Assets,3295.108
2008-01-01,Total Liabilities,2911.618
2008-01-01,Capital,383.491
2008-02-01,Total Assets,3445.096
2008-02-01,Total Liabilities,3053.529
2008-02-01,Capital,391.568
2008-03-01,Total Assets,3573.296
2008-03-01,Total Liabilities,3169.235
2008-03-01,Capital,404.061
2008-04-01,Total Assets,3683.613
2008-04-01,Total Liabilities,3271.444
2008-04-01,Capital,412.169
2008-05-01,Total Assets,3774.841
2008-05-01,Total Liabilities,3354.871
2008-05-01,Capital,419.97
2008-06-01,Total Assets,3849.377
2008-06-01,Total Liabilities,3422.756
2008-06-01,Capital,426.621
2008-07-01,Total Assets,3929.563
2008-07-01,Total Liabilities,3484.762
2008-07-01,Capital,444.801
2008-08-01,Total Assets,3924.941
2008-08-01,Total Liabilities,3476.135
2008-08-01,Capital,448.807
2008-09-01,Total Assets,3961.662
2008-09-01,Total Liabilities,3481.86
2008-09-01,Capital,479.801
2008-10-01,Total Assets,3856.916
2008-10-01,Total Liabilities,3371.536
2008-10-01,Capital,485.38
2008-11-01,Total Assets,3837.667
2008-11-01,Total Liabilities,3345.028
2008-11-01,Capital,492.639
2008-12-01,Total Assets,3519.427
2008-12-01,Total Liabilities,3082.604
2008-12-01,Capital,436.823
2009-01-01,Total Assets,3568.791
2009-01-01,Total Liabilities,3123.121
2009-01-01,Capital,445.67
2009-02-01,Total Assets,3721.86
2009-02-01,Total Liabilities,3271.077
2009-02-01,Capital,450.783
2009-03-01,Total Assets,3761.312
2009-03-01,Total Liabilities,3304.572
2009-03-01,Capital,456.74
2009-04-01,Total Assets,3370.877
2009-04-01,Total Liabilities,2948.143
2009-04-01,Capital,422.733
2009-05-01,Total Assets,3375.101
2009-05-01,Total Liabilities,2972.685
2009-05-01,Capital,402.416
2009-06-01,Total Assets,3504.924
2009-06-01,Total Liabilities,3094.929
2009-06-01,Capital,409.995
2009-07-01,Total Assets,3559.089
2009-07-01,Total Liabilities,3183.087
2009-07-01,Capital,376.002
2009-08-01,Total Assets,3624.029
2009-08-01,Total Liabilities,3233.768
2009-08-01,Capital,390.261
2009-09-01,Total Assets,3712.612
2009-09-01,Total Liabilities,3301.004
2009-09-01,Capital,411.609
2009-10-01,Total Assets,3784.507
2009-10-01,Total Liabilities,3374.126
2009-10-01,Capital,410.381
2009-11-01,Total Assets,4148.475
2009-11-01,Total Liabilities,3728.224
2009-11-01,Capital,420.252
2009-12-01,Total Assets,4290.574
2009-12-01,Total Liabilities,3829.913
2009-12-01,Capital,460.66
2010-01-01,Total Assets,4225.582
2010-01-01,Total Liabilities,3753.383
2010-01-01,Capital,472.201
2010-02-01,Total Assets,4377.334
2010-02-01,Total Liabilities,3881.786
2010-02-01,Capital,495.548
2010-03-01,Total Assets,4395.993
2010-03-01,Total Liabilities,3899.345
2010-03-01,Capital,496.649
2010-04-01,Total Assets,4518.79
2010-04-01,Total Liabilities,4021.772
2010-04-01,Capital,497.018
2010-05-01,Total Assets,4596.529
2010-05-01,Total Liabilities,4095.716
2010-05-01,Capital,500.814
2010-06-01,Total Assets,4868.726
2010-06-01,Total Liabilities,4335.773
2010-06-01,Capital,532.953
2010-07-01,Total Assets,4873.565
2010-07-01,Total Liabilities,4343.847
2010-07-01,Capital,529.718
2010-08-01,Total Assets,4966.261
2010-08-01,Total Liabilities,4431.035
2010-08-01,Capital,535.226
2010-09-01,Total Assets,5210.491
2010-09-01,Total Liabilities,4669.128
2010-09-01,Capital,541.364
2010-10-01,Total Assets,5492.19
2010-10-01,Total Liabilities,4930.523
2010-10-01,Capital,561.668
2010-11-01,Total Assets,5542.216
2010-11-01,Total Liabilities,4934.318
2010-11-01,Capital,607.898
2010-12-01,Total Assets,6219.488
2010-12-01,Total Liabilities,5601.42
2010-12-01,Capital,618.068
2011-01-01,Total Assets,6384.313
2011-01-01,Total Liabilities,5754.458
2011-01-01,Capital,629.855
2011-02-01,Total Assets,6557.719
2011-02-01,Total Liabilities,5923.312
2011-02-01,Capital,634.406
2011-03-01,Total Assets,6666.919
2011-03-01,Total Liabilities,6010.744
2011-03-01,Capital,656.175
2011-04-01,Total Assets,6910.622
2011-04-01,Total Liabilities,6250.163
2011-04-01,Capital,660.459
2011-05-01,Total Assets,7193.967
2011-05-01,Total Liabilities,6509.014
2011-05-01,Capital,684.953
2011-06-01,Total Assets,7683.802
2011-06-01,Total Liabilities,6935.851
2011-06-01,Capital,747.952
2011-07-01,Total Assets,7862.015
2011-07-01,Total Liabilities,7110.202
2011-07-01,Capital,751.823
2011-08-01,Total Assets,7808.674
2011-08-01,Total Liabilities,7035.199
2011-08-01,Capital,773.56
2011-09-01,Total Assets,8186.386
2011-09-01,Total Liabilities,7380.618
2011-09-01,Capital,805.768
2011-10-01,Total Assets,8313.464
2011-10-01,Total Liabilities,7491.252
2011-10-01,Capital,822.211
2011-11-01,Total Assets,8444.747
2011-11-01,Total Liabilities,7577.242
2011-11-01,Capital,867.505
2011-12-01,Total Assets,9362.245
2011-12-01,Total Liabilities,8448.758
2011-12-01,Capital,913.489
2012-01-01,Total Assets,8797.633
2012-01-01,Total Liabilities,7863.847
2012-01-01,Capital,933.785
2012-02-01,Total Assets,8920.539
2012-02-01,Total Liabilities,7975.449
2012-02-01,Capital,945.089
2012-03-01,Total Assets,9349.089
2012-03-01,Total Liabilities,8372.404
2012-03-01,Capital,976.685
2012-04-01,Total Assets,9397.984
