date,credit_billion_mnt
2004-01,249.88
2004-02,262.93
2004-03,279.13
2004-04,304.28
2004-05,310.22
2004-06,315.22
2004-07,324.81
2004-08,334.44
2004-09,334.52
2004-10,344.26
2004-11,357.95
2004-12,365.06
2005-01,358.75
2005-02,354.97
2005-03,376.33
2005-04,385.8
2005-05,397.8
2005-06,418.59
2005-07,431.35
2005-08,436.13
2005-09,443.0
2005-10,443.64
2005-11,471.35
2005-12,489.06
2006-01,496.16
2006-02,508.9
2006-03,544.64
2006-04,561.43
2006-05,563.66
2006-06,590.57
2006-07,618.08
2006-08,612.74
2006-09,607.34
2006-10,606.47
2006-11,639.3
2006-12,659.02
2007-01,692.19
2007-02,731.51
2007-03,776.78
2007-04,835.94
2007-05,874.86
2007-06,937.07
2007-07,954.65
2007-08,1061.05
2007-09,1081.41
2007-10,1115.05
2007-11,1121.28
2007-12,1166.15
2008-01,1183.04
2008-02,1261.87
2008-03,1288.16
2008-04,1348.81
2008-05,1422.87
2008-06,1472.24
2008-07,1491.9
2008-08,1530.25
2008-09,1556.91
2008-10,1555.21
2008-11,1553.08
2008-12,1570.4
2009-01,1631.66
2009-02,1653.17
2009-03,1672.34
2009-04,1617.79
2009-05,1607.26
2009-06,1653.21
2009-07,1662.31
2009-08,1639.49
2009-09,1663.78
2009-10,1652.2
2009-11,1693.19
2009-12,1716.25
2010-01,1720.86
2010-02,1724.26
2010-03,1760.22
2010-04,1754.07
2010-05,1815.48
2010-06,1806.5
2010-07,1844.15
2010-08,1789.35
2010-09,1808.07
2010-10,1797.04
2010-11,1783.35
2010-12,1854.77
2011-01,1909.02
2011-02,1999.06
2011-03,2099.49
2011-04,2226.97
2011-05,2393.2
2011-06,2568.67
2011-07,2637.48
2011-08,2685.83
2011-09,2770.75
2011-10,2861.28
2011-11,2969.56
2011-12,3064.54
2012-01,3095.5
2012-02,3108.64
2012-03,3147.44
2012-04,3246.97
2012-05,3328.25
2012-06,3451.37
2012-07,3541.9
2012-08,3635.61
2012-09,3730.26
2012-10,3723.56
2012-11,3715.58
2012-12,3828.07
2013-01,3884.35
2013-02,3893.63
2013-03,3961.35
2013-04,4215.49
2013-05,4487.36
2013-06,4727.17
2013-07,5021.57
2013-08,5342.96
2013-09,5489.5
2013-10,5652.56
2013-11,5866.72
2013-12,5998.81
2014-01,6008.6
2014-02,6127.95
2014-03,6202.33
2014-04,6388.64
2014-05,6547.84
2014-06,6590.85
2014-07,6610.01
2014-08,6535.23
2014-09,6654.88
2014-10,6916.83
2014-11,7189.42
2014-12,6980.15
2015-01,6939.15
2015-02,6955.22
2015-03,6976.17
2015-04,6941.37
2015-05,6762.17
2015-06,6745.03
2015-07,6724.1
2015-08,6749.58
2015-09,6750.54
2015-10,6750.46
2015-11,6732.9
2015-12,6760.82
2016-01,6732.77
2016-02,6753.67
2016-03,6814.37
2016-04,6875.01
2016-05,6835.51
2016-06,7281.94
2016-07,7353.08
2016-08,7524.21
2016-09,7498.81
2016-10,7568.13
2016-11,7654.52
2016-12,7324.06
2017-01,7174.63
2017-02,7311.61
2017-03,7345.86
2017-04,7274.88
2017-05,7320.54
2017-06,7334.79
2017-07,7399.95
2017-08,7423.1
2017-09,7416.29
2017-10,7441.11
2017-11,7459.15
2017-12,7478.72
2018-01,7494.73
2018-02,7522.47
2018-03,7637.4
2018-04,7800.99
2018-05,8116.75
2018-06,8364.67
2018-07,8429.46
2018-08,8522.24
2018-09,8663.93
2018-10,8571.06
2018-11,8578.36
2018-12,8594.08
2019-01,8531.93
2019-02,8434.21
2019-03,8563.73
2019-04,8694.31
2019-05,8868.99
2019-06,8976.2
2019-07,9157.62
2019-08,9148.78
2019-09,9018.17
2019-10,8995.44
2019-11,9007.67
2019-12,8857.53
2020-01,8815.34
2020-02,8750.0
2020-03,8698.98
2020-04,8608.03
2020-05,8543.63
2020-06,8605.98
2020-07,8514.29
2020-08,8469.23
2020-09,8359.76
2020-10,8255.61
2020-11,8208.59
2020-12,8249.57
2021-01,8261.63
2021-02,8256.59
2021-03,8379.34
2021-04,8520.21
2021-05,8788.26
2021-06,9355.97
2021-07,9428.87
2021-08,9473.12
2021-09,9597.62
2021-10,9498.61
2021-11,9648.03
2021-12,9966.31
2022-01,9859.6
2022-02,10025.24
2022-03,10315.02
2022-04,10661.39
2022-05,11003.17
2022-06,10999.67
2022-07,10953.16
2022-08,10898.19
2022-09,10930.7
2022-10,10731.89
2022-11,10652.95
2022-12,10199.52
2023-01,10123.02
2023-02,10378.93
2023-03,10465.42
2023-04,10508.18
2023-05,10826.07
2023-06,11249.85
2023-07,10966.53
2023-08,11096.06
2023-09,10949.79
2023-10,10854.11
2023-11,11076.86
2023-12,11502.61
2024-01,11184.57
2024-02,11139.51
2024-03,11560.33
2024-04,11747.21
2024-05,12373.73
2024-06,13209.8
2024-07,13042.03
2024-08,13243.89
2024-09,13392.15
2024-10,13381.91
2024-11,13427.55
2024-12,13780.71
2025-01,13714.66
2025-02,13877.83
2025-03,14381.05
2025-04,14800.9
2025-05,15258.12
2025-06,16550.62
2025-07,16295.3
2025-08,16427.12
2025-09,16570.1
2025-10,16942.64
2025-11,16918.92
2025-12,17196.36
2026-01,17121.49
