огноо,гадаад_өр_сая_ам_доллар
2000-03-01,4193.27
2000-06-01,4193.91
2000-09-01,4192.12
2000-12-01,4214.67
2001-03-01,4212.92
2001-06-01,4218.41
2001-09-01,4216.46
2001-12-01,4244.44
2002-03-01,4272.82
2002-06-01,4285.72
2002-09-01,4372.13
2002-12-01,4398.7
2003-03-01,4523.39
2003-06-01,4632.91
2003-09-01,4771.07
2003-12-01,4737.65
2004-03-01,4720.93
2004-06-01,4730.34
2004-09-01,4737.25
2004-12-01,4730.35
2005-03-01,4705.07
2005-06-01,4631.56
2005-09-01,4597.1
2005-12-01,4577.5
2006-03-01,4591.67
2006-06-01,4600.93
2006-09-01,4607.87
2006-12-01,4702.33
2007-03-01,4786.04
2007-06-01,4775.82
2007-09-01,4872.74
2007-12-01,4995.63
2008-03-01,5102.09
2008-06-01,5174.37
2008-09-01,5201.06
2008-12-01,5250.4
2009-03-01,5120.01
2009-06-01,5422.8
2009-09-01,5663.65
2009-12-01,5822.59
2010-03-01,5808.74
2010-06-01,5940.39
2010-09-01,6003.57
2010-12-01,7127.79
2011-03-01,7887.43
2011-06-01,9056.16
2011-09-01,9690.94
2011-12-01,10908.31
2012-03-01,12509.72
2012-06-01,13160.64
2012-09-01,14842.37
2012-12-01,17210.53
2013-03-01,17922.19
2013-06-01,18443.65
2013-09-01,19106.86
2013-12-01,19829.66
2014-03-01,20799.72
2014-06-01,20914.37
2014-09-01,22010.3
2014-12-01,21850.52
2015-03-01,21678.14
2015-06-01,22428.56
2015-09-01,22376.68
2015-12-01,22717.82
2016-03-01,23459.02
2016-06-01,24259.58
2016-09-01,24649.07
2016-12-01,24624.5
2017-03-01,25016.6
2017-06-01,25569.44
2017-09-01,26216.27
2017-12-01,27492.66
2018-03-01,27905.46
2018-06-01,27660.97
2018-09-01,27901.63
2018-12-01,28714.89
2019-03-01,29545.93
2019-06-01,29714.73
2019-09-01,29816.79
2019-12-01,30702.29
2020-03-01,30517.37
2020-06-01,30855.97
2020-09-01,31445.87
2020-12-01,32361.83
2021-03-01,32390.11
2021-06-01,32988.89
2021-09-01,33184.57
2021-12-01,33805.5
2022-03-01,33520.77
2022-06-01,32997.25
2022-09-01,32514.99
2022-12-01,33344.82
2023-03-01,33409.28
2023-06-01,33067.79
2023-09-01,33246.34
2023-12-01,34569.48
2024-03-01,35083.89
2024-06-01,35137.2
2024-09-01,35782.81
2024-12-01,37237.4
2025-03-01,38042.62
2025-06-01,39612.48
2025-09-01,40439.32
2025-12-01,40460.18
