date,metric,value
2000-01-01,Total Assets,360.0
2000-01-01,Total Liabilities,4858.0
2000-01-01,Net IIP,-4498.0
2000-04-01,Total Assets,380.0
2000-04-01,Total Liabilities,4865.0
2000-04-01,Net IIP,-4485.0
2000-07-01,Total Assets,397.0
2000-07-01,Total Liabilities,4867.0
2000-07-01,Net IIP,-4470.0
2000-10-01,Total Assets,410.0
2000-10-01,Total Liabilities,4912.0
2000-10-01,Net IIP,-4502.0
2001-01-01,Total Assets,399.0
2001-01-01,Total Liabilities,4920.0
2001-01-01,Net IIP,-4521.0
2001-04-01,Total Assets,429.0
2001-04-01,Total Liabilities,4949.0
2001-04-01,Net IIP,-4519.0
2001-07-01,Total Assets,440.0
2001-07-01,Total Liabilities,4954.0
2001-07-01,Net IIP,-4514.0
2001-10-01,Total Assets,463.0
2001-10-01,Total Liabilities,5008.0
2001-10-01,Net IIP,-4545.0
2002-01-01,Total Assets,465.0
2002-01-01,Total Liabilities,5046.0
2002-01-01,Net IIP,-4581.0
2002-04-01,Total Assets,470.0
2002-04-01,Total Liabilities,5079.0
2002-04-01,Net IIP,-4610.0
2002-07-01,Total Assets,501.0
2002-07-01,Total Liabilities,5191.0
2002-07-01,Net IIP,-4690.0
2002-10-01,Total Assets,532.0
2002-10-01,Total Liabilities,5241.0
2002-10-01,Net IIP,-4709.0
2003-01-01,Total Assets,529.0
2003-01-01,Total Liabilities,5390.0
2003-01-01,Net IIP,-4861.0
2003-04-01,Total Assets,546.0
2003-04-01,Total Liabilities,5541.0
2003-04-01,Net IIP,-4995.0
2003-07-01,Total Assets,603.0
2003-07-01,Total Liabilities,5716.0
2003-07-01,Net IIP,-5113.0
2003-10-01,Total Assets,534.0
2003-10-01,Total Liabilities,5720.0
2003-10-01,Net IIP,-5186.0
2004-01-01,Total Assets,504.0
2004-01-01,Total Liabilities,5724.0
2004-01-01,Net IIP,-5220.0
2004-04-01,Total Assets,598.0
2004-04-01,Total Liabilities,5773.0
2004-04-01,Net IIP,-5174.0
2004-07-01,Total Assets,642.0
2004-07-01,Total Liabilities,5796.0
2004-07-01,Net IIP,-5155.0
2004-10-01,Total Assets,687.0
2004-10-01,Total Liabilities,5799.0
2004-10-01,Net IIP,-5112.0
2005-01-01,Total Assets,729.0
2005-01-01,Total Liabilities,5870.0
2005-01-01,Net IIP,-5141.0
2005-04-01,Total Assets,768.0
2005-04-01,Total Liabilities,5826.0
2005-04-01,Net IIP,-5058.0
2005-07-01,Total Assets,844.0
2005-07-01,Total Liabilities,5828.0
2005-07-01,Net IIP,-4984.0
2005-10-01,Total Assets,926.0
2005-10-01,Total Liabilities,5852.0
2005-10-01,Net IIP,-4926.0
2006-01-01,Total Assets,987.0
2006-01-01,Total Liabilities,5896.0
2006-01-01,Net IIP,-4909.0
2006-04-01,Total Assets,1200.0
2006-04-01,Total Liabilities,5984.0
2006-04-01,Net IIP,-4784.0
