огноо,бодлогын_хүү_хувь
2016-05-05,10.5
2016-08-18,15.0
2016-12-19,14.0
2017-03-17,14.0
2017-06-15,12.0
2017-12-25,11.0
2018-03-23,10.0
2018-11-28,11.0
2020-03-12,10.0
2020-04-14,9.0
2020-09-15,8.0
2020-11-24,6.0
2021-05-13,6.0
2022-01-01,6.0
2022-01-31,6.5
2022-03-24,9.0
2022-06-22,10.0
2022-09-20,12.0
2022-12-16,13.0
2023-03-15,13.0
2023-06-23,13.0
2023-09-15,13.0
2023-12-14,13.0
2024-03-15,12.0
2024-05-14,11.0
2024-07-02,11.0
2024-09-16,10.0
2024-12-13,10.0
2025-01-14,10.0
2025-03-10,12.0
2025-06-13,12.0
2025-09-16,12.0
2025-12-11,12.0
