month,metric,value
2021-01,Mineral licence fees | % of plan,7.8
2021-01,Mineral licence fees | Actual to date,2432.7
2021-01,Mineral licence fees | Annual plan,31200.0
2021-01,Mineral services revenue | % of plan,8.6
2021-01,Mineral services revenue | Actual to date,140.4
2021-01,Mineral services revenue | Annual plan,1626.1
2021-01,Petroleum exports | % of plan,7.6
2021-01,Petroleum exports | Actual to date,14014.1
2021-01,Petroleum exports | Annual plan,183200.0
2021-01,Petroleum service revenue | % of plan,0.0
2021-01,Petroleum service revenue | Actual to date,0.0
2021-01,Petroleum service revenue | Annual plan,873.9
2021-01,Reimbursement for state-funded exploration | % of plan,2.5
2021-01,Reimbursement for state-funded exploration | Actual to date,61.3
2021-01,Reimbursement for state-funded exploration | Annual plan,2500.0
2021-01,Tender revenue | % of plan,0.2
2021-01,Tender revenue | Actual to date,37.3
2021-01,Tender revenue | Annual plan,16000.0
2021-01,Total | % of plan,7.1
2021-01,Total | Actual to date,16685.8
2021-01,Total | Annual plan,235400.0
2021-02,Mineral licence fees | % of plan,11.7
2021-02,Mineral licence fees | Actual to date,3637.6
2021-02,Mineral licence fees | Annual plan,31200.0
2021-02,Mineral services revenue | % of plan,21.0
2021-02,Mineral services revenue | Actual to date,340.9
2021-02,Mineral services revenue | Annual plan,1626.1
2021-02,Petroleum exports | % of plan,16.8
2021-02,Petroleum exports | Actual to date,30860.0
2021-02,Petroleum exports | Annual plan,183200.0
2021-02,Petroleum service revenue | % of plan,79.4
2021-02,Petroleum service revenue | Actual to date,693.7
2021-02,Petroleum service revenue | Annual plan,873.9
2021-02,Reimbursement for state-funded exploration | % of plan,7.5
2021-02,Reimbursement for state-funded exploration | Actual to date,187.0
2021-02,Reimbursement for state-funded exploration | Annual plan,2500.0
2021-02,Tender revenue | % of plan,5.4
2021-02,Tender revenue | Actual to date,863.2
2021-02,Tender revenue | Annual plan,16000.0
2021-02,Total | % of plan,15.5
2021-02,Total | Actual to date,36582.5
2021-02,Total | Annual plan,235400.0
2021-03,Mineral licence fees | % of plan,18.0
2021-03,Mineral licence fees | Actual to date,5622.3
2021-03,Mineral licence fees | Annual plan,31200.0
2021-03,Mineral services revenue | % of plan,31.0
2021-03,Mineral services revenue | Actual to date,503.6
2021-03,Mineral services revenue | Annual plan,1626.1
2021-03,Petroleum exports | % of plan,25.4
2021-03,Petroleum exports | Actual to date,46592.5
2021-03,Petroleum exports | Annual plan,183200.0
2021-03,Petroleum service revenue | % of plan,79.4
2021-03,Petroleum service revenue | Actual to date,693.7
2021-03,Petroleum service revenue | Annual plan,873.9
2021-03,Reimbursement for state-funded exploration | % of plan,9.9
2021-03,Reimbursement for state-funded exploration | Actual to date,247.1
2021-03,Reimbursement for state-funded exploration | Annual plan,2500.0
2021-03,Tender revenue | % of plan,22.0
2021-03,Tender revenue | Actual to date,3518.3
2021-03,Tender revenue | Annual plan,16000.0
