сар,үзүүлэлт,утга
2021-01,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),7.8
2021-01,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-01,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,2432.7
2021-01,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),8.6
2021-01,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,1626.1
2021-01,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,140.4
2021-01,БҮГД | Биелэлт (%),7.1
2021-01,БҮГД | Жилийн төлөвлөгөө,235400.0
2021-01,БҮГД | Өссөн дүнгийн гүйцэтгэл,16685.8
2021-01,Газрын тосны экспорт | Биелэлт (%),7.6
2021-01,Газрын тосны экспорт | Жилийн төлөвлөгөө,183200.0
2021-01,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,14014.1
2021-01,Газрын тосны үйлчилгээний орлого | Биелэлт (%),0.0
2021-01,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-01,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,0.0
2021-01,Сонгон шалгаруулалт | Биелэлт (%),0.2
2021-01,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
2021-01,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,37.3
2021-01,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),2.5
2021-01,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-01,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,61.3
2021-02,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),11.7
2021-02,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-02,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,3637.6
