month,metric,value
2021-01,Actual to date,16685.8
2021-01,Annual plan,235400.0
2021-02,Actual to date,36582.5
2021-02,Annual plan,235400.0
2021-03,Actual to date,57177.5
2021-03,Annual plan,235400.0
2021-04,Actual to date,84426.4
2021-04,Annual plan,235400.0
2021-05,Actual to date,108155.2
2021-05,Annual plan,235400.0
2021-06,Actual to date,137933.8
2021-06,Annual plan,235400.0
2021-07,Actual to date,164859.1
2021-07,Annual plan,235400.0
2021-08,Actual to date,191255.3
2021-08,Annual plan,235400.0
2021-09,Actual to date,221006.8
2021-09,Annual plan,265400.0
2021-10,Actual to date,228926.6
2021-10,Annual plan,265400.0
2021-11,Actual to date,248066.2
2021-11,Annual plan,265400.0
2021-12,Actual to date,268696.5
2021-12,Annual plan,265400.0
2022-01,Actual to date,5564.8
2022-01,Annual plan,354050.0
2022-02,Actual to date,14840.7
2022-02,Annual plan,354050.0
2022-03,Actual to date,22383.8
2022-03,Annual plan,354050.0
2022-04,Actual to date,26276.3
2022-04,Annual plan,354050.0
2022-05,Actual to date,31496.3
2022-05,Annual plan,291997.0
2022-06,Actual to date,34696.0
2022-06,Annual plan,291997.0
2022-07,Actual to date,38484.2
2022-07,Annual plan,291997.0
2022-08,Actual to date,78426.7
2022-08,Annual plan,291997.0
2022-09,Actual to date,118056.5
2022-09,Annual plan,291997.0
2022-10,Actual to date,153134.8
2022-10,Annual plan,291997.0
2022-11,Actual to date,182144.3
2022-11,Annual plan,291997.0
2022-12,Actual to date,216745.2
2022-12,Annual plan,291997.0
2023-01,Actual to date,27424.1
2023-01,Annual plan,485780.9
2023-02,Actual to date,68154.8
2023-02,Annual plan,485780.9
2023-03,Actual to date,71578.0
2023-03,Annual plan,485780.9
2023-04,Actual to date,79754.0
2023-04,Annual plan,485780.9
2023-05,Actual to date,88555.6
2023-05,Annual plan,485780.9
2023-06,Actual to date,188326.2
2023-06,Annual plan,485780.9
2023-07,Actual to date,225331.4
2023-07,Annual plan,485780.9
2023-08,Actual to date,255752.9
2023-08,Annual plan,485780.9
2023-09,Actual to date,283343.3
2023-09,Annual plan,485780.9
2023-10,Actual to date,329756.7
2023-10,Annual plan,485780.9
2023-11,Actual to date,362090.6
2023-11,Annual plan,485780.9
2023-12,Actual to date,401948.5
2023-12,Annual plan,485780.9
2024-01,Actual to date,36957.1
2024-01,Annual plan,421903.2
2024-02,Actual to date,61169.0
2024-02,Annual plan,421903.2
2024-03,Actual to date,106210.8
2024-03,Annual plan,421903.2
2024-04,Actual to date,147504.1
2024-04,Annual plan,421903.2
2024-05,Actual to date,178017.6
2024-05,Annual plan,421903.2
2024-06,Actual to date,183348.5
2024-06,Annual plan,421903.2
2024-07,Actual to date,188500.8
2024-07,Annual plan,421903.2
2024-08,Actual to date,193249.3
2024-08,Annual plan,421903.2
2024-09,Actual to date,201359.9
2024-09,Annual plan,355971.5
2024-10,Actual to date,228557.7
2024-10,Annual plan,355971.5
2024-11,Actual to date,274316.0
2024-11,Annual plan,355971.5
2024-12,Actual to date,322217.0
2024-12,Annual plan,355971.5
2025-01,Actual to date,42230.0
2025-01,Annual plan,407301.0
2025-02,Actual to date,64607.3
2025-02,Annual plan,407301.0
2025-03,Actual to date,87232.7
2025-03,Annual plan,407301.0
2025-04,Actual to date,94912.8
2025-04,Annual plan,407301.0
2025-05,Actual to date,122208.3
2025-05,Annual plan,407301.0
2025-06,Actual to date,212056.0
2025-06,Annual plan,407301.0
2025-07,Actual to date,243638.2
2025-07,Annual plan,407301.0
2025-08,Actual to date,282696.6
2025-08,Annual plan,407301.0
2025-09,Actual to date,305051.2
2025-09,Annual plan,309089.4
2025-10,Actual to date,326666.8
2025-10,Annual plan,309089.6
2025-11,Actual to date,345286.4
2025-11,Annual plan,309089.6
2025-12,Actual to date,422604.5
2025-12,Annual plan,309089.6
2026-01,Actual to date,6958.9
2026-01,Annual plan,293986.8
2026-02,Actual to date,56706.2
2026-02,Annual plan,293986.8
2026-03,Actual to date,83947.1
2026-03,Annual plan,293986.9
2026-04,Actual to date,113803.7
2026-04,Annual plan,293986.9
2026-05,Actual to date,166871.8
2026-05,Annual plan,293986.9
2026-06,Actual to date,191971.7
2026-06,Annual plan,293986.9
2026-07,Actual to date,226834.3
2026-07,Annual plan,293986.9
