сар,үзүүлэлт,утга
2021-01,Жилийн төлөвлөгөө,235400.0
2021-01,Өссөн дүнгийн гүйцэтгэл,16685.8
2021-02,Жилийн төлөвлөгөө,235400.0
2021-02,Өссөн дүнгийн гүйцэтгэл,36582.5
2021-03,Жилийн төлөвлөгөө,235400.0
2021-03,Өссөн дүнгийн гүйцэтгэл,57177.5
2021-04,Жилийн төлөвлөгөө,235400.0
2021-04,Өссөн дүнгийн гүйцэтгэл,84426.4
2021-05,Жилийн төлөвлөгөө,235400.0
2021-05,Өссөн дүнгийн гүйцэтгэл,108155.2
2021-06,Жилийн төлөвлөгөө,235400.0
2021-06,Өссөн дүнгийн гүйцэтгэл,137933.8
2021-07,Жилийн төлөвлөгөө,235400.0
2021-07,Өссөн дүнгийн гүйцэтгэл,164859.1
2021-08,Жилийн төлөвлөгөө,235400.0
2021-08,Өссөн дүнгийн гүйцэтгэл,191255.3
2021-09,Жилийн төлөвлөгөө,265400.0
2021-09,Өссөн дүнгийн гүйцэтгэл,221006.8
2021-10,Жилийн төлөвлөгөө,265400.0
2021-10,Өссөн дүнгийн гүйцэтгэл,228926.6
2021-11,Жилийн төлөвлөгөө,265400.0
2021-11,Өссөн дүнгийн гүйцэтгэл,248066.2
2021-12,Жилийн төлөвлөгөө,265400.0
2021-12,Өссөн дүнгийн гүйцэтгэл,268696.5
2022-01,Жилийн төлөвлөгөө,354050.0
2022-01,Өссөн дүнгийн гүйцэтгэл,5564.8
2022-02,Жилийн төлөвлөгөө,354050.0
2022-02,Өссөн дүнгийн гүйцэтгэл,14840.7
2022-03,Жилийн төлөвлөгөө,354050.0
2022-03,Өссөн дүнгийн гүйцэтгэл,22383.8
2022-04,Жилийн төлөвлөгөө,354050.0
2022-04,Өссөн дүнгийн гүйцэтгэл,26276.3
2022-05,Жилийн төлөвлөгөө,291997.0
2022-05,Өссөн дүнгийн гүйцэтгэл,31496.3
2022-06,Жилийн төлөвлөгөө,291997.0
2022-06,Өссөн дүнгийн гүйцэтгэл,34696.0
2022-07,Жилийн төлөвлөгөө,291997.0
2022-07,Өссөн дүнгийн гүйцэтгэл,38484.2
2022-08,Жилийн төлөвлөгөө,291997.0
2022-08,Өссөн дүнгийн гүйцэтгэл,78426.7
2022-09,Жилийн төлөвлөгөө,291997.0
