сар,үзүүлэлт,утга
2021-01,Борлуулалт,4392.1
2021-01,Олборлолт,4877.2
2021-01,Экспорт,3282.7
2021-02,Борлуулалт,3574.1
2021-02,Олборлолт,4202.2
2021-02,Экспорт,2636.1
2021-03,Борлуулалт,3359.6
2021-03,Олборлолт,3742.7
2021-03,Экспорт,2493.1
2021-04,Борлуулалт,2251.7
2021-04,Олборлолт,2962.8
2021-04,Экспорт,1561.9
2021-05,Борлуулалт,1425.0
2021-05,Олборлолт,2031.4
2021-05,Экспорт,850.4
2021-06,Борлуулалт,1432.5
2021-06,Олборлолт,1478.9
2021-06,Экспорт,841.5
2021-07,Борлуулалт,1597.1
2021-07,Олборлолт,1687.1
2021-07,Экспорт,1085.2
2021-08,Борлуулалт,1431.5
2021-08,Олборлолт,1415.2
2021-08,Экспорт,718.1
2021-09,Борлуулалт,1421.2
2021-09,Олборлолт,1769.8
2021-09,Экспорт,562.0
2021-10,Борлуулалт,1929.9
2021-10,Олборлолт,2835.3
2021-10,Экспорт,725.0
2021-11,Борлуулалт,2467.0
2021-11,Олборлолт,2725.8
2021-11,Экспорт,985.9
2021-12,Борлуулалт,1838.0
2021-12,Олборлолт,2583.7
2021-12,Экспорт,569.0
2022-01,Борлуулалт,1636.2
2022-01,Олборлолт,2163.5
2022-01,Экспорт,443.1
2022-02,Борлуулалт,1571.1
2022-02,Олборлолт,1626.4
2022-02,Экспорт,503.1
2022-03,Борлуулалт,1949.1
2022-03,Олборлолт,2046.8
2022-03,Экспорт,981.6
2022-04,Борлуулалт,1427.2
2022-04,Олборлолт,2344.6
2022-04,Экспорт,680.0
2022-05,Борлуулалт,1433.9
2022-05,Олборлолт,1923.6
2022-05,Экспорт,832.1
2022-06,Борлуулалт,2287.1
2022-06,Олборлолт,2129.5
2022-06,Экспорт,1757.4
2022-07,Борлуулалт,2936.1
2022-07,Олборлолт,2304.8
2022-07,Экспорт,2434.6
2022-08,Борлуулалт,3821.1
2022-08,Олборлолт,3601.9
2022-08,Экспорт,3083.2
2022-09,Борлуулалт,4941.4
2022-09,Олборлолт,4249.4
2022-09,Экспорт,3849.9
2022-10,Борлуулалт,5295.3
2022-10,Олборлолт,5128.2
2022-10,Экспорт,3954.4
2022-11,Борлуулалт,5530.4
2022-11,Олборлолт,5417.9
2022-11,Экспорт,4181.5
2022-12,Борлуулалт,6294.0
2022-12,Олборлолт,6403.4
2022-12,Экспорт,4844.2
2023-01,Борлуулалт,5759.1
2023-01,Олборлолт,5579.1
2023-01,Экспорт,4282.4
2023-02,Борлуулалт,5453.8
2023-02,Олборлолт,4777.0
2023-02,Экспорт,4204.4
2023-03,Борлуулалт,6653.2
2023-03,Олборлолт,6592.1
2023-03,Экспорт,5430.4
2023-04,Борлуулалт,5569.0
2023-04,Олборлолт,5791.2
2023-04,Экспорт,4611.0
2023-05,Борлуулалт,4894.6
2023-05,Олборлолт,5947.7
2023-05,Экспорт,4152.0
2023-06,Борлуулалт,4779.4
2023-06,Олборлолт,6195.1
2023-06,Экспорт,4113.8
2023-07,Борлуулалт,5827.8
2023-07,Олборлолт,5720.8
2023-07,Экспорт,5098.1
2023-08,Борлуулалт,7525.0
2023-08,Олборлолт,7908.8
2023-08,Экспорт,6744.3
2023-09,Борлуулалт,7706.1
2023-09,Олборлолт,8530.5
2023-09,Экспорт,6882.5
2023-10,Борлуулалт,8022.1
2023-10,Олборлолт,9090.2
2023-10,Экспорт,6712.3
2023-11,Борлуулалт,8835.2
2023-11,Олборлолт,8650.3
2023-11,Экспорт,7371.2
2023-12,Борлуулалт,8372.4
2023-12,Олборлолт,8452.0
2023-12,Экспорт,6667.3
2024-01,Борлуулалт,6749.0
2024-01,Олборлолт,7072.2
2024-01,Экспорт,5385.6
2024-02,Борлуулалт,5714.7
2024-02,Олборлолт,7004.3
2024-02,Экспорт,4468.2
2024-03,Борлуулалт,7247.0
2024-03,Олборлолт,8337.3
2024-03,Экспорт,6003.1
2024-04,Борлуулалт,7512.0
2024-04,Олборлолт,9171.7
2024-04,Экспорт,6470.4
2024-05,Борлуулалт,7542.4
2024-05,Олборлолт,9148.1
2024-05,Экспорт,6649.8
2024-06,Борлуулалт,7814.4
2024-06,Олборлолт,8883.1
2024-06,Экспорт,7010.1
2024-07,Борлуулалт,7514.0
2024-07,Олборлолт,8629.9
2024-07,Экспорт,6892.7
2024-08,Борлуулалт,7554.7
2024-08,Олборлолт,8701.4
2024-08,Экспорт,6710.9
2024-09,Борлуулалт,7068.6
2024-09,Олборлолт,9363.0
2024-09,Экспорт,6075.4
2024-10,Борлуулалт,8044.3
2024-10,Олборлолт,10268.7
2024-10,Экспорт,6828.7
2024-11,Борлуулалт,6997.9
2024-11,Олборлолт,10474.4
2024-11,Экспорт,5601.5
2024-12,Борлуулалт,7860.9
2024-12,Олборлолт,9486.8
2024-12,Экспорт,6312.8
2025-01,Борлуулалт,4693.5
2025-01,Олборлолт,5880.8
2025-01,Экспорт,3406.2
2025-02,Борлуулалт,5456.9
2025-02,Олборлолт,7347.8
2025-02,Экспорт,4504.8
2025-03,Борлуулалт,4921.5
2025-03,Олборлолт,7987.8
2025-03,Экспорт,3897.0
2025-04,Борлуулалт,7829.5
2025-04,Олборлолт,8718.3
2025-04,Экспорт,7091.4
2025-05,Борлуулалт,7025.7
2025-05,Олборлолт,9147.2
2025-05,Экспорт,6282.9
2025-06,Борлуулалт,5289.2
2025-06,Олборлолт,6626.1
2025-06,Экспорт,4910.1
2025-07,Борлуулалт,7315.1
2025-07,Олборлолт,7981.4
2025-07,Экспорт,6672.0
2025-08,Борлуулалт,6783.5
2025-08,Олборлолт,7627.9
2025-08,Экспорт,6116.6
2025-09,Борлуулалт,10105.3
2025-09,Олборлолт,10130.1
2025-09,Экспорт,9100.4
2025-10,Борлуулалт,8382.5
2025-10,Олборлолт,10165.9
2025-10,Экспорт,7065.0
2025-11,Борлуулалт,9459.2
2025-11,Олборлолт,11089.8
2025-11,Экспорт,8320.8
2025-12,Борлуулалт,10503.8
2025-12,Олборлолт,11350.5
2025-12,Экспорт,9115.7
2026-01,Борлуулалт,10020.3
2026-01,Олборлолт,11398.9
2026-01,Экспорт,9306.5
2026-02,Борлуулалт,7313.2
2026-02,Олборлолт,9629.3
2026-02,Экспорт,6175.3
2026-03,Борлуулалт,8695.1
2026-03,Олборлолт,8898.5
2026-03,Экспорт,7820.7
2026-04,Борлуулалт,9481.2
2026-04,Олборлолт,9890.9
2026-04,Экспорт,8878.2
2026-05,Борлуулалт,9375.8
2026-05,Олборлолт,12936.9
2026-05,Экспорт,8804.8
2026-06,Борлуулалт,11221.5
2026-06,Олборлолт,13036.0
2026-06,Экспорт,10367.4
2026-07,Борлуулалт,8761.5
2026-07,Олборлолт,11127.8
2026-07,Экспорт,8205.7
