он,сар,олборлолт_мян_тн,борлуулалт_мян_тн,экспорт_мян_тн
2022,1,2163.5,1636.2,443.1
2022,2,1626.4,1571.1,503.1
2022,4,2344.6,1427.2,680.0
2022,5,1923.6,1433.9,832.1
2022,6,2129.5,2287.1,1757.4
2022,7,2304.8,2936.1,2434.6
2022,8,3601.9,3821.1,3083.2
2022,9,4249.4,4941.4,3849.9
2022,10,5128.2,5295.3,3954.4
2022,11,5417.9,5530.4,4181.5
2022,12,6403.4,6294.0,4844.2
2023,1,5579.1,5759.1,4282.4
2023,2,4777.0,5453.8,4204.4
2023,3,6592.1,6653.2,5430.4
2023,4,5791.2,5569.0,4611.0
2023,5,5947.7,4894.6,4152.0
2023,6,6195.1,4779.4,4113.8
2023,7,5720.8,5827.8,5098.1
2023,8,7908.8,7525.0,6744.3
2023,9,8530.5,7706.1,6882.5
2023,10,9090.2,8022.1,6712.3
2023,11,24203.6,38310.3,38481.8
2023,12,8452.0,8372.4,6667.3
2024,1,7072.2,6749.0,5385.6
2024,2,7004.3,5714.7,4468.2
2024,3,8337.3,7247.0,6003.1
2024,4,9171.7,7512.0,6470.4
2024,5,9148.1,7542.4,6649.8
2024,6,8883.1,7814.4,7010.1
2024,7,8629.9,7514.0,6892.7
2024,8,8701.4,7554.7,6710.9
2024,9,9363.0,7068.6,6075.4
2024,10,10268.7,8044.3,6828.7
2024,11,10474.4,6997.9,5601.5
2024,12,9486.8,7860.9,6312.8
2025,1,5880.8,4693.5,3406.2
2025,2,7347.8,5456.9,4504.8
2025,3,7987.8,4921.5,3897.0
2025,4,8718.3,7829.5,7091.4
2025,5,9147.2,7025.7,6282.9
2025,6,6626.1,5289.2,4910.1
2025,7,7981.4,7315.1,6672.0
2025,8,7627.9,6783.5,6116.6
2025,9,10130.1,10105.3,9100.4
2025,10,10165.9,8382.5,7065.0
2025,11,11089.8,9459.2,8320.8
2025,12,11350.5,10503.8,9115.7
