month,commodity,price
2021-01,Copper (USD/tonne),7970.5
2021-01,Fluorspar concentrate FF-97 (USD/tonne),355.0
2021-01,Fluorspar ore FK-85 (USD/tonne),300.0
2021-01,Gold (USD/troy oz),1868.3
2021-01,"Iron concentrate, 60% (USD/tonne)",158.7
2021-01,"Iron ore, 56% (USD/tonne)",138.9
2021-01,Lead (USD/tonne),2014.9
2021-01,"Manganese, 36% (USD/tonne)",195.9
2021-01,Molybdenum (USD/tonne),22421.0
2021-01,Silver (USD/troy oz),25.9
2021-01,Tin (USD/tonne),21955.5
2021-01,"Tungsten, 65% (USD/tonne)",13663.0
2021-01,"Tungsten, 99% (USD/tonne)",34727.0
2021-01,Uranium (USD/kg),65.3
2021-01,Zinc (USD/tonne),2707.7
2021-02,Copper (USD/tonne),9172.5
2021-02,Fluorspar concentrate FF-97 (USD/tonne),355.0
2021-02,Fluorspar ore FK-85 (USD/tonne),300.0
2021-02,Gold (USD/troy oz),1811.1
2021-02,"Iron concentrate, 60% (USD/tonne)",155.5
2021-02,"Iron ore, 56% (USD/tonne)",131.6
2021-02,Lead (USD/tonne),2075.0
2021-02,"Manganese, 36% (USD/tonne)",195.1
2021-02,Molybdenum (USD/tonne),26257.0
2021-02,Silver (USD/troy oz),27.4
2021-02,Tin (USD/tonne),24505.0
2021-02,"Tungsten, 65% (USD/tonne)",14165.5
2021-02,"Tungsten, 99% (USD/tonne)",33000.0
2021-02,Uranium (USD/kg),61.7
2021-02,Zinc (USD/tonne),2788.5
2021-03,Copper (USD/tonne),8768.0
2021-03,Fluorspar concentrate FF-97 (USD/tonne),325.0
2021-03,Fluorspar ore FK-85 (USD/tonne),300.0
2021-03,Gold (USD/troy oz),1719.9
2021-03,"Iron concentrate, 60% (USD/tonne)",153.8
2021-03,"Iron ore, 56% (USD/tonne)",132.9
2021-03,Lead (USD/tonne),1960.8
2021-03,"Manganese, 36% (USD/tonne)",192.4
2021-03,Molybdenum (USD/tonne),25949.3
2021-03,Silver (USD/troy oz),25.6
2021-03,Tin (USD/tonne),27396.3
2021-03,"Tungsten, 65% (USD/tonne)",14612.2
2021-03,"Tungsten, 99% (USD/tonne)",34980.0
2021-03,Uranium (USD/kg),68.2
2021-03,Zinc (USD/tonne),2791.7
2021-04,Copper (USD/tonne),9335.6
2021-04,Fluorspar concentrate FF-97 (USD/tonne),325.0
2021-04,Fluorspar ore FK-85 (USD/tonne),300.0
2021-04,Gold (USD/troy oz),1760.0
2021-04,"Iron concentrate, 60% (USD/tonne)",163.4
2021-04,"Iron ore, 56% (USD/tonne)",142.2
2021-04,Lead (USD/tonne),2006.3
2021-04,"Manganese, 36% (USD/tonne)",184.6
2021-04,Molybdenum (USD/tonne),24515.4
2021-04,Silver (USD/troy oz),25.6
2021-04,Tin (USD/tonne),28508.1
2021-04,"Tungsten, 65% (USD/tonne)",14752.3
2021-04,"Tungsten, 99% (USD/tonne)",33000.0
2021-04,Uranium (USD/kg),63.7
2021-04,Zinc (USD/tonne),2827.4
2021-05,Copper (USD/tonne),10184.0
2021-05,Fluorspar concentrate FF-97 (USD/tonne),325.0
2021-05,Fluorspar ore FK-85 (USD/tonne),300.0
2021-05,Gold (USD/troy oz),1850.4
2021-05,"Iron concentrate, 60% (USD/tonne)",192.2
2021-05,"Iron ore, 56% (USD/tonne)",166.3
2021-05,Lead (USD/tonne),2185.9
2021-05,"Manganese, 36% (USD/tonne)",189.7
2021-05,Molybdenum (USD/tonne),29150.1
2021-05,Silver (USD/troy oz),27.5
2021-05,Tin (USD/tonne),32524.3
2021-05,"Tungsten, 65% (USD/tonne)",15122.4
2021-05,"Tungsten, 99% (USD/tonne)",36000.0
2021-05,Uranium (USD/kg),69.2
2021-05,Zinc (USD/tonne),2970.3
2021-06,Copper (USD/tonne),9612.4
2021-06,Fluorspar concentrate FF-97 (USD/tonne),300.0
2021-06,Fluorspar ore FK-85 (USD/tonne),300.0
2021-06,Gold (USD/troy oz),1835.3
2021-06,"Iron concentrate, 60% (USD/tonne)",195.1
2021-06,"Iron ore, 56% (USD/tonne)",169.2
2021-06,Lead (USD/tonne),2189.0
2021-06,"Manganese, 36% (USD/tonne)",193.2
2021-06,Molybdenum (USD/tonne),39897.6
2021-06,Silver (USD/troy oz),27.0
2021-06,Tin (USD/tonne),32677.6
2021-06,"Tungsten, 65% (USD/tonne)",15210.6
2021-06,Zinc (USD/tonne),2950.1
2021-07,Copper (USD/tonne),9433.6
2021-07,Fluorspar concentrate FF-97 (USD/tonne),300.0
2021-07,Fluorspar ore FK-85 (USD/tonne),300.0
