сар,бараа,үнэ
2021-01,Алт (ам.долл/унци),1868.3
2021-01,"Гянтболд, 65% (ам.долл/тн)",13663.0
2021-01,"Гянтболд, 99% (ам.долл/тн)",34727.0
2021-01,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",355.0
2021-01,"Жонш, хүдэр ФК-85 (ам.долл/тн)",300.0
2021-01,Зэс (ам.долл/тн),7970.5
2021-01,"Манган, 36% (ам.долл/тн)",195.9
2021-01,Молибдени (ам.долл/тн),22421.0
2021-01,Мөнгө (ам.долл/унци),25.9
2021-01,"Төмөр, 56% хүдэр (ам.долл/тн)",138.9
2021-01,"Төмөр, 60% баяжмал (ам.долл/тн)",158.7
2021-01,Уран (ам.долл/кг),65.3
2021-01,Хар тугалга (ам.долл/тн),2014.9
2021-01,Цагаан тугалга (ам.долл/тн),21955.5
2021-01,Цайр (ам.долл/тн),2707.7
2021-02,Алт (ам.долл/унци),1811.1
2021-02,"Гянтболд, 65% (ам.долл/тн)",14165.5
2021-02,"Гянтболд, 99% (ам.долл/тн)",33000.0
2021-02,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",355.0
2021-02,"Жонш, хүдэр ФК-85 (ам.долл/тн)",300.0
2021-02,Зэс (ам.долл/тн),9172.5
2021-02,"Манган, 36% (ам.долл/тн)",195.1
2021-02,Молибдени (ам.долл/тн),26257.0
2021-02,Мөнгө (ам.долл/унци),27.4
2021-02,"Төмөр, 56% хүдэр (ам.долл/тн)",131.6
2021-02,"Төмөр, 60% баяжмал (ам.долл/тн)",155.5
2021-02,Уран (ам.долл/кг),61.7
2021-02,Хар тугалга (ам.долл/тн),2075.0
2021-02,Цагаан тугалга (ам.долл/тн),24505.0
2021-02,Цайр (ам.долл/тн),2788.5
2021-03,Алт (ам.долл/унци),1719.9
2021-03,"Гянтболд, 65% (ам.долл/тн)",14612.2
2021-03,"Гянтболд, 99% (ам.долл/тн)",34980.0
2021-03,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",325.0
2021-03,"Жонш, хүдэр ФК-85 (ам.долл/тн)",300.0
2021-03,Зэс (ам.долл/тн),8768.0
2021-03,"Манган, 36% (ам.долл/тн)",192.4
2021-03,Молибдени (ам.долл/тн),25949.3
2021-03,Мөнгө (ам.долл/унци),25.6
2021-03,"Төмөр, 56% хүдэр (ам.долл/тн)",132.9
2021-03,"Төмөр, 60% баяжмал (ам.долл/тн)",153.8
2021-03,Уран (ам.долл/кг),68.2
2021-03,Хар тугалга (ам.долл/тн),1960.8
2021-03,Цагаан тугалга (ам.долл/тн),27396.3
2021-03,Цайр (ам.долл/тн),2791.7
2021-04,Алт (ам.долл/унци),1760.0
2021-04,"Гянтболд, 65% (ам.долл/тн)",14752.3
2021-04,"Гянтболд, 99% (ам.долл/тн)",33000.0
2021-04,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",325.0
2021-04,"Жонш, хүдэр ФК-85 (ам.долл/тн)",300.0
2021-04,Зэс (ам.долл/тн),9335.6
2021-04,"Манган, 36% (ам.долл/тн)",184.6
2021-04,Молибдени (ам.долл/тн),24515.4
2021-04,Мөнгө (ам.долл/унци),25.6
2021-04,"Төмөр, 56% хүдэр (ам.долл/тн)",142.2
2021-04,"Төмөр, 60% баяжмал (ам.долл/тн)",163.4
2021-04,Уран (ам.долл/кг),63.7
2021-04,Хар тугалга (ам.долл/тн),2006.3
2021-04,Цагаан тугалга (ам.долл/тн),28508.1
2021-04,Цайр (ам.долл/тн),2827.4
2021-05,Алт (ам.долл/унци),1850.4
2021-05,"Гянтболд, 65% (ам.долл/тн)",15122.4
2021-05,"Гянтболд, 99% (ам.долл/тн)",36000.0
2021-05,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",325.0
2021-05,"Жонш, хүдэр ФК-85 (ам.долл/тн)",300.0
2021-05,Зэс (ам.долл/тн),10184.0
2021-05,"Манган, 36% (ам.долл/тн)",189.7
2021-05,Молибдени (ам.долл/тн),29150.1
2021-05,Мөнгө (ам.долл/унци),27.5
2021-05,"Төмөр, 56% хүдэр (ам.долл/тн)",166.3
2021-05,"Төмөр, 60% баяжмал (ам.долл/тн)",192.2
2021-05,Уран (ам.долл/кг),69.2
2021-05,Хар тугалга (ам.долл/тн),2185.9
2021-05,Цагаан тугалга (ам.долл/тн),32524.3
2021-05,Цайр (ам.долл/тн),2970.3
2021-06,Алт (ам.долл/унци),1835.3
2021-06,"Гянтболд, 65% (ам.долл/тн)",15210.6
2021-06,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",300.0
2021-06,"Жонш, хүдэр ФК-85 (ам.долл/тн)",300.0
2021-06,Зэс (ам.долл/тн),9612.4
2021-06,"Манган, 36% (ам.долл/тн)",193.2
2021-06,Молибдени (ам.долл/тн),39897.6
2021-06,Мөнгө (ам.долл/унци),27.0
2021-06,"Төмөр, 56% хүдэр (ам.долл/тн)",169.2
2021-06,"Төмөр, 60% баяжмал (ам.долл/тн)",195.1
2021-06,Хар тугалга (ам.долл/тн),2189.0
2021-06,Цагаан тугалга (ам.долл/тн),32677.6
2021-06,Цайр (ам.долл/тн),2950.1
2021-07,Алт (ам.долл/унци),1806.5
2021-07,"Гянтболд, 65% (ам.долл/тн)",16261.8
2021-07,"Гянтболд, 99% (ам.долл/тн)",38090.0
2021-07,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",300.0
2021-07,"Жонш, хүдэр ФК-85 (ам.долл/тн)",300.0
2021-07,Зэс (ам.долл/тн),9433.6
2021-07,"Манган, 36% (ам.долл/тн)",190.9
2021-07,Молибдени (ам.долл/тн),40599.1
2021-07,Мөнгө (ам.долл/унци),25.8
2021-07,"Төмөр, 56% хүдэр (ам.долл/тн)",162.7
2021-07,"Төмөр, 60% баяжмал (ам.долл/тн)",195.4
2021-07,Уран (ам.долл/кг),71.4
2021-07,Хар тугалга (ам.долл/тн),2337.0
2021-07,Цагаан тугалга (ам.долл/тн),34183.0
2021-07,Цайр (ам.долл/тн),2943.0
2021-08,Алт (ам.долл/унци),1782.5
2021-08,"Гянтболд, 65% (ам.долл/тн)",17329.4
2021-08,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",300.0
2021-08,"Жонш, хүдэр ФК-85 (ам.долл/тн)",300.0
2021-08,Зэс (ам.долл/тн),9357.2
2021-08,"Манган, 36% (ам.долл/тн)",189.0
2021-08,Молибдени (ам.долл/тн),40599.1
2021-08,Мөнгө (ам.долл/унци),24.0
2021-08,"Төмөр, 56% хүдэр (ам.долл/тн)",108.8
2021-08,"Төмөр, 60% баяжмал (ам.долл/тн)",141.3
2021-08,Уран (ам.долл/кг),75.5
2021-08,Хар тугалга (ам.долл/тн),2337.0
2021-08,Цагаан тугалга (ам.долл/тн),34183.0
2021-08,Цайр (ам.долл/тн),2988.9
2021-09,Алт (ам.долл/унци),1779.1
2021-09,"Гянтболд, 65% (ам.долл/тн)",17005.2
2021-09,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",320.0
2021-09,"Жонш, хүдэр ФК-85 (ам.долл/тн)",275.0
2021-09,Зэс (ам.долл/тн),9324.1
2021-09,"Манган, 36% (ам.долл/тн)",192.7
2021-09,Молибдени (ам.долл/тн),43188.5
2021-09,Мөнгө (ам.долл/унци),23.3
2021-09,"Төмөр, 56% хүдэр (ам.долл/тн)",77.9
2021-09,"Төмөр, 60% баяжмал (ам.долл/тн)",102.4
2021-09,Уран (ам.долл/кг),93.9
2021-09,Хар тугалга (ам.долл/тн),2259.3
2021-09,Цагаан тугалга (ам.долл/тн),35048.2
2021-09,Цайр (ам.долл/тн),3042.0
2021-10,Алт (ам.долл/унци),1775.7
2021-10,"Гянтболд, 65% (ам.долл/тн)",17334.3
2021-10,"Гянтболд, 99% (ам.долл/тн)",41330.0
2021-10,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",320.0
2021-10,"Жонш, хүдэр ФК-85 (ам.долл/тн)",290.0
2021-10,Зэс (ам.долл/тн),9778.5
2021-10,"Манган, 36% (ам.долл/тн)",203.6
2021-10,Молибдени (ам.долл/тн),42028.5
2021-10,Мөнгө (ам.долл/унци),23.3
2021-10,"Төмөр, 56% хүдэр (ам.долл/тн)",74.3
2021-10,"Төмөр, 60% баяжмал (ам.долл/тн)",101.8
2021-10,Уран (ам.долл/кг),99.6
2021-10,Хар тугалга (ам.долл/тн),2339.5
2021-10,Цагаан тугалга (ам.долл/тн),37962.4
2021-10,Цайр (ам.долл/тн),3370.1
2021-11,Алт (ам.долл/унци),1820.3
2021-11,"Гянтболд, 65% (ам.долл/тн)",16951.2
2021-11,"Гянтболд, 99% (ам.долл/тн)",41840.0
2021-11,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",320.0
2021-11,"Жонш, хүдэр ФК-85 (ам.долл/тн)",275.0
2021-11,Зэс (ам.долл/тн),9764.6
2021-11,"Манган, 36% (ам.долл/тн)",201.0
2021-11,Молибдени (ам.долл/тн),41826.7
2021-11,Мөнгө (ам.долл/унци),24.2
2021-11,"Төмөр, 56% хүдэр (ам.долл/тн)",57.2
2021-11,"Төмөр, 60% баяжмал (ам.долл/тн)",82.7
2021-11,Уран (ам.долл/кг),100.9
2021-11,Хар тугалга (ам.долл/тн),2347.0
2021-11,Цагаан тугалга (ам.долл/тн),39307.2
2021-11,Цайр (ам.долл/тн),3316.7
2021-12,Алт (ам.долл/унци),1787.6
2021-12,"Гянтболд, 65% (ам.долл/тн)",17030.2
2021-12,"Гянтболд, 99% (ам.долл/тн)",41630.0
2021-12,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",320.0
2021-12,"Жонш, хүдэр ФК-85 (ам.долл/тн)",275.0
2021-12,Зэс (ам.долл/тн),9550.3
2021-12,"Манган, 36% (ам.долл/тн)",189.6
2021-12,Молибдени (ам.долл/тн),41182.3
2021-12,Мөнгө (ам.долл/унци),22.5
2021-12,Уран (ам.долл/кг),92.7
2021-12,Хар тугалга (ам.долл/тн),2304.8
2021-12,Цагаан тугалга (ам.долл/тн),39573.8
2021-12,Цайр (ам.долл/тн),3407.9
2022-01,Алт (ам.долл/унци),1817.8
2022-01,"Гянтболд, 65% (ам.долл/тн)",17928.2
2022-01,"Гянтболд, 99% (ам.долл/тн)",43680.0
2022-01,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",335.0
2022-01,"Жонш, хүдэр ФК-85 (ам.долл/тн)",290.0
2022-01,Зэс (ам.долл/тн),9774.5
2022-01,"Манган, 36% (ам.долл/тн)",189.8
2022-01,Молибдени (ам.долл/тн),41910.9
2022-01,Мөнгө (ам.долл/унци),23.2
2022-01,"Төмөр, 56% хүдэр (ам.долл/тн)",97.6
2022-01,"Төмөр, 60% баяжмал (ам.долл/тн)",119.3
2022-01,Уран (ам.долл/кг),95.0
2022-01,Хар тугалга (ам.долл/тн),2342.0
2022-01,Цагаан тугалга (ам.долл/тн),41789.6
2022-01,Цайр (ам.долл/тн),3609.3
2022-02,Алт (ам.долл/унци),1817.8
2022-02,"Гянтболд, 65% (ам.долл/тн)",17928.2
2022-02,"Гянтболд, 99% (ам.долл/тн)",43680.0
2022-02,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",335.0
2022-02,"Жонш, хүдэр ФК-85 (ам.долл/тн)",290.0
2022-02,Зэс (ам.долл/тн),9774.5
2022-02,"Манган, 36% (ам.долл/тн)",189.8
2022-02,Молибдени (ам.долл/тн),41910.9
2022-02,Мөнгө (ам.долл/унци),23.2
2022-02,"Төмөр, 56% хүдэр (ам.долл/тн)",97.6
2022-02,"Төмөр, 60% баяжмал (ам.долл/тн)",119.3
2022-02,Уран (ам.долл/кг),95.0
2022-02,Хар тугалга (ам.долл/тн),2342.0
2022-02,Цагаан тугалга (ам.долл/тн),41789.6
2022-02,Цайр (ам.долл/тн),3609.3
2022-03,Алт (ам.долл/унци),1857.0
2022-03,"Гянтболд, 65% (ам.долл/тн)",18542.2
2022-03,"Гянтболд, 99% (ам.долл/тн)",46160.0
2022-03,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",370.0
2022-03,"Жонш, хүдэр ФК-85 (ам.долл/тн)",342.5
2022-03,Зэс (ам.долл/тн),9940.0
2022-03,"Манган, 36% (ам.долл/тн)",191.1
2022-03,Молибдени (ам.долл/тн),41786.4
2022-03,Мөнгө (ам.долл/унци),23.5
2022-03,"Төмөр, 56% хүдэр (ам.долл/тн)",109.7
2022-03,"Төмөр, 60% баяжмал (ам.долл/тн)",128.7
2022-03,Уран (ам.долл/кг),107.5
2022-03,Хар тугалга (ам.долл/тн),2299.2
2022-03,Цагаан тугалга (ам.долл/тн),44104.1
2022-03,Цайр (ам.долл/тн),3643.7
2022-04,Алт (ам.долл/унци),1947.6
2022-04,"Гянтболд, 65% (ам.долл/тн)",18497.1
2022-04,"Гянтболд, 99% (ам.долл/тн)",47170.0
2022-04,Зэс (ам.долл/тн),10237.6
2022-04,"Манган, 36% (ам.долл/тн)",201.7
2022-04,Молибдени (ам.долл/тн),42328.7
2022-04,Мөнгө (ам.долл/унци),25.2
2022-04,"Төмөр, 56% хүдэр (ам.долл/тн)",111.4
2022-04,"Төмөр, 60% баяжмал (ам.долл/тн)",137.0
2022-04,Уран (ам.долл/кг),128.3
2022-04,Хар тугалга (ам.долл/тн),2359.5
2022-04,Цагаан тугалга (ам.долл/тн),44248.9
2022-04,Цайр (ам.долл/тн),3974.3
2022-05,Алт (ам.долл/унци),1936.3
2022-05,"Гянтболд, 65% (ам.долл/тн)",18494.9
2022-05,"Гянтболд, 99% (ам.долл/тн)",47500.0
2022-05,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",370.0
2022-05,"Жонш, хүдэр ФК-85 (ам.долл/тн)",342.5
2022-05,Зэс (ам.долл/тн),10182.3
2022-05,"Манган, 36% (ам.долл/тн)",203.5
2022-05,Молибдени (ам.долл/тн),42430.8
2022-05,Мөнгө (ам.долл/унци),24.6
2022-05,"Төмөр, 56% хүдэр (ам.долл/тн)",93.0
2022-05,"Төмөр, 60% баяжмал (ам.долл/тн)",136.4
2022-05,Уран (ам.долл/кг),116.8
2022-05,Хар тугалга (ам.долл/тн),2396.1
2022-05,Цагаан тугалга (ам.долл/тн),43099.7
2022-05,Цайр (ам.долл/тн),4370.4
2022-06,Алт (ам.долл/унци),1849.9
2022-06,"Гянтболд, 65% (ам.долл/тн)",16731.6
2022-06,"Гянтболд, 99% (ам.долл/тн)",45610.0
2022-06,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",370.0
2022-06,"Жонш, хүдэр ФК-85 (ам.долл/тн)",342.5
2022-06,Зэс (ам.долл/тн),9362.1
2022-06,"Манган, 36% (ам.долл/тн)",201.2
2022-06,Молибдени (ам.долл/тн),41371.3
2022-06,Мөнгө (ам.долл/унци),21.9
2022-06,"Төмөр, 56% хүдэр (ам.долл/тн)",77.5
