year,month,commodity,price,unit
2025,1,Gold,2709.7,USD/oz
2025,1,Silver,30.4,USD/oz
2025,1,Copper,8977.2,USD/t
2025,1,Zinc,2824.8,USD/t
2025,1,Lead,1921.2,USD/t
2025,1,Tin,29603.9,USD/t
2025,1,Molybdenum,45966.3,USD/t
2025,1,"Manganese, 36%",170.2,USD/t
2025,1,"Cobalt, 99%",47035.2,USD/t
2025,1,"Cobalt, 65%",19702.3,USD/t
2025,1,"Iron ore, 56%",75.6,USD/t
2025,1,"Iron concentrate, 60%",91.3,USD/t
2025,1,"Fluorspar, concentrate FF-97",472.5,USD/t
2025,1,"Fluorspar, ore FK-85",372.5,USD/t
2025,1,Uranium,152.7,USD/kg
2025,2,Gold,2894.7,USD/oz
2025,2,Silver,32.2,USD/oz
2025,2,Copper,9328.7,USD/t
2025,2,Zinc,2799.2,USD/t
2025,2,Lead,1954.7,USD/t
2025,2,Tin,31860.5,USD/t
2025,2,Molybdenum,45517.7,USD/t
2025,2,"Manganese, 36%",192.3,USD/t
2025,2,"Cobalt, 99%",47200.0,USD/t
2025,2,"Cobalt, 65%",19766.3,USD/t
2025,2,"Iron ore, 56%",79.6,USD/t
2025,2,"Iron concentrate, 60%",96.3,USD/t
2025,2,"Fluorspar, concentrate FF-97",472.5,USD/t
2025,2,"Fluorspar, ore FK-85",372.5,USD/t
2025,2,Uranium,143.4,USD/kg
2025,3,Gold,2983.3,USD/oz
2025,3,Silver,33.2,USD/oz
2025,3,Copper,9730.6,USD/t
2025,3,Zinc,2887.4,USD/t
2025,3,Lead,2033.1,USD/t
2025,3,Tin,34012.5,USD/t
2025,3,Molybdenum,44654.1,USD/t
2025,3,"Manganese, 36%",187.8,USD/t
2025,3,"Cobalt, 99%",47200.0,USD/t
2025,3,"Cobalt, 65%",19357.7,USD/t
2025,3,"Iron ore, 56%",71.8,USD/t
2025,3,"Iron concentrate, 60%",89.2,USD/t
2025,3,"Fluorspar, concentrate FF-97",472.5,USD/t
2025,3,"Fluorspar, ore FK-85",372.5,USD/t
2025,3,Uranium,141.6,USD/kg
2025,4,Gold,3207.5,USD/oz
2025,4,Silver,32.3,USD/oz
2025,4,Copper,9191.5,USD/t
2025,4,Zinc,2624.8,USD/t
2025,4,Lead,1908.5,USD/t
2025,4,Tin,32670.9,USD/t
2025,4,Molybdenum,43891.8,USD/t
2025,4,"Manganese, 36%",169.2,USD/t
2025,4,"Cobalt, 99%",47750.0,USD/t
2025,4,"Cobalt, 65%",19888.6,USD/t
2025,4,"Iron ore, 56%",70.0,USD/t
