year,month,province,ai92_price,ai92_euro5_price,ai95_price,diesel_price,diesel_euro5_price
2021,1,Arkhangai,1420.0,,,2140.0,2100.0
2021,1,Bayan-Ulgii,1450.0,,,,1600.0
2021,1,Bayankhongor,1370.0,,,,1950.0
2021,1,Bulgan,1360.0,,,2090.0,2020.0
2021,1,Govi-Altai,1510.0,,,,1970.0
2021,1,Govisumber,1440.0,,,2050.0,1990.0
2021,1,Dornogovi,1410.0,,,2050.0,2100.0
2021,1,Dornod,1520.0,,,2100.0,2000.0
2021,1,Dundgovi,1480.0,,,2060.0,2130.0
2021,1,Zavkhan,1550.0,,,,1950.0
2021,1,Orkhon,1360.0,,,2090.0,1960.0
2021,1,Uvurkhangai,1380.0,,,2140.0,1900.0
2021,1,Umnugovi,1460.0,,,2100.0,2150.0
2021,1,Sukhbaatar,1500.0,,,2150.0,2220.0
2021,1,Selenge,1400.0,,,2030.0,2090.0
2021,1,Tuv,1390.0,,,2020.0,1900.0
2021,1,Uvs,1520.0,,,,1950.0
2021,1,Ulaanbaatar,,,,,
2021,1,Khovd,1550.0,,,,1800.0
2021,1,Khuvsgul,1400.0,,,2100.0,1900.0
2021,1,Khentii,1450.0,,,2050.0,1850.0
2021,2,Arkhangai,1450.0,1530.0,,,
2021,2,Bayan-Ulgii,1450.0,1520.0,,,
2021,2,Bayankhongor,1460.0,1560.0,,,
2021,2,Bulgan,1440.0,1490.0,,,
2021,2,Govi-Altai,1560.0,1630.0,,,
2021,2,Govisumber,1440.0,1510.0,,,
2021,2,Dornogovi,1430.0,1550.0,,,
2021,2,Dornod,1520.0,1560.0,,,
2021,2,Dundgovi,1500.0,1560.0,,,
2021,2,Zavkhan,1620.0,1720.0,,,
2021,2,Orkhon,1440.0,1490.0,,,
2021,2,Uvurkhangai,1450.0,1500.0,,,
2021,2,Umnugovi,1580.0,1580.0,,,
2021,2,Sukhbaatar,1550.0,1600.0,,,
2021,2,Selenge,1400.0,1470.0,,,
2021,2,Tuv,1430.0,1470.0,,,
2021,2,Uvs,1520.0,1630.0,,,
2021,2,Ulaanbaatar,,,,,
2021,2,Khovd,1550.0,1650.0,,,
2021,2,Khuvsgul,1510.0,1560.0,,,
2021,2,Khentii,1470.0,1550.0,,,
2021,3,Arkhangai,1450.0,,,2240.0,2200.0
2021,3,Bayan-Ulgii,1450.0,,,,1600.0
2021,3,Bayankhongor,1460.0,,,,2100.0
2021,3,Bulgan,1440.0,,,2190.0,2180.0
2021,3,Govi-Altai,1560.0,,,,2170.0
2021,3,Govisumber,1440.0,,,2150.0,2090.0
2021,3,Dornogovi,1430.0,,,2150.0,2100.0
2021,3,Dornod,1520.0,,,2200.0,2100.0
2021,3,Dundgovi,1500.0,,,2160.0,2230.0
2021,3,Zavkhan,1620.0,,,,2150.0
2021,3,Orkhon,1440.0,,,2190.0,2160.0
2021,3,Uvurkhangai,1450.0,,,2240.0,2100.0
2021,3,Umnugovi,1580.0,,,2200.0,2250.0
2021,3,Sukhbaatar,1550.0,,,2250.0,2320.0
2021,3,Selenge,1400.0,,,2130.0,2190.0
2021,3,Tuv,1430.0,,,2120.0,2090.0
2021,3,Uvs,1520.0,,,,2050.0
2021,3,Ulaanbaatar,,,,,2200.0
2021,3,Khovd,1550.0,,,,1900.0
2021,3,Khuvsgul,1510.0,,,2200.0,2100.0
2021,3,Khentii,1470.0,,,2150.0,2100.0
