сар,үзүүлэлт,утга
2021-01,Архангай | АИ-92,1420.0
2021-01,Архангай | Дизель,2140.0
2021-01,Архангай | Дизель Евро-5,2100.0
2021-01,Баян-Өлгий | АИ-92,1450.0
2021-01,Баян-Өлгий | Дизель Евро-5,1600.0
2021-01,Баянхонгор | АИ-92,1370.0
2021-01,Баянхонгор | Дизель Евро-5,1950.0
2021-01,Булган | АИ-92,1360.0
2021-01,Булган | Дизель,2090.0
2021-01,Булган | Дизель Евро-5,2020.0
2021-01,Говь-Алтай | АИ-92,1510.0
2021-01,Говь-Алтай | Дизель Евро-5,1970.0
2021-01,Говьсүмбэр | АИ-92,1440.0
2021-01,Говьсүмбэр | Дизель,2050.0
2021-01,Говьсүмбэр | Дизель Евро-5,1990.0
2021-01,Дорноговь | АИ-92,1410.0
2021-01,Дорноговь | Дизель,2050.0
2021-01,Дорноговь | Дизель Евро-5,2100.0
2021-01,Дорнод | АИ-92,1520.0
2021-01,Дорнод | Дизель,2100.0
2021-01,Дорнод | Дизель Евро-5,2000.0
2021-01,Дундговь | АИ-92,1480.0
2021-01,Дундговь | Дизель,2060.0
2021-01,Дундговь | Дизель Евро-5,2130.0
2021-01,Завхан | АИ-92,1550.0
2021-01,Завхан | Дизель Евро-5,1950.0
2021-01,Орхон | АИ-92,1360.0
2021-01,Орхон | Дизель,2090.0
2021-01,Орхон | Дизель Евро-5,1960.0
2021-01,Сэлэнгэ | АИ-92,1400.0
2021-01,Сэлэнгэ | Дизель,2030.0
2021-01,Сэлэнгэ | Дизель Евро-5,2090.0
2021-01,Сүхбаатар | АИ-92,1500.0
2021-01,Сүхбаатар | Дизель,2150.0
2021-01,Сүхбаатар | Дизель Евро-5,2220.0
2021-01,Төв | АИ-92,1390.0
2021-01,Төв | Дизель,2020.0
2021-01,Төв | Дизель Евро-5,1900.0
2021-01,Увс | АИ-92,1520.0
2021-01,Увс | Дизель Евро-5,1950.0
2021-01,Ховд | АИ-92,1550.0
2021-01,Ховд | Дизель Евро-5,1800.0
2021-01,Хэнтий | АИ-92,1450.0
2021-01,Хэнтий | Дизель,2050.0
2021-01,Хэнтий | Дизель Евро-5,1850.0
2021-01,Хөвсгөл | АИ-92,1400.0
2021-01,Хөвсгөл | Дизель,2100.0
2021-01,Хөвсгөл | Дизель Евро-5,1900.0
2021-01,Өвөрхангай | АИ-92,1380.0
2021-01,Өвөрхангай | Дизель,2140.0
2021-01,Өвөрхангай | Дизель Евро-5,1900.0
2021-01,Өмнөговь | АИ-92,1460.0
2021-01,Өмнөговь | Дизель,2100.0
2021-01,Өмнөговь | Дизель Евро-5,2150.0
2021-02,Архангай | АИ-92,1450.0
2021-02,Архангай | АИ-92 Евро-5,1530.0
2021-02,Баян-Өлгий | АИ-92,1450.0
2021-02,Баян-Өлгий | АИ-92 Евро-5,1520.0
2021-02,Баянхонгор | АИ-92,1460.0
2021-02,Баянхонгор | АИ-92 Евро-5,1560.0
2021-02,Булган | АИ-92,1440.0
2021-02,Булган | АИ-92 Евро-5,1490.0
2021-02,Говь-Алтай | АИ-92,1560.0
2021-02,Говь-Алтай | АИ-92 Евро-5,1630.0
2021-02,Говьсүмбэр | АИ-92,1440.0
2021-02,Говьсүмбэр | АИ-92 Евро-5,1510.0
2021-02,Дорноговь | АИ-92,1430.0
2021-02,Дорноговь | АИ-92 Евро-5,1550.0
2021-02,Дорнод | АИ-92,1520.0
2021-02,Дорнод | АИ-92 Евро-5,1560.0
2021-02,Дундговь | АИ-92,1500.0
2021-02,Дундговь | АИ-92 Евро-5,1560.0
2021-02,Завхан | АИ-92,1620.0
2021-02,Завхан | АИ-92 Евро-5,1720.0
2021-02,Орхон | АИ-92,1440.0
2021-02,Орхон | АИ-92 Евро-5,1490.0
2021-02,Сэлэнгэ | АИ-92,1400.0
2021-02,Сэлэнгэ | АИ-92 Евро-5,1470.0
2021-02,Сүхбаатар | АИ-92,1550.0
2021-02,Сүхбаатар | АИ-92 Евро-5,1600.0
2021-02,Төв | АИ-92,1430.0
2021-02,Төв | АИ-92 Евро-5,1470.0
2021-02,Увс | АИ-92,1520.0
2021-02,Увс | АИ-92 Евро-5,1630.0
2021-02,Ховд | АИ-92,1550.0
2021-02,Ховд | АИ-92 Евро-5,1650.0
2021-02,Хэнтий | АИ-92,1470.0
2021-02,Хэнтий | АИ-92 Евро-5,1550.0
2021-02,Хөвсгөл | АИ-92,1510.0
2021-02,Хөвсгөл | АИ-92 Евро-5,1560.0
2021-02,Өвөрхангай | АИ-92,1450.0
2021-02,Өвөрхангай | АИ-92 Евро-5,1500.0
2021-02,Өмнөговь | АИ-92,1580.0
2021-02,Өмнөговь | АИ-92 Евро-5,1580.0
2021-03,Архангай | АИ-92,1450.0
2021-03,Архангай | Дизель,2240.0
2021-03,Архангай | Дизель Евро-5,2200.0
2021-03,Баян-Өлгий | АИ-92,1450.0
2021-03,Баян-Өлгий | Дизель Евро-5,1600.0
2021-03,Баянхонгор | АИ-92,1460.0
2021-03,Баянхонгор | Дизель Евро-5,2100.0
2021-03,Булган | АИ-92,1440.0
2021-03,Булган | Дизель,2190.0
2021-03,Булган | Дизель Евро-5,2180.0
2021-03,Говь-Алтай | АИ-92,1560.0
2021-03,Говь-Алтай | Дизель Евро-5,2170.0
2021-03,Говьсүмбэр | АИ-92,1440.0
2021-03,Говьсүмбэр | Дизель,2150.0
2021-03,Говьсүмбэр | Дизель Евро-5,2090.0
2021-03,Дорноговь | АИ-92,1430.0
2021-03,Дорноговь | Дизель,2150.0
2021-03,Дорноговь | Дизель Евро-5,2100.0
2021-03,Дорнод | АИ-92,1520.0
2021-03,Дорнод | Дизель,2200.0
2021-03,Дорнод | Дизель Евро-5,2100.0
2021-03,Дундговь | АИ-92,1500.0
2021-03,Дундговь | Дизель,2160.0
2021-03,Дундговь | Дизель Евро-5,2230.0
2021-03,Завхан | АИ-92,1620.0
2021-03,Завхан | Дизель Евро-5,2150.0
2021-03,Орхон | АИ-92,1440.0
2021-03,Орхон | Дизель,2190.0
2021-03,Орхон | Дизель Евро-5,2160.0
2021-03,Сэлэнгэ | АИ-92,1400.0
2021-03,Сэлэнгэ | Дизель,2130.0
2021-03,Сэлэнгэ | Дизель Евро-5,2190.0
2021-03,Сүхбаатар | АИ-92,1550.0
2021-03,Сүхбаатар | Дизель,2250.0
2021-03,Сүхбаатар | Дизель Евро-5,2320.0
2021-03,Төв | АИ-92,1430.0
2021-03,Төв | Дизель,2120.0
2021-03,Төв | Дизель Евро-5,2090.0
2021-03,Увс | АИ-92,1520.0
2021-03,Увс | Дизель Евро-5,2050.0
2021-03,Улаанбаатар | Дизель Евро-5,2200.0
