он,сар,province_mn,бензин_а80_төг,бензин_аи92_төг,бензин_аи95_төг,дизель_төг
2021,1,Архангай,1450.0,1530.0,2140.0,2100.0
2021,1,Баян-Өлгий,1450.0,1520.0,,1600.0
2021,1,Баянхонгор,1460.0,1560.0,,2000.0
2021,1,Булган,1440.0,1490.0,2090.0,2080.0
2021,1,Дархан,1400.0,1470.0,2020.0,2060.0
2021,1,Дорнод,1520.0,1560.0,2100.0,2000.0
2021,1,Дорноговь,1430.0,1550.0,2050.0,2100.0
2021,1,Дундговь,1500.0,1560.0,2060.0,2130.0
2021,1,Говь-Aлтай,1560.0,1630.0,,2070.0
2021,1,Говьсүмбэр,1440.0,1510.0,2050.0,2090.0
2021,1,Хэнтий,1470.0,1550.0,2050.0,2000.0
2021,1,Ховд,1550.0,1650.0,,1800.0
2021,1,Хөвсгөл,1450.0,1560.0,2100.0,2000.0
2021,1,Орхон,1420.0,1490.0,2090.0,2060.0
2021,1,Сэлэнгэ,1400.0,1470.0,2030.0,2090.0
2021,1,Сүхбаатар,1500.0,1600.0,2150.0,2220.0
2021,1,Төв,1430.0,1470.0,2020.0,1990.0
2021,1,Өмнөговь,1530.0,1580.0,2100.0,2150.0
2021,1,Увс,1520.0,1630.0,,1950.0
2021,1,Өвөрхангай,1450.0,1500.0,2140.0,2000.0
2021,1,Завхан,1620.0,1720.0,,2050.0
2021,2,Архангай,1450.0,1530.0,2240.0,2200.0
2021,2,Баян-Өлгий,1450.0,1520.0,,1600.0
2021,2,Баянхонгор,1460.0,1560.0,2100.0,
2021,2,Булган,1440.0,1490.0,2190.0,2180.0
2021,2,Дархан,1400.0,1470.0,2120.0,2160.0
2021,2,Дорнод,1520.0,1560.0,2200.0,2100.0
2021,2,Дорноговь,1430.0,1550.0,2100.0,2100.0
2021,2,Дундговь,1500.0,1560.0,2160.0,2230.0
2021,2,Говь-Aлтай,1560.0,1630.0,,2170.0
2021,2,Говьсүмбэр,1440.0,1510.0,2050.0,2090.0
2021,2,Хэнтий,1470.0,1550.0,2150.0,2100.0
2021,2,Ховд,1550.0,1650.0,,1900.0
2021,2,Хөвсгөл,1510.0,1560.0,2200.0,2100.0
2021,2,Орхон,1440.0,1490.0,2190.0,2160.0
2021,2,Сэлэнгэ,1400.0,1470.0,2130.0,2190.0
2021,2,Сүхбаатар,1550.0,1600.0,2250.0,2320.0
2021,2,Төв,1430.0,1470.0,2120.0,2090.0
2021,2,Өмнөговь,1580.0,1580.0,2200.0,2250.0
2021,2,Увс,1520.0,1630.0,,2050.0
2021,2,Өвөрхангай,1450.0,1530.0,2240.0,2100.0
2021,2,Завхан,1620.0,1720.0,,2150.0
2021,3,Архангай,1500.0,1530.0,2240.0,2200.0
2021,3,Баян-Өлгий,1530.0,1600.0,,1700.0
2021,3,Баянхонгор,1530.0,1560.0,,2100.0
2021,3,Булган,1460.0,1490.0,2190.0,2180.0
2021,3,Дархан,1400.0,1470.0,2120.0,2160.0
2021,3,Дорнод,1550.0,1580.0,2200.0,2100.0
2021,3,Дорноговь,1520.0,1550.0,2150.0,2200.0
2021,3,Дундговь,1530.0,1560.0,2160.0,2230.0
2021,3,Говь-Aлтай,1600.0,1630.0,,2170.0
2021,3,Говьсүмбэр,1480.0,1510.0,2150.0,2190.0
2021,3,Хэнтий,1520.0,1550.0,2150.0,2100.0
2021,3,Ховд,1550.0,1650.0,,1900.0
2021,3,Хөвсгөл,1530.0,1560.0,2200.0,2100.0
2021,3,Орхон,1420.0,1490.0,2190.0,2160.0
2021,3,Сэлэнгэ,1440.0,1470.0,2130.0,2190.0
2021,3,Сүхбаатар,1570.0,1600.0,2250.0,2320.0
2021,3,Төв,1430.0,1470.0,2120.0,2090.0
2021,3,Өмнөговь,1550.0,1580.0,2200.0,2200.0
2021,3,Увс,1520.0,1630.0,,1950.0
2021,3,Өвөрхангай,1470.0,1500.0,2240.0,2100.0
2021,3,Завхан,1690.0,1720.0,,2150.0
2021,4,Архангай,1500.0,1530.0,2240.0,2200.0
2021,4,Баян-Өлгий,1530.0,1600.0,,1700.0
2021,4,Баянхонгор,1530.0,1560.0,2100.0,
2021,4,Булган,1460.0,1490.0,2190.0,2180.0
2021,4,Дархан,1400.0,1470.0,2120.0,2160.0
2021,4,Дорнод,1550.0,1580.0,2200.0,2100.0
2021,4,Дорноговь,1530.0,1550.0,2150.0,2200.0
2021,4,Дундговь,1530.0,1560.0,2160.0,2230.0
2021,4,Говь-Aлтай,1600.0,1630.0,,2170.0
2021,4,Говьсүмбэр,1480.0,1510.0,2150.0,2190.0
2021,4,Хэнтий,1520.0,1550.0,2150.0,2100.0
2021,4,Ховд,1620.0,1650.0,,1900.0
2021,4,Хөвсгөл,1530.0,1560.0,2200.0,2100.0
2021,4,Орхон,1460.0,1490.0,2190.0,2160.0
2021,4,Сэлэнгэ,1440.0,1470.0,2130.0,2190.0
2021,4,Сүхбаатар,1570.0,1600.0,2250.0,2320.0
2021,4,Төв,1430.0,1470.0,2120.0,2090.0
2021,4,Өмнөговь,1550.0,1580.0,2200.0,2200.0
2021,4,Увс,1520.0,1630.0,,1950.0
2021,4,Өвөрхангай,1470.0,1500.0,2240.0,2100.0
2021,4,Завхан,1690.0,1720.0,,2150.0
2021,5,Архангай,1500.0,1530.0,2240.0,2300.0
2021,5,Баянхонгор,1530.0,1560.0,,2200.0
2021,5,Булган,1460.0,1490.0,2190.0,2260.0
2021,5,Дорнод,1550.0,1580.0,2200.0,2200.0
2021,5,Дорноговь,1530.0,1550.0,2150.0,2300.0
2021,5,Дундговь,1530.0,1560.0,2160.0,2330.0
2021,5,Хэнтий,1520.0,1550.0,2150.0,2200.0
2021,5,Ховд,1620.0,1650.0,,2000.0
2021,5,Хөвсгөл,1530.0,1560.0,2200.0,2200.0
2021,5,Сүхбаатар,1570.0,1600.0,2250.0,2420.0
2021,5,Төв,1430.0,1470.0,2120.0,2190.0
2021,5,Өмнөговь,1550.0,1580.0,2200.0,2300.0
2021,5,Увс,1600.0,1630.0,,2050.0
2021,5,Өвөрхангай,1470.0,1500.0,2240.0,2200.0
2021,5,Завхан,1690.0,1720.0,,2250.0
2021,6,Архангай,1500.0,1530.0,2390.0,2300.0
2021,6,Баян-Өлгий,1600.0,1630.0,,2000.0
2021,6,Баянхонгор,1530.0,1560.0,,2200.0
2021,6,Булган,1460.0,1490.0,2340.0,2260.0
2021,6,Дархан,1400.0,1470.0,2270.0,2260.0
2021,6,Дорнод,1550.0,1580.0,2350.0,2200.0
2021,6,Дорноговь,1530.0,1550.0,2300.0,2300.0
2021,6,Дундговь,1530.0,1560.0,2310.0,2330.0
2021,6,Говь-Aлтай,1600.0,1630.0,,2270.0
2021,6,Говьсүмбэр,1480.0,1510.0,2300.0,2290.0
2021,6,Хэнтий,1520.0,1550.0,2300.0,2300.0
2021,6,Ховд,1620.0,1650.0,,2200.0
2021,6,Хөвсгөл,1530.0,1560.0,2350.0,2200.0
2021,6,Орхон,1460.0,1490.0,2340.0,2260.0
2021,6,Сэлэнгэ,1440.0,1470.0,2270.0,2290.0
2021,6,Сүхбаатар,1570.0,1600.0,2400.0,2420.0
2021,6,Төв,1430.0,1470.0,2270.0,2190.0
2021,6,Өмнөговь,1550.0,1580.0,2350.0,2300.0
2021,6,Увс,1600.0,1630.0,,2200.0
2021,6,Өвөрхангай,1470.0,1500.0,2390.0,2200.0
2021,6,Завхан,1690.0,1720.0,,2250.0
2021,7,Архангай,1800.0,1830.0,2490.0,2400.0
2021,7,Баян-Өлгий,1900.0,1930.0,,2100.0
2021,7,Баянхонгор,1830.0,1860.0,,2300.0
2021,7,Булган,1760.0,1790.0,2440.0,2360.0
2021,7,Дархан,1720.0,1770.0,2370.0,2360.0
2021,7,Дорнод,1820.0,1860.0,2450.0,2300.0
2021,7,Дорноговь,1820.0,1850.0,2400.0,2400.0
2021,7,Дундговь,1830.0,1860.0,2410.0,2430.0
2021,7,Говь-Aлтай,1900.0,1930.0,,2370.0
2021,7,Говьсүмбэр,1780.0,1810.0,2400.0,2390.0
2021,7,Хэнтий,1850.0,1880.0,2450.0,2400.0
2021,7,Ховд,1920.0,1950.0,,2300.0
2021,7,Хөвсгөл,1830.0,1860.0,2450.0,2300.0
2021,7,Орхон,1720.0,1790.0,2440.0,2360.0
2021,7,Сэлэнгэ,1740.0,1770.0,2380.0,2390.0
2021,7,Сүхбаатар,1870.0,1900.0,2500.0,2520.0
2021,7,Өмнөговь,1850.0,1880.0,2450.0,2400.0
2021,7,Увс,1900.0,1930.0,,2300.0
2021,7,Өвөрхангай,1770.0,1800.0,2490.0,2300.0
2021,7,Завхан,1990.0,2020.0,,2350.0
2021,8,Архангай,2100.0,2130.0,2590.0,2500.0
2021,8,Баян-Өлгий,2200.0,2230.0,,2250.0
2021,8,Баянхонгор,2130.0,2230.0,1860.0,
2021,8,Булган,2060.0,2090.0,2540.0,2460.0
2021,8,Дархан,2020.0,2070.0,2470.0,2460.0
2021,8,Дорнод,2150.0,2160.0,2550.0,2400.0
2021,8,Дорноговь,2120.0,2150.0,2500.0,2500.0
2021,8,Дундговь,2130.0,2160.0,2510.0,2530.0
2021,8,Говь-Aлтай,2200.0,2230.0,,2470.0
2021,8,Говьсүмбэр,2080.0,2110.0,2500.0,2490.0
2021,8,Ховд,2220.0,2250.0,,2400.0
2021,8,Хөвсгөл,2130.0,2160.0,2550.0,2450.0
2021,8,Орхон,2040.0,2090.0,2540.0,2460.0
2021,8,Сэлэнгэ,2040.0,2070.0,2480.0,2490.0
2021,8,Сүхбаатар,2170.0,2200.0,2600.0,2620.0
2021,8,Төв,2040.0,2070.0,2470.0,2390.0
2021,8,Өмнөговь,2150.0,2180.0,2550.0,2500.0
2021,8,Увс,2200.0,2230.0,,2400.0
2021,8,Өвөрхангай,2070.0,2100.0,2590.0,2400.0
2021,8,Завхан,2290.0,2320.0,,2450.0
2021,9,Архангай,2100.0,2130.0,2690.0,2500.0
2021,9,Баян-Өлгий,2300.0,2330.0,,2250.0
2021,9,Баянхонгор,2130.0,2160.0,,2450.0
2021,9,Булган,2060.0,2090.0,2640.0,2460.0
2021,9,Дархан,2020.0,2070.0,2570.0,2460.0
2021,9,Дорнод,2150.0,2160.0,2650.0,2400.0
2021,9,Дорноговь,2120.0,2150.0,2600.0,2500.0
