year,month,province,total_count,total_area_kha,extraction_count,extraction_area_kha,exploration_count,exploration_area_kha
2021,1,Arkhangai,23,17.8,18,9.3,5,8.5
2021,1,Bayan-Ulgii,55,151.7,28,15.2,27,136.6
2021,1,Bayankhongor,127,307.0,86,119.8,41,187.2
2021,1,Bulgan,100,87.8,77,38.9,23,48.9
2021,1,Darkhan-Uul,66,8.7,61,7.6,5,1.1
2021,1,Dornod,150,537.5,73,63.7,77,473.8
2021,1,Dornogovi,329,1066.6,195,250.1,134,816.5
2021,1,Dundgovi,196,621.2,110,174.8,86,446.4
2021,1,Govi-Altai,132,582.2,55,92.2,77,489.9
2021,1,Govisumber,16,44.6,13,38.9,3,5.8
2021,1,Khentii,212,302.6,122,53.9,90,248.7
2021,1,Khovd,94,211.2,37,17.2,57,194.0
2021,1,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,1,Orkhon,8,11.0,8,11.0,0,0.0
2021,1,Selenge,179,94.8,144,45.1,35,49.6
2021,1,Sukhbaatar,92,242.3,72,68.2,20,174.1
2021,1,Tuv,378,308.7,305,155.7,73,153.0
2021,1,Ulaanbaatar,158,14.1,151,13.1,7,1.0
2021,1,Umnugovi,158,905.0,99,443.4,59,461.5
2021,1,Uvs,109,287.8,42,19.9,67,267.9
2021,1,Uvurkhangai,44,109.7,28,16.1,16,93.6
2021,1,Zavkhan,48,222.8,10,17.0,38,205.8
2021,2,Arkhangai,23,17.8,18,9.3,5,8.5
2021,2,Bayan-Ulgii,55,151.7,28,15.2,27,136.6
2021,2,Bayankhongor,126,305.3,86,119.8,40,185.5
2021,2,Bulgan,100,87.8,77,38.9,23,48.9
2021,2,Darkhan-Uul,66,8.7,61,7.6,5,1.1
2021,2,Dornod,150,534.5,73,63.7,77,470.9
2021,2,Dornogovi,330,1069.6,195,250.1,135,819.5
2021,2,Dundgovi,195,610.8,110,174.8,85,436.0
2021,2,Govi-Altai,132,582.2,55,92.2,77,489.9
2021,2,Govisumber,16,44.6,13,38.9,3,5.8
2021,2,Khentii,212,301.6,122,53.9,90,247.7
2021,2,Khovd,95,217.5,37,17.2,58,200.3
2021,2,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,2,Orkhon,8,11.0,8,11.0,0,0.0
2021,2,Selenge,178,90.2,144,45.1,34,45.1
2021,2,Sukhbaatar,92,242.3,72,68.2,20,174.1
2021,2,Tuv,378,316.5,305,155.7,73,160.8
2021,2,Ulaanbaatar,157,14.0,151,13.1,6,0.9
2021,2,Umnugovi,160,916.2,101,454.7,59,461.5
2021,2,Uvs,109,287.8,42,19.9,67,267.9
2021,2,Uvurkhangai,42,97.9,28,16.1,14,81.9
2021,2,Zavkhan,48,222.8,10,17.0,38,205.8
2021,3,Arkhangai,23,17.7,18,9.3,5,8.4
2021,3,Bayan-Ulgii,55,151.7,28,15.2,27,136.6
2021,3,Bayankhongor,129,309.9,87,121.6,42,188.4
2021,3,Bulgan,99,87.8,76,38.9,23,48.9
2021,3,Darkhan-Uul,67,9.2,61,7.6,6,1.6
2021,3,Dornod,149,528.5,73,63.7,76,464.8
2021,3,Dornogovi,328,1042.2,197,251.3,131,790.9
2021,3,Dundgovi,194,598.7,112,175.5,82,423.3
2021,3,Govi-Altai,132,581.4,55,92.2,77,489.2
2021,3,Govisumber,16,44.6,13,38.9,3,5.8
2021,3,Khentii,211,299.3,123,54.1,88,245.2
2021,3,Khovd,92,205.9,37,17.2,55,188.7
2021,3,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,3,Orkhon,8,11.0,8,11.0,0,0.0
2021,3,Selenge,174,87.3,140,42.2,34,45.1
2021,3,Sukhbaatar,90,237.0,72,68.2,18,168.8
2021,3,Tuv,379,339.2,305,155.7,74,183.5
2021,3,Ulaanbaatar,156,14.0,150,13.1,6,0.9
2021,3,Umnugovi,161,924.5,103,471.5,58,453.0
2021,3,Uvs,109,287.8,42,19.9,67,267.9
2021,3,Uvurkhangai,42,97.9,28,16.1,14,81.9
2021,3,Zavkhan,47,221.6,10,17.0,37,204.6
2021,4,Arkhangai,23,17.7,18,9.3,5,8.4
2021,4,Bayan-Ulgii,56,152.2,28,15.2,28,137.0
2021,4,Bayankhongor,131,335.8,87,121.6,44,214.3
2021,4,Bulgan,99,87.8,76,38.9,23,48.9
2021,4,Darkhan-Uul,66,9.1,61,7.6,5,1.5
2021,4,Dornod,151,534.5,73,63.7,78,470.9
2021,4,Dornogovi,331,1046.3,200,257.1,131,789.3
2021,4,Dundgovi,193,593.4,112,175.5,81,417.9
2021,4,Govi-Altai,134,584.6,55,92.2,79,492.4
2021,4,Govisumber,16,44.6,13,38.9,3,5.8
2021,4,Khentii,212,299.3,124,54.1,88,245.2
2021,4,Khovd,94,220.7,37,17.2,57,203.6
2021,4,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,4,Orkhon,8,11.0,8,11.0,0,0.0
2021,4,Selenge,174,87.3,140,42.2,34,45.1
2021,4,Sukhbaatar,90,237.0,72,68.2,18,168.8
2021,4,Tuv,383,340.3,306,158.2,77,182.1
2021,4,Ulaanbaatar,156,14.0,150,13.1,6,0.9
2021,4,Umnugovi,161,924.5,103,471.5,58,453.0
2021,4,Uvs,109,287.8,42,19.9,67,267.9
2021,4,Uvurkhangai,42,97.9,28,16.1,14,81.9
2021,4,Zavkhan,47,221.6,10,17.0,37,204.6
2021,5,Arkhangai,22,17.7,17,9.3,5,8.4
2021,5,Bayan-Ulgii,54,151.4,29,16.4,25,135.0
2021,5,Bayankhongor,132,332.9,89,122.0,43,210.8
2021,5,Bulgan,100,88.3,76,38.9,24,49.3
2021,5,Darkhan-Uul,66,9.1,61,7.6,5,1.5
2021,5,Dornod,153,539.4,73,63.7,80,475.7
2021,5,Dornogovi,329,1062.4,201,257.2,128,805.1
2021,5,Dundgovi,191,592.6,112,175.5,79,417.2
2021,5,Govi-Altai,134,581.9,55,92.2,79,489.7
2021,5,Govisumber,16,44.6,13,38.9,3,5.8
2021,5,Khentii,212,299.3,125,54.3,87,245.0
2021,5,Khovd,90,217.2,37,17.2,53,200.0
2021,5,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,5,Orkhon,8,11.0,8,11.0,0,0.0
2021,5,Selenge,172,84.7,140,42.2,32,42.5
2021,5,Sukhbaatar,90,237.0,72,68.2,18,168.8
2021,5,Tuv,381,339.2,306,158.2,75,181.0
2021,5,Ulaanbaatar,156,14.0,150,13.1,6,0.9
2021,5,Umnugovi,161,925.0,104,479.7,57,445.3
2021,5,Uvs,108,285.3,42,19.9,66,265.5
2021,5,Uvurkhangai,41,97.2,27,15.3,14,81.9
2021,5,Zavkhan,46,178.9,10,17.0,36,162.0
2021,6,Arkhangai,26,24.5,18,10.7,8,13.8
2021,6,Bayan-Ulgii,54,151.4,29,16.4,25,135.0
2021,6,Bayankhongor,137,345.4,91,124.7,46,220.7
2021,6,Bulgan,103,88.7,78,41.6,25,47.1
2021,6,Darkhan-Uul,66,9.1,61,7.6,5,1.5
2021,6,Dornod,154,540.5,73,63.7,81,476.9
2021,6,Dornogovi,333,1069.9,203,261.9,130,808.0
2021,6,Dundgovi,192,592.6,113,175.6,79,417.1
2021,6,Govi-Altai,134,581.9,55,92.2,79,489.7
2021,6,Govisumber,16,44.6,13,38.9,3,5.8
2021,6,Khentii,212,299.3,125,54.3,87,245.0
2021,6,Khovd,89,217.2,37,17.2,52,200.0
2021,6,Khuvsgul,22,10.6,21,10.3,1,0.3
2021,6,Orkhon,8,11.0,8,11.0,0,0.0
2021,6,Selenge,172,84.7,140,42.2,32,42.5
2021,6,Sukhbaatar,91,248.0,72,68.2,19,179.8
2021,6,Tuv,382,349.5,307,158.5,75,191.0
2021,6,Ulaanbaatar,156,14.0,150,13.1,6,0.9
2021,6,Umnugovi,159,926.4,104,479.7,55,446.6
2021,6,Uvs,107,283.6,42,19.9,65,263.7
2021,6,Uvurkhangai,43,101.2,27,15.3,16,85.9
2021,6,Zavkhan,46,166.2,12,18.6,34,147.6
2021,7,Arkhangai,27,25.2,19,11.5,8,13.8
2021,7,Bayan-Ulgii,57,154.7,29,16.4,28,138.3
