сар,аймаг_үзүүлэлт,утга
2021-01,Архангай — Ашиглалтын зөвшөөрөл (тоо),18.0
2021-01,Архангай — Ашиглалтын талбай (мян.га),9.3
2021-01,Архангай — Нийт зөвшөөрөгдсөн талбай (мян.га),17.8
2021-01,Архангай — Нийт зөвшөөрөл (тоо),23.0
2021-01,Архангай — Хайгуулын зөвшөөрөл (тоо),5.0
2021-01,Архангай — Хайгуулын талбай (мян.га),8.5
2021-01,Баян-Өлгий — Ашиглалтын зөвшөөрөл (тоо),28.0
2021-01,Баян-Өлгий — Ашиглалтын талбай (мян.га),15.2
2021-01,Баян-Өлгий — Нийт зөвшөөрөгдсөн талбай (мян.га),151.7
2021-01,Баян-Өлгий — Нийт зөвшөөрөл (тоо),55.0
2021-01,Баян-Өлгий — Хайгуулын зөвшөөрөл (тоо),27.0
2021-01,Баян-Өлгий — Хайгуулын талбай (мян.га),136.6
2021-01,Баянхонгор — Ашиглалтын зөвшөөрөл (тоо),86.0
2021-01,Баянхонгор — Ашиглалтын талбай (мян.га),119.8
2021-01,Баянхонгор — Нийт зөвшөөрөгдсөн талбай (мян.га),307.0
2021-01,Баянхонгор — Нийт зөвшөөрөл (тоо),127.0
2021-01,Баянхонгор — Хайгуулын зөвшөөрөл (тоо),41.0
2021-01,Баянхонгор — Хайгуулын талбай (мян.га),187.2
2021-01,Булган — Ашиглалтын зөвшөөрөл (тоо),77.0
2021-01,Булган — Ашиглалтын талбай (мян.га),38.9
2021-01,Булган — Нийт зөвшөөрөгдсөн талбай (мян.га),87.8
2021-01,Булган — Нийт зөвшөөрөл (тоо),100.0
2021-01,Булган — Хайгуулын зөвшөөрөл (тоо),23.0
2021-01,Булган — Хайгуулын талбай (мян.га),48.9
2021-01,Говь-Алтай — Ашиглалтын зөвшөөрөл (тоо),55.0
2021-01,Говь-Алтай — Ашиглалтын талбай (мян.га),92.2
2021-01,Говь-Алтай — Нийт зөвшөөрөгдсөн талбай (мян.га),582.2
2021-01,Говь-Алтай — Нийт зөвшөөрөл (тоо),132.0
2021-01,Говь-Алтай — Хайгуулын зөвшөөрөл (тоо),77.0
2021-01,Говь-Алтай — Хайгуулын талбай (мян.га),489.9
2021-01,Говьсүмбэр — Ашиглалтын зөвшөөрөл (тоо),13.0
2021-01,Говьсүмбэр — Ашиглалтын талбай (мян.га),38.9
2021-01,Говьсүмбэр — Нийт зөвшөөрөгдсөн талбай (мян.га),44.6
2021-01,Говьсүмбэр — Нийт зөвшөөрөл (тоо),16.0
2021-01,Говьсүмбэр — Хайгуулын зөвшөөрөл (тоо),3.0
2021-01,Говьсүмбэр — Хайгуулын талбай (мян.га),5.8
2021-01,Дархан-Уул — Ашиглалтын зөвшөөрөл (тоо),61.0
2021-01,Дархан-Уул — Ашиглалтын талбай (мян.га),7.6
2021-01,Дархан-Уул — Нийт зөвшөөрөгдсөн талбай (мян.га),8.7
2021-01,Дархан-Уул — Нийт зөвшөөрөл (тоо),66.0
2021-01,Дархан-Уул — Хайгуулын зөвшөөрөл (тоо),5.0
2021-01,Дархан-Уул — Хайгуулын талбай (мян.га),1.1
2021-01,Дорноговь — Ашиглалтын зөвшөөрөл (тоо),195.0
2021-01,Дорноговь — Ашиглалтын талбай (мян.га),250.1
2021-01,Дорноговь — Нийт зөвшөөрөгдсөн талбай (мян.га),1066.6
2021-01,Дорноговь — Нийт зөвшөөрөл (тоо),329.0
2021-01,Дорноговь — Хайгуулын зөвшөөрөл (тоо),134.0
2021-01,Дорноговь — Хайгуулын талбай (мян.га),816.5
2021-01,Дорнод — Ашиглалтын зөвшөөрөл (тоо),73.0
2021-01,Дорнод — Ашиглалтын талбай (мян.га),63.7
2021-01,Дорнод — Нийт зөвшөөрөгдсөн талбай (мян.га),537.5
2021-01,Дорнод — Нийт зөвшөөрөл (тоо),150.0
2021-01,Дорнод — Хайгуулын зөвшөөрөл (тоо),77.0
2021-01,Дорнод — Хайгуулын талбай (мян.га),473.8
2021-01,Дундговь — Ашиглалтын зөвшөөрөл (тоо),110.0
2021-01,Дундговь — Ашиглалтын талбай (мян.га),174.8
2021-01,Дундговь — Нийт зөвшөөрөгдсөн талбай (мян.га),621.2
2021-01,Дундговь — Нийт зөвшөөрөл (тоо),196.0
2021-01,Дундговь — Хайгуулын зөвшөөрөл (тоо),86.0
2021-01,Дундговь — Хайгуулын талбай (мян.га),446.4
2021-01,Завхан — Ашиглалтын зөвшөөрөл (тоо),10.0
2021-01,Завхан — Ашиглалтын талбай (мян.га),17.0
2021-01,Завхан — Нийт зөвшөөрөгдсөн талбай (мян.га),222.8
2021-01,Завхан — Нийт зөвшөөрөл (тоо),48.0
2021-01,Завхан — Хайгуулын зөвшөөрөл (тоо),38.0
2021-01,Завхан — Хайгуулын талбай (мян.га),205.8
2021-01,Орхон — Ашиглалтын зөвшөөрөл (тоо),8.0
2021-01,Орхон — Ашиглалтын талбай (мян.га),11.0
2021-01,Орхон — Нийт зөвшөөрөгдсөн талбай (мян.га),11.0
2021-01,Орхон — Нийт зөвшөөрөл (тоо),8.0
2021-01,Орхон — Хайгуулын зөвшөөрөл (тоо),0.0
2021-01,Орхон — Хайгуулын талбай (мян.га),0.0
2021-01,Сэлэнгэ — Ашиглалтын зөвшөөрөл (тоо),144.0
2021-01,Сэлэнгэ — Ашиглалтын талбай (мян.га),45.1
2021-01,Сэлэнгэ — Нийт зөвшөөрөгдсөн талбай (мян.га),94.8
2021-01,Сэлэнгэ — Нийт зөвшөөрөл (тоо),179.0
2021-01,Сэлэнгэ — Хайгуулын зөвшөөрөл (тоо),35.0
2021-01,Сэлэнгэ — Хайгуулын талбай (мян.га),49.6
2021-01,Сүхбаатар — Ашиглалтын зөвшөөрөл (тоо),72.0
2021-01,Сүхбаатар — Ашиглалтын талбай (мян.га),68.2
2021-01,Сүхбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),242.3
2021-01,Сүхбаатар — Нийт зөвшөөрөл (тоо),92.0
2021-01,Сүхбаатар — Хайгуулын зөвшөөрөл (тоо),20.0
2021-01,Сүхбаатар — Хайгуулын талбай (мян.га),174.1
2021-01,Төв — Ашиглалтын зөвшөөрөл (тоо),305.0
2021-01,Төв — Ашиглалтын талбай (мян.га),155.7
2021-01,Төв — Нийт зөвшөөрөгдсөн талбай (мян.га),308.7
2021-01,Төв — Нийт зөвшөөрөл (тоо),378.0
2021-01,Төв — Хайгуулын зөвшөөрөл (тоо),73.0
2021-01,Төв — Хайгуулын талбай (мян.га),153.0
2021-01,Увс — Ашиглалтын зөвшөөрөл (тоо),42.0
2021-01,Увс — Ашиглалтын талбай (мян.га),19.9
2021-01,Увс — Нийт зөвшөөрөгдсөн талбай (мян.га),287.8
2021-01,Увс — Нийт зөвшөөрөл (тоо),109.0
2021-01,Увс — Хайгуулын зөвшөөрөл (тоо),67.0
2021-01,Увс — Хайгуулын талбай (мян.га),267.9
2021-01,Улаанбаатар — Ашиглалтын зөвшөөрөл (тоо),151.0
2021-01,Улаанбаатар — Ашиглалтын талбай (мян.га),13.1
2021-01,Улаанбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),14.1
2021-01,Улаанбаатар — Нийт зөвшөөрөл (тоо),158.0
2021-01,Улаанбаатар — Хайгуулын зөвшөөрөл (тоо),7.0
2021-01,Улаанбаатар — Хайгуулын талбай (мян.га),1.0
2021-01,Ховд — Ашиглалтын зөвшөөрөл (тоо),37.0
2021-01,Ховд — Ашиглалтын талбай (мян.га),17.2
2021-01,Ховд — Нийт зөвшөөрөгдсөн талбай (мян.га),211.2
2021-01,Ховд — Нийт зөвшөөрөл (тоо),94.0
2021-01,Ховд — Хайгуулын зөвшөөрөл (тоо),57.0
2021-01,Ховд — Хайгуулын талбай (мян.га),194.0
