month,metric,value
2021-01,Exploration,941.0
2021-01,Extraction,1755.0
2021-02,Exploration,937.0
2021-02,Extraction,1757.0
2021-03,Exploration,924.0
2021-03,Extraction,1759.0
2021-04,Exploration,934.0
2021-04,Extraction,1764.0
2021-05,Exploration,916.0
2021-05,Extraction,1768.0
2021-06,Exploration,923.0
2021-06,Extraction,1779.0
2021-07,Exploration,946.0
2021-07,Extraction,1785.0
2021-08,Exploration,944.0
2021-08,Extraction,1791.0
2021-09,Exploration,946.0
2021-09,Extraction,1796.0
2021-10,Exploration,953.0
2021-10,Extraction,1798.0
2021-11,Exploration,936.0
2021-11,Extraction,1802.0
2021-12,Exploration,916.0
2021-12,Extraction,1804.0
2022-01,Exploration,913.0
2022-01,Extraction,1809.0
2022-02,Exploration,921.0
2022-02,Extraction,1720.0
2022-03,Exploration,922.0
2022-03,Extraction,1746.0
2022-04,Exploration,915.0
2022-04,Extraction,1751.0
2022-05,Exploration,907.0
2022-05,Extraction,1759.0
2022-06,Exploration,892.0
2022-06,Extraction,1761.0
2022-07,Exploration,885.0
2022-07,Extraction,1767.0
2022-08,Exploration,873.0
2022-08,Extraction,1764.0
2022-09,Exploration,867.0
2022-09,Extraction,1762.0
2022-10,Exploration,919.0
2022-10,Extraction,1766.0
2022-11,Exploration,853.0
2022-11,Extraction,1766.0
2022-12,Exploration,853.0
2022-12,Extraction,1768.0
2023-01,Exploration,861.0
2023-01,Extraction,1769.0
2023-02,Exploration,890.0
2023-02,Extraction,1768.0
2023-03,Exploration,894.0
2023-03,Extraction,1769.0
2023-04,Exploration,912.0
2023-04,Extraction,1768.0
2023-05,Exploration,933.0
2023-05,Extraction,1768.0
2023-06,Exploration,967.0
2023-06,Extraction,1766.0
2023-07,Exploration,974.0
2023-07,Extraction,1768.0
2023-08,Exploration,991.0
2023-08,Extraction,1768.0
2023-09,Exploration,1000.0
2023-09,Extraction,1769.0
2023-10,Exploration,1008.0
2023-10,Extraction,1772.0
2023-11,Exploration,1014.0
2023-11,Extraction,1772.0
2023-12,Exploration,1031.0
2023-12,Extraction,1775.0
2024-01,Exploration,1044.0
2024-01,Extraction,1778.0
2024-02,Exploration,1036.0
2024-02,Extraction,1780.0
2024-03,Exploration,1053.0
2024-03,Extraction,1783.0
2024-04,Exploration,1055.0
2024-04,Extraction,1786.0
2024-05,Exploration,1047.0
2024-05,Extraction,1786.0
2024-06,Exploration,1040.0
2024-06,Extraction,1782.0
2024-07,Exploration,1033.0
2024-07,Extraction,1780.0
2024-08,Exploration,1030.0
2024-08,Extraction,1779.0
2024-09,Exploration,1028.0
2024-09,Extraction,1787.0
2024-10,Exploration,1013.0
2024-10,Extraction,1797.0
2024-11,Exploration,1011.0
2024-11,Extraction,1797.0
2024-12,Exploration,1008.0
2024-12,Extraction,1812.0
2025-01,Exploration,985.0
2025-01,Extraction,1813.0
2025-02,Exploration,977.0
2025-02,Extraction,1813.0
2025-03,Exploration,962.0
2025-03,Extraction,1811.0
2025-04,Exploration,956.0
2025-04,Extraction,1810.0
2025-05,Exploration,963.0
2025-05,Extraction,1815.0
2025-06,Exploration,985.0
2025-06,Extraction,1811.0
2025-07,Exploration,996.0
2025-07,Extraction,1821.0
2025-08,Exploration,1018.0
2025-08,Extraction,1816.0
2025-09,Exploration,1023.0
2025-09,Extraction,1819.0
2025-10,Exploration,1026.0
2025-10,Extraction,1825.0
2025-11,Exploration,1029.0
2025-11,Extraction,1820.0
2025-12,Exploration,1056.0
2025-12,Extraction,1823.0
2026-01,Exploration,1063.0
2026-01,Extraction,1826.0
2026-02,Exploration,1065.0
2026-02,Extraction,1830.0
2026-03,Exploration,1090.0
2026-03,Extraction,1819.0
2026-04,Exploration,1090.0
2026-04,Extraction,1810.0
2026-05,Exploration,1081.0
2026-05,Extraction,1816.0
2026-06,Exploration,1116.0
2026-06,Extraction,1819.0
2026-07,Exploration,1113.0
2026-07,Extraction,1811.0
