он,сар,аймаг,нийт_тоо,нийт_талбай_мян_га,ашиглалтын_тоо,ашиглалтын_талбай_мян_га,хайгуулын_тоо,хайгуулын_талбай_мян_га
2025,1,Архангай,29,36.5,19,11.8,10,24.7
2025,1,Баян-Өлгий,92,338.8,30,16.5,62,322.3
2025,1,Баянхонгор,141,378.7,102,169.2,39,209.5
2025,1,Булган,110,208.7,78,41.9,32,166.8
2025,1,Говь-Алтай,130,528.0,65,82.5,65,445.5
2025,1,Говьсүмбэр,17,43.4,14,37.7,3,5.8
2025,1,Дархан-Уул,68,15.8,61,8.4,7,7.4
2025,1,Дорноговь,361,1077.8,225,278.1,136,799.7
2025,1,Дорнод,168,713.9,80,75.0,88,638.9
2025,1,Дундговь,192,520.6,132,203.8,60,316.9
2025,1,Завхан,45,190.3,13,21.3,32,169.0
2025,1,Орхон,14,17.6,9,10.7,5,6.9
2025,1,Өвөрхангай,62,185.0,29,20.7,33,164.3
2025,1,Өмнөговь,159,872.5,110,486.3,49,386.3
2025,1,Сүхбаатар,107,387.2,72,57.7,35,329.5
2025,1,Сэлэнгэ,170,99.7,137,48.6,33,51.1
2025,1,Төв,387,362.1,307,169.1,80,193.0
2025,1,Увс,107,217.1,46,21.2,61,195.9
2025,1,Улаанбаатар,95,10.0,92,9.7,3,0.2
2025,1,Ховд,104,312.3,38,32.4,66,279.8
2025,1,Хөвсгөл,23,11.6,21,10.3,2,1.3
2025,1,Хэнтий,217,266.2,133,59.0,84,207.3
2025,2,Архангай,29,36.5,19,11.8,10,24.7
2025,2,Баян-Өлгий,92,338.8,30,16.5,62,322.3
2025,2,Баянхонгор,141,378.7,102,169.2,39,209.5
2025,2,Булган,109,208.4,77,41.7,32,166.8
2025,2,Говь-Алтай,129,516.6,65,82.5,64,434.2
2025,2,Говьсүмбэр,16,41.7,14,37.7,2,4.0
2025,2,Дархан-Уул,68,15.8,61,8.4,7,7.4
2025,2,Дорноговь,360,1077.7,225,278.1,135,799.6
2025,2,Дорнод,167,713.8,80,75.0,87,638.9
2025,2,Дундговь,193,497.3,133,204.2,60,293.1
2025,2,Завхан,45,190.3,13,21.3,32,169.0
2025,2,Орхон,14,17.6,9,10.7,5,6.9
2025,2,Өвөрхангай,62,185.0,29,20.7,33,164.3
2025,2,Өмнөговь,157,861.7,110,486.3,47,375.4
2025,2,Сүхбаатар,107,387.2,72,57.7,35,329.5
2025,2,Сэлэнгэ,170,99.7,137,48.6,33,51.1
2025,2,Төв,385,361.2,307,169.1,78,192.0
2025,2,Увс,106,215.0,46,21.2,60,193.9
2025,2,Улаанбаатар,95,10.0,92,9.7,3,0.2
2025,2,Ховд,104,312.1,38,32.3,66,279.8
2025,2,Хөвсгөл,23,11.6,21,10.3,2,1.3
2025,2,Хэнтий,218,264.4,133,59.0,85,205.4
2025,3,Архангай,29,36.5,19,11.8,10,24.7
2025,3,Баян-Өлгий,91,333.3,30,16.4,61,316.9
2025,3,Баянхонгор,141,378.7,102,169.2,39,209.5
2025,3,Булган,109,208.4,77,41.6,32,166.8
2025,3,Говь-Алтай,129,516.6,65,82.5,64,434.2
2025,3,Говьсүмбэр,16,41.7,14,37.7,2,4.0
2025,3,Дархан-Уул,67,14.8,61,8.4,6,6.3
2025,3,Дорноговь,356,1056.4,225,278.1,131,778.3
2025,3,Дорнод,166,698.9,80,75.0,86,623.9
2025,3,Дундговь,191,452.3,133,204.2,58,248.1
2025,3,Завхан,44,189.3,13,21.3,31,168.0
2025,3,Орхон,14,17.6,9,10.7,5,6.9
2025,3,Өвөрхангай,60,175.4,29,20.7,31,154.8
2025,3,Өмнөговь,156,854.2,110,486.3,46,368.0
2025,3,Сүхбаатар,106,368.7,72,57.7,34,311.0
