он,сар,бүтээгдэхүүн,хэмжээ_тн
2025,1,Нийт,296382.0
2025,1,А-80 бензин,66.0
2025,1,АИ-92 бензин,90482.0
2025,1,АИ-95 бензин,1487.0
2025,1,Дизелийн түлш,183926.0
2025,1,Онгоцны түлш ТС-1,10152.0
2025,1,Шингэрүүлсэн шатдаг хий,4197.0
2025,1,Бусад,6071.0
2025,2,Нийт,236383.0
2025,2,А-80 бензин,56.0
2025,2,АИ-92 бензин,66749.0
2025,2,АИ-95 бензин,1467.0
2025,2,Дизелийн түлш,154191.0
2025,2,Онгоцны түлш ТС-1,5092.0
2025,2,Шингэрүүлсэн шатдаг хий,2786.0
2025,2,Бусад,6042.0
2025,3,Нийт,216299.0
2025,3,А-80 бензин,131.0
2025,3,АИ-92 бензин,67438.0
2025,3,АИ-95 бензин,1950.0
2025,3,Дизелийн түлш,127439.0
2025,3,Онгоцны түлш ТС-1,8241.0
2025,3,Шингэрүүлсэн шатдаг хий,4620.0
2025,3,Бусад,6480.0
2025,4,Нийт,219425.0
2025,4,А-80 бензин,0.0
2025,4,АИ-92 бензин,48497.0
2025,4,АИ-95 бензин,339.0
2025,4,Дизелийн түлш,140578.0
2025,4,Онгоцны түлш ТС-1,11201.0
2025,4,Шингэрүүлсэн шатдаг хий,2957.0
2025,4,Бусад,15853.0
2025,5,Нийт,195699.0
2025,5,А-80 бензин,0.0
2025,5,АИ-92 бензин,58478.0
2025,5,АИ-95 бензин,1401.0
2025,5,Дизелийн түлш,112022.0
2025,5,Онгоцны түлш ТС-1,2624.0
2025,5,Шингэрүүлсэн шатдаг хий,3324.0
2025,5,Бусад,17850.0
2025,6,Нийт,227332.0
2025,6,А-80 бензин,0.0
2025,6,АИ-92 бензин,68871.0
2025,6,АИ-95 бензин,694.0
2025,6,Дизелийн түлш,125025.0
2025,6,Онгоцны түлш ТС-1,7201.0
2025,6,Шингэрүүлсэн шатдаг хий,1078.0
2025,6,Бусад,24463.0
2025,7,Нийт,259693.0
2025,7,А-80 бензин,76949.0
2025,7,АИ-92 бензин,1376.0
2025,7,АИ-95 бензин,153359.0
2025,7,Дизелийн түлш,6512.0
2025,7,Онгоцны түлш ТС-1,5357.0
2025,7,Шингэрүүлсэн шатдаг хий,16140.0
2025,8,Нийт,307239.0
2025,8,А-80 бензин,70337.0
2025,8,АИ-92 бензин,1188.0
2025,8,АИ-95 бензин,199924.0
2025,8,Дизелийн түлш,10770.0
2025,8,Онгоцны түлш ТС-1,6566.0
2025,8,Шингэрүүлсэн шатдаг хий,18454.0
2025,9,Нийт,268427.0
2025,9,А-80 бензин,70444.0
2025,9,АИ-92 бензин,2704.0
2025,9,АИ-95 бензин,164054.0
2025,9,Дизелийн түлш,3173.0
2025,9,Онгоцны түлш ТС-1,8108.0
2025,9,Шингэрүүлсэн шатдаг хий,19944.0
2025,10,Нийт,219147.0
2025,10,А-80 бензин,58721.0
2025,10,АИ-92 бензин,563.0
2025,10,АИ-95 бензин,138853.0
2025,10,Дизелийн түлш,4378.0
2025,10,Онгоцны түлш ТС-1,3239.0
2025,10,Шингэрүүлсэн шатдаг хий,13393.0
2025,11,Нийт,217609.0
2025,11,А-80 бензин,71445.0
2025,11,АИ-92 бензин,2425.0
2025,11,АИ-95 бензин,129576.0
2025,11,Дизелийн түлш,4888.0
2025,11,Онгоцны түлш ТС-1,3126.0
2025,11,Шингэрүүлсэн шатдаг хий,6149.0
2025,12,Нийт,309380.0
2025,12,А-80 бензин,79746.0
2025,12,АИ-92 бензин,4944.0
2025,12,АИ-95 бензин,205572.0
2025,12,Дизелийн түлш,11420.0
2025,12,Онгоцны түлш ТС-1,3786.0
2025,12,Шингэрүүлсэн шатдаг хий,3912.0
