month,metric,value
2021-01,Exports,518973.0
2021-01,Production,527156.0
2021-02,Exports,435559.0
2021-02,Production,469647.0
2021-03,Exports,466990.0
2021-03,Production,511305.0
2021-04,Exports,468414.0
2021-04,Production,496623.0
2021-05,Exports,487367.0
2021-05,Production,504353.0
2021-06,Exports,480475.0
2021-06,Production,482461.0
2021-07,Exports,425415.0
2021-07,Production,501112.0
2021-08,Exports,341637.0
2021-08,Production,414776.0
2021-09,Exports,81278.0
2021-09,Production,51634.0
2021-10,Exports,329572.0
2021-10,Production,284781.0
2021-11,Exports,312552.0
2021-11,Production,389883.0
2021-12,Exports,
2021-12,Production,33623.0
2022-01,Exports,
2022-01,Production,17544.0
2022-02,Exports,
2022-02,Production,9921.0
2022-03,Exports,
2022-03,Production,9257.0
2022-04,Exports,
2022-04,Production,1001.0
2022-05,Exports,
2022-05,Production,1290.0
2022-06,Exports,114102.0
2022-06,Production,38184.0
2022-07,Exports,359232.0
2022-07,Production,351008.0
2022-08,Exports,492619.0
2022-08,Production,457301.0
2022-09,Exports,428311.0
2022-09,Production,424986.0
2022-10,Exports,364645.0
2022-10,Production,417283.0
2022-11,Exports,432823.0
2022-11,Production,410196.0
2022-12,Exports,414179.0
2022-12,Production,428119.0
2023-01,Exports,393310.0
2023-01,Production,430818.0
2023-02,Exports,368363.0
2023-02,Production,372459.0
2023-03,Exports,418535.0
2023-03,Production,402959.0
2023-04,Exports,394184.0
2023-04,Production,404405.0
2023-05,Exports,415226.0
2023-05,Production,427315.0
2023-06,Exports,395403.0
2023-06,Production,415056.0
2023-07,Exports,402896.0
2023-07,Production,422488.0
2023-08,Exports,384390.0
2023-08,Production,421268.0
2023-09,Exports,385602.0
2023-09,Production,409946.0
2023-10,Exports,437777.0
2023-10,Production,411238.0
2023-11,Exports,359696.0
2023-11,Production,382824.0
2023-12,Exports,376755.0
2023-12,Production,388303.0
2024-01,Exports,383253.0
2024-01,Production,372568.0
2024-02,Exports,324742.0
2024-02,Production,353716.0
2024-03,Exports,354380.0
2024-03,Production,367604.0
2024-04,Exports,345206.0
2024-04,Production,353608.0
2024-05,Exports,346573.0
2024-05,Production,356826.0
2024-06,Exports,335746.0
2024-06,Production,331178.0
2024-07,Exports,315416.0
2024-07,Production,337318.0
2024-08,Exports,358505.0
2024-08,Production,350564.0
2024-09,Exports,336406.0
2024-09,Production,331286.0
2024-10,Exports,344649.0
2024-10,Production,346663.0
2024-11,Exports,328206.0
2024-11,Production,342334.0
2024-12,Exports,294567.0
2024-12,Production,344625.0
2025-01,Exports,284063.0
2025-01,Production,317091.0
2025-02,Exports,311504.0
2025-02,Production,298844.0
2025-03,Exports,322496.0
2025-03,Production,327015.0
2025-04,Exports,255271.0
2025-04,Production,308528.0
2025-05,Exports,283159.0
2025-05,Production,316317.0
2025-06,Exports,346300.0
2025-06,Production,309128.0
2025-07,Exports,296975.0
2025-07,Production,311758.0
2025-08,Exports,298486.0
2025-08,Production,306600.0
2025-09,Exports,272993.0
2025-09,Production,304692.0
2025-10,Exports,315945.0
2025-10,Production,322155.0
2025-11,Exports,273827.0
2025-11,Production,312569.0
2025-12,Exports,271712.0
2025-12,Production,322625.0
2026-01,Exports,282829.0
2026-01,Production,313128.0
2026-02,Exports,236574.0
2026-02,Production,271742.0
2026-03,Exports,358416.0
2026-03,Production,301787.0
2026-04,Exports,271457.0
2026-04,Production,293874.0
2026-05,Exports,280061.0
2026-05,Production,297409.0
2026-06,Exports,287125.0
2026-06,Production,280726.0
2026-07,Exports,234735.0
2026-07,Production,299729.0
