сар,үзүүлэлт,утга
2021-01,Олборлолт,527156.0
2021-01,Экспорт,518973.0
2021-02,Олборлолт,469647.0
2021-02,Экспорт,435559.0
2021-03,Олборлолт,511305.0
2021-03,Экспорт,466990.0
2021-04,Олборлолт,496623.0
2021-04,Экспорт,468414.0
2021-05,Олборлолт,504353.0
2021-05,Экспорт,487367.0
2021-06,Олборлолт,482461.0
2021-06,Экспорт,480475.0
2021-07,Олборлолт,501112.0
2021-07,Экспорт,425415.0
2021-08,Олборлолт,414776.0
2021-08,Экспорт,341637.0
2021-09,Олборлолт,51634.0
2021-09,Экспорт,81278.0
2021-10,Олборлолт,284781.0
2021-10,Экспорт,329572.0
2021-11,Олборлолт,389883.0
2021-11,Экспорт,312552.0
2021-12,Олборлолт,33623.0
2021-12,Экспорт,
2022-01,Олборлолт,17544.0
2022-01,Экспорт,
2022-02,Олборлолт,9921.0
2022-02,Экспорт,
2022-03,Олборлолт,9257.0
2022-03,Экспорт,
2022-04,Олборлолт,1001.0
2022-04,Экспорт,
2022-05,Олборлолт,1290.0
2022-05,Экспорт,
2022-06,Олборлолт,38184.0
2022-06,Экспорт,114102.0
2022-07,Олборлолт,351008.0
2022-07,Экспорт,359232.0
2022-08,Олборлолт,457301.0
2022-08,Экспорт,492619.0
2022-09,Олборлолт,424986.0
2022-09,Экспорт,428311.0
2022-10,Олборлолт,417283.0
2022-10,Экспорт,364645.0
2022-11,Олборлолт,410196.0
2022-11,Экспорт,432823.0
2022-12,Олборлолт,428119.0
2022-12,Экспорт,414179.0
2023-01,Олборлолт,430818.0
2023-01,Экспорт,393310.0
2023-02,Олборлолт,372459.0
2023-02,Экспорт,368363.0
2023-03,Олборлолт,402959.0
2023-03,Экспорт,418535.0
2023-04,Олборлолт,404405.0
2023-04,Экспорт,394184.0
2023-05,Олборлолт,427315.0
2023-05,Экспорт,415226.0
2023-06,Олборлолт,415056.0
2023-06,Экспорт,395403.0
2023-07,Олборлолт,422488.0
2023-07,Экспорт,402896.0
2023-08,Олборлолт,421268.0
2023-08,Экспорт,384390.0
2023-09,Олборлолт,409946.0
2023-09,Экспорт,385602.0
2023-10,Олборлолт,411238.0
2023-10,Экспорт,437777.0
2023-11,Олборлолт,382824.0
2023-11,Экспорт,359696.0
2023-12,Олборлолт,388303.0
2023-12,Экспорт,376755.0
2024-01,Олборлолт,372568.0
2024-01,Экспорт,383253.0
2024-02,Олборлолт,353716.0
2024-02,Экспорт,324742.0
2024-03,Олборлолт,367604.0
2024-03,Экспорт,354380.0
2024-04,Олборлолт,353608.0
2024-04,Экспорт,345206.0
2024-05,Олборлолт,356826.0
2024-05,Экспорт,346573.0
2024-06,Олборлолт,331178.0
2024-06,Экспорт,335746.0
2024-07,Олборлолт,337318.0
2024-07,Экспорт,315416.0
2024-08,Олборлолт,350564.0
2024-08,Экспорт,358505.0
2024-09,Олборлолт,331286.0
2024-09,Экспорт,336406.0
2024-10,Олборлолт,346663.0
2024-10,Экспорт,344649.0
2024-11,Олборлолт,342334.0
2024-11,Экспорт,328206.0
2024-12,Олборлолт,344625.0
2024-12,Экспорт,294567.0
2025-01,Олборлолт,317091.0
2025-01,Экспорт,284063.0
2025-02,Олборлолт,298844.0
2025-02,Экспорт,311504.0
2025-03,Олборлолт,327015.0
2025-03,Экспорт,322496.0
2025-04,Олборлолт,308528.0
2025-04,Экспорт,255271.0
2025-05,Олборлолт,316317.0
2025-05,Экспорт,283159.0
2025-06,Олборлолт,309128.0
2025-06,Экспорт,346300.0
2025-07,Олборлолт,311758.0
2025-07,Экспорт,296975.0
2025-08,Олборлолт,306600.0
2025-08,Экспорт,298486.0
2025-09,Олборлолт,304692.0
2025-09,Экспорт,272993.0
2025-10,Олборлолт,322155.0
2025-10,Экспорт,315945.0
2025-11,Олборлолт,312569.0
2025-11,Экспорт,273827.0
2025-12,Олборлолт,322625.0
2025-12,Экспорт,271712.0
2026-01,Олборлолт,313128.0
2026-01,Экспорт,282829.0
2026-02,Олборлолт,271742.0
2026-02,Экспорт,236574.0
2026-03,Олборлолт,301787.0
2026-03,Экспорт,358416.0
2026-04,Олборлолт,293874.0
2026-04,Экспорт,271457.0
2026-05,Олборлолт,297409.0
2026-05,Экспорт,280061.0
2026-06,Олборлолт,280726.0
2026-06,Экспорт,287125.0
2026-07,Олборлолт,299729.0
2026-07,Экспорт,234735.0
