year,indicator,kt
1989,Produced,8045.0
1989,Imports,77.0
1989,Consumption (total),7247.0
1989,Consumed by thermal power stations,4311.0
1989,Distributed to establishments and households for fuel purposes,2936.0
1989,Export,776.0
1989,Losses during transportation and storage,
1990,Produced,7157.0
1990,Imports,73.0
1990,Consumption (total),6649.0
1990,Consumed by thermal power stations,4324.0
1990,Distributed to establishments and households for fuel purposes,2325.0
1990,Export,490.0
1990,Losses during transportation and storage,
1991,Produced,7037.0
1991,Imports,0.0
1991,Consumption (total),6992.0
1991,Consumed by thermal power stations,4497.0
1991,Distributed to establishments and households for fuel purposes,2495.0
1991,Export,121.0
1991,Losses during transportation and storage,
1992,Produced,6247.4
1992,Imports,0.0
1992,Consumption (total),6219.0
1992,Consumed by thermal power stations,4438.0
1992,Distributed to establishments and households for fuel purposes,1781.0
1992,Export,87.9
1992,Losses during transportation and storage,
1993,Produced,5617.0
1993,Imports,0.0
1993,Consumption (total),5664.0
1993,Consumed by thermal power stations,4031.0
1993,Distributed to establishments and households for fuel purposes,1633.0
1993,Export,0.0
1993,Losses during transportation and storage,
1994,Produced,5158.0
1994,Imports,0.0
1994,Consumption (total),5167.0
1994,Consumed by thermal power stations,3771.0
1994,Distributed to establishments and households for fuel purposes,1396.0
1994,Export,0.0
1994,Losses during transportation and storage,
1995,Produced,5019.0
1995,Imports,0.0
1995,Consumption (total),4994.0
1995,Consumed by thermal power stations,3883.0
1995,Distributed to establishments and households for fuel purposes,1111.0
1995,Export,0.0
1995,Losses during transportation and storage,
1996,Produced,5110.0
1996,Imports,0.0
1996,Consumption (total),5107.0
1996,Consumed by thermal power stations,3925.0
1996,Distributed to establishments and households for fuel purposes,1182.0
1996,Export,0.0
1996,Losses during transportation and storage,
1997,Produced,4924.0
1997,Imports,0.0
1997,Consumption (total),4935.0
1997,Consumed by thermal power stations,3673.0
1997,Distributed to establishments and households for fuel purposes,1262.0
1997,Export,0.0
1997,Losses during transportation and storage,
1998,Produced,5057.0
1998,Imports,38.0
1998,Consumption (total),4986.0
1998,Consumed by thermal power stations,4193.0
1998,Distributed to establishments and households for fuel purposes,793.0
1998,Export,3.0
1998,Losses during transportation and storage,
1999,Produced,4964.0
1999,Imports,30.0
1999,Consumption (total),5017.0
1999,Consumed by thermal power stations,4127.0
1999,Distributed to establishments and households for fuel purposes,890.0
1999,Export,0.0
1999,Losses during transportation and storage,
2000,Produced,5185.0
2000,Imports,43.0
2000,Consumption (total),5212.0
2000,Consumed by thermal power stations,4449.0
2000,Distributed to establishments and households for fuel purposes,763.0
2000,Export,0.0
2000,Losses during transportation and storage,
2001,Produced,5141.0
2001,Imports,10.0
2001,Consumption (total),5189.0
2001,Consumed by thermal power stations,4324.0
2001,Distributed to establishments and households for fuel purposes,865.0
2001,Export,0.0
2001,Losses during transportation and storage,
2002,Produced,5544.4
2002,Imports,0.1
2002,Consumption (total),5535.3
2002,Consumed by thermal power stations,4723.2
2002,Distributed to establishments and households for fuel purposes,812.1
2002,Export,0.0
2002,Losses during transportation and storage,
2003,Produced,5666.1
2003,Imports,0.3
2003,Consumption (total),5161.7
2003,Consumed by thermal power stations,4380.2
2003,Distributed to establishments and households for fuel purposes,781.5
2003,Export,435.4
2003,Losses during transportation and storage,
2004,Produced,6865.0
2004,Imports,0.3
2004,Consumption (total),5188.5
2004,Consumed by thermal power stations,4478.6
2004,Distributed to establishments and households for fuel purposes,709.9
2004,Export,1560.4
2004,Losses during transportation and storage,
2005,Produced,7517.1
2005,Imports,0.4
