он,үзүүлэлт,мян_тн
1989,Үйлдвэрлэсэн,8045.0
1989,Импорт,77.0
1989,Нийт хэрэглээ,7247.0
1989,ДЦС-д хэрэглэсэн,4311.0
1989,ААНБ болон өрхөд нийлүүлсэн,2936.0
1989,Экспорт,776.0
1989,"Тээвэр, хадгалалтын хорогдол",
1990,Үйлдвэрлэсэн,7157.0
1990,Импорт,73.0
1990,Нийт хэрэглээ,6649.0
1990,ДЦС-д хэрэглэсэн,4324.0
1990,ААНБ болон өрхөд нийлүүлсэн,2325.0
1990,Экспорт,490.0
1990,"Тээвэр, хадгалалтын хорогдол",
1991,Үйлдвэрлэсэн,7037.0
1991,Импорт,0.0
1991,Нийт хэрэглээ,6992.0
1991,ДЦС-д хэрэглэсэн,4497.0
1991,ААНБ болон өрхөд нийлүүлсэн,2495.0
1991,Экспорт,121.0
1991,"Тээвэр, хадгалалтын хорогдол",
1992,Үйлдвэрлэсэн,6247.4
1992,Импорт,0.0
1992,Нийт хэрэглээ,6219.0
1992,ДЦС-д хэрэглэсэн,4438.0
1992,ААНБ болон өрхөд нийлүүлсэн,1781.0
1992,Экспорт,87.9
1992,"Тээвэр, хадгалалтын хорогдол",
1993,Үйлдвэрлэсэн,5617.0
1993,Импорт,0.0
1993,Нийт хэрэглээ,5664.0
1993,ДЦС-д хэрэглэсэн,4031.0
1993,ААНБ болон өрхөд нийлүүлсэн,1633.0
1993,Экспорт,0.0
1993,"Тээвэр, хадгалалтын хорогдол",
1994,Үйлдвэрлэсэн,5158.0
1994,Импорт,0.0
1994,Нийт хэрэглээ,5167.0
1994,ДЦС-д хэрэглэсэн,3771.0
1994,ААНБ болон өрхөд нийлүүлсэн,1396.0
1994,Экспорт,0.0
1994,"Тээвэр, хадгалалтын хорогдол",
1995,Үйлдвэрлэсэн,5019.0
1995,Импорт,0.0
1995,Нийт хэрэглээ,4994.0
1995,ДЦС-д хэрэглэсэн,3883.0
1995,ААНБ болон өрхөд нийлүүлсэн,1111.0
1995,Экспорт,0.0
1995,"Тээвэр, хадгалалтын хорогдол",
1996,Үйлдвэрлэсэн,5110.0
1996,Импорт,0.0
1996,Нийт хэрэглээ,5107.0
1996,ДЦС-д хэрэглэсэн,3925.0
1996,ААНБ болон өрхөд нийлүүлсэн,1182.0
1996,Экспорт,0.0
1996,"Тээвэр, хадгалалтын хорогдол",
1997,Үйлдвэрлэсэн,4924.0
1997,Импорт,0.0
1997,Нийт хэрэглээ,4935.0
1997,ДЦС-д хэрэглэсэн,3673.0
1997,ААНБ болон өрхөд нийлүүлсэн,1262.0
1997,Экспорт,0.0
1997,"Тээвэр, хадгалалтын хорогдол",
1998,Үйлдвэрлэсэн,5057.0
1998,Импорт,38.0
1998,Нийт хэрэглээ,4986.0
1998,ДЦС-д хэрэглэсэн,4193.0
1998,ААНБ болон өрхөд нийлүүлсэн,793.0
1998,Экспорт,3.0
1998,"Тээвэр, хадгалалтын хорогдол",
1999,Үйлдвэрлэсэн,4964.0
1999,Импорт,30.0
