region,month,deaths
Arkhangai,2016-01,35
Bayan-Ulgii,2016-01,37
Bayankhongor,2016-01,38
Bulgan,2016-01,27
Darkhan-Uul,2016-01,40
Dornod,2016-01,37
Dornogovi,2016-01,28
Dundgovi,2016-01,26
Govi-Altai,2016-01,25
Govisumber,2016-01,7
Khentii,2016-01,29
Khovd,2016-01,34
Khuvsgul,2016-01,65
Orkhon,2016-01,49
Selenge,2016-01,45
Sukhbaatar,2016-01,25
Tuv,2016-01,46
Ulaanbaatar,2016-01,576
Umnugovi,2016-01,31
Uvs,2016-01,41
Uvurkhangai,2016-01,46
Zavkhan,2016-01,30
Arkhangai,2016-02,39
Bayan-Ulgii,2016-02,40
Bayankhongor,2016-02,57
Bulgan,2016-02,26
Darkhan-Uul,2016-02,42
Dornod,2016-02,41
Dornogovi,2016-02,34
Dundgovi,2016-02,26
Govi-Altai,2016-02,24
Govisumber,2016-02,6
Khentii,2016-02,24
Khovd,2016-02,22
Khuvsgul,2016-02,64
Orkhon,2016-02,44
Selenge,2016-02,52
Sukhbaatar,2016-02,36
Tuv,2016-02,43
Ulaanbaatar,2016-02,582
Umnugovi,2016-02,30
Uvs,2016-02,42
Uvurkhangai,2016-02,67
Zavkhan,2016-02,31
Arkhangai,2016-03,48
Bayan-Ulgii,2016-03,50
Bayankhongor,2016-03,48
Bulgan,2016-03,29
Darkhan-Uul,2016-03,39
Dornod,2016-03,43
Dornogovi,2016-03,19
Dundgovi,2016-03,25
Govi-Altai,2016-03,32
Govisumber,2016-03,6
Khentii,2016-03,38
Khovd,2016-03,39
Khuvsgul,2016-03,60
Orkhon,2016-03,49
Selenge,2016-03,49
Sukhbaatar,2016-03,34
Tuv,2016-03,37
Ulaanbaatar,2016-03,640
Umnugovi,2016-03,26
Uvs,2016-03,38
Uvurkhangai,2016-03,70
Zavkhan,2016-03,38
Arkhangai,2016-04,46
Bayan-Ulgii,2016-04,55
Bayankhongor,2016-04,44
Bulgan,2016-04,29
Darkhan-Uul,2016-04,60
Dornod,2016-04,42
Dornogovi,2016-04,25
Dundgovi,2016-04,26
Govi-Altai,2016-04,28
Govisumber,2016-04,7
Khentii,2016-04,28
Khovd,2016-04,29
Khuvsgul,2016-04,71
Orkhon,2016-04,37
Selenge,2016-04,47
Sukhbaatar,2016-04,29
Tuv,2016-04,33
Ulaanbaatar,2016-04,617
Umnugovi,2016-04,21
Uvs,2016-04,39
Uvurkhangai,2016-04,66
Zavkhan,2016-04,32
Arkhangai,2016-05,42
Bayan-Ulgii,2016-05,51
Bayankhongor,2016-05,45
Bulgan,2016-05,18
Darkhan-Uul,2016-05,42
Dornod,2016-05,56
Dornogovi,2016-05,38
Dundgovi,2016-05,25
Govi-Altai,2016-05,34
Govisumber,2016-05,6
Khentii,2016-05,28
Khovd,2016-05,35
Khuvsgul,2016-05,91
Orkhon,2016-05,50
Selenge,2016-05,46
Sukhbaatar,2016-05,28
Tuv,2016-05,40
Ulaanbaatar,2016-05,617
Umnugovi,2016-05,20
Uvs,2016-05,44
Uvurkhangai,2016-05,49
Zavkhan,2016-05,36
Arkhangai,2016-06,33
Bayan-Ulgii,2016-06,41
Bayankhongor,2016-06,42
Bulgan,2016-06,24
Darkhan-Uul,2016-06,41
Dornod,2016-06,50
Dornogovi,2016-06,35
Dundgovi,2016-06,19
Govi-Altai,2016-06,22
Govisumber,2016-06,8
Khentii,2016-06,30
Khovd,2016-06,40
Khuvsgul,2016-06,55
Orkhon,2016-06,42
Selenge,2016-06,58
Sukhbaatar,2016-06,26
Tuv,2016-06,22
Ulaanbaatar,2016-06,549
Umnugovi,2016-06,25
Uvs,2016-06,43
Uvurkhangai,2016-06,54
Zavkhan,2016-06,38
Arkhangai,2016-07,40
Bayan-Ulgii,2016-07,44
Bayankhongor,2016-07,45
Bulgan,2016-07,29
Darkhan-Uul,2016-07,47
Dornod,2016-07,36
Dornogovi,2016-07,39
Dundgovi,2016-07,18
Govi-Altai,2016-07,29
Govisumber,2016-07,3
Khentii,2016-07,31
Khovd,2016-07,35
Khuvsgul,2016-07,69
Orkhon,2016-07,34
Selenge,2016-07,49
Sukhbaatar,2016-07,33
Tuv,2016-07,50
Ulaanbaatar,2016-07,557
Umnugovi,2016-07,30
Uvs,2016-07,38
Uvurkhangai,2016-07,58
Zavkhan,2016-07,27
Arkhangai,2016-08,44
Bayan-Ulgii,2016-08,47
Bayankhongor,2016-08,45
Bulgan,2016-08,26
Darkhan-Uul,2016-08,47
Dornod,2016-08,47
Dornogovi,2016-08,25
Dundgovi,2016-08,22
Govi-Altai,2016-08,33
Govisumber,2016-08,8
Khentii,2016-08,30
Khovd,2016-08,27
Khuvsgul,2016-08,72
Orkhon,2016-08,42
Selenge,2016-08,38
Sukhbaatar,2016-08,28
Tuv,2016-08,33
Ulaanbaatar,2016-08,599
Umnugovi,2016-08,31
Uvs,2016-08,30
Uvurkhangai,2016-08,54
Zavkhan,2016-08,27
Arkhangai,2016-09,39
Bayan-Ulgii,2016-09,31
Bayankhongor,2016-09,34
Bulgan,2016-09,36
Darkhan-Uul,2016-09,52
Dornod,2016-09,39
Dornogovi,2016-09,20
Dundgovi,2016-09,20
Govi-Altai,2016-09,19
Govisumber,2016-09,3
Khentii,2016-09,30
Khovd,2016-09,29
Khuvsgul,2016-09,55
Orkhon,2016-09,55
Selenge,2016-09,50
Sukhbaatar,2016-09,24
Tuv,2016-09,27
Ulaanbaatar,2016-09,593
Umnugovi,2016-09,31
Uvs,2016-09,41
Uvurkhangai,2016-09,49
Zavkhan,2016-09,24
Arkhangai,2016-10,49
Bayan-Ulgii,2016-10,36
Bayankhongor,2016-10,29
Bulgan,2016-10,24
Darkhan-Uul,2016-10,45
Dornod,2016-10,38
Dornogovi,2016-10,41
Dundgovi,2016-10,22
Govi-Altai,2016-10,17
Govisumber,2016-10,6
Khentii,2016-10,35
Khovd,2016-10,26
Khuvsgul,2016-10,59
Orkhon,2016-10,23
