бүс,сар,нас_баралт
Архангай,2016-01,35
Баян-Өлгий,2016-01,37
Баянхонгор,2016-01,38
Булган,2016-01,27
Говь-Алтай,2016-01,25
Говьсүмбэр,2016-01,7
Дархан-Уул,2016-01,40
Дорноговь,2016-01,28
Дорнод,2016-01,37
Дундговь,2016-01,26
Завхан,2016-01,30
Орхон,2016-01,49
Сэлэнгэ,2016-01,45
Сүхбаатар,2016-01,25
Төв,2016-01,46
Увс,2016-01,41
Улаанбаатар,2016-01,576
Ховд,2016-01,34
Хэнтий,2016-01,29
Хөвсгөл,2016-01,65
Өвөрхангай,2016-01,46
Өмнөговь,2016-01,31
Архангай,2016-02,39
Баян-Өлгий,2016-02,40
Баянхонгор,2016-02,57
Булган,2016-02,26
Говь-Алтай,2016-02,24
Говьсүмбэр,2016-02,6
Дархан-Уул,2016-02,42
Дорноговь,2016-02,34
Дорнод,2016-02,41
Дундговь,2016-02,26
Завхан,2016-02,31
Орхон,2016-02,44
Сэлэнгэ,2016-02,52
Сүхбаатар,2016-02,36
Төв,2016-02,43
Увс,2016-02,42
Улаанбаатар,2016-02,582
Ховд,2016-02,22
Хэнтий,2016-02,24
Хөвсгөл,2016-02,64
Өвөрхангай,2016-02,67
Өмнөговь,2016-02,30
Архангай,2016-03,48
Баян-Өлгий,2016-03,50
Баянхонгор,2016-03,48
Булган,2016-03,29
Говь-Алтай,2016-03,32
Говьсүмбэр,2016-03,6
Дархан-Уул,2016-03,39
Дорноговь,2016-03,19
Дорнод,2016-03,43
Дундговь,2016-03,25
Завхан,2016-03,38
Орхон,2016-03,49
Сэлэнгэ,2016-03,49
Сүхбаатар,2016-03,34
Төв,2016-03,37
Увс,2016-03,38
Улаанбаатар,2016-03,640
Ховд,2016-03,39
Хэнтий,2016-03,38
Хөвсгөл,2016-03,60
Өвөрхангай,2016-03,70
Өмнөговь,2016-03,26
Архангай,2016-04,46
Баян-Өлгий,2016-04,55
Баянхонгор,2016-04,44
Булган,2016-04,29
Говь-Алтай,2016-04,28
Говьсүмбэр,2016-04,7
Дархан-Уул,2016-04,60
Дорноговь,2016-04,25
Дорнод,2016-04,42
Дундговь,2016-04,26
Завхан,2016-04,32
Орхон,2016-04,37
Сэлэнгэ,2016-04,47
Сүхбаатар,2016-04,29
Төв,2016-04,33
Увс,2016-04,39
Улаанбаатар,2016-04,617
Ховд,2016-04,29
Хэнтий,2016-04,28
Хөвсгөл,2016-04,71
Өвөрхангай,2016-04,66
Өмнөговь,2016-04,21
Архангай,2016-05,42
Баян-Өлгий,2016-05,51
Баянхонгор,2016-05,45
Булган,2016-05,18
Говь-Алтай,2016-05,34
Говьсүмбэр,2016-05,6
Дархан-Уул,2016-05,42
Дорноговь,2016-05,38
Дорнод,2016-05,56
Дундговь,2016-05,25
Завхан,2016-05,36
Орхон,2016-05,50
Сэлэнгэ,2016-05,46
Сүхбаатар,2016-05,28
Төв,2016-05,40
Увс,2016-05,44
Улаанбаатар,2016-05,617
Ховд,2016-05,35
Хэнтий,2016-05,28
Хөвсгөл,2016-05,91
Өвөрхангай,2016-05,49
Өмнөговь,2016-05,20
Архангай,2016-06,33
Баян-Өлгий,2016-06,41
Баянхонгор,2016-06,42
Булган,2016-06,24
Говь-Алтай,2016-06,22
Говьсүмбэр,2016-06,8
Дархан-Уул,2016-06,41
Дорноговь,2016-06,35
Дорнод,2016-06,50
Дундговь,2016-06,19
Завхан,2016-06,38
Орхон,2016-06,42
Сэлэнгэ,2016-06,58
Сүхбаатар,2016-06,26
Төв,2016-06,22
Увс,2016-06,43
Улаанбаатар,2016-06,549
Ховд,2016-06,40
Хэнтий,2016-06,30
Хөвсгөл,2016-06,55
Өвөрхангай,2016-06,54
Өмнөговь,2016-06,25
Архангай,2016-07,40
Баян-Өлгий,2016-07,44
Баянхонгор,2016-07,45
Булган,2016-07,29
Говь-Алтай,2016-07,29
Говьсүмбэр,2016-07,3
Дархан-Уул,2016-07,47
Дорноговь,2016-07,39
Дорнод,2016-07,36
Дундговь,2016-07,18
Завхан,2016-07,27
Орхон,2016-07,34
Сэлэнгэ,2016-07,49
Сүхбаатар,2016-07,33
Төв,2016-07,50
Увс,2016-07,38
Улаанбаатар,2016-07,557
Ховд,2016-07,35
Хэнтий,2016-07,31
Хөвсгөл,2016-07,69
Өвөрхангай,2016-07,58
Өмнөговь,2016-07,30
Архангай,2016-08,44
Баян-Өлгий,2016-08,47
Баянхонгор,2016-08,45
Булган,2016-08,26
Говь-Алтай,2016-08,33
Говьсүмбэр,2016-08,8
Дархан-Уул,2016-08,47
Дорноговь,2016-08,25
Дорнод,2016-08,47
Дундговь,2016-08,22
Завхан,2016-08,27
Орхон,2016-08,42
Сэлэнгэ,2016-08,38
Сүхбаатар,2016-08,28
Төв,2016-08,33
Увс,2016-08,30
Улаанбаатар,2016-08,599
Ховд,2016-08,27
Хэнтий,2016-08,30
Хөвсгөл,2016-08,72
Өвөрхангай,2016-08,54
Өмнөговь,2016-08,31
Архангай,2016-09,39
Баян-Өлгий,2016-09,31
Баянхонгор,2016-09,34
Булган,2016-09,36
Говь-Алтай,2016-09,19
Говьсүмбэр,2016-09,3
Дархан-Уул,2016-09,52
Дорноговь,2016-09,20
Дорнод,2016-09,39
Дундговь,2016-09,20
Завхан,2016-09,24
Орхон,2016-09,55
Сэлэнгэ,2016-09,50
Сүхбаатар,2016-09,24
Төв,2016-09,27
Увс,2016-09,41
Улаанбаатар,2016-09,593
Ховд,2016-09,29
Хэнтий,2016-09,30
Хөвсгөл,2016-09,55
Өвөрхангай,2016-09,49
Өмнөговь,2016-09,31
Архангай,2016-10,49
Баян-Өлгий,2016-10,36
Баянхонгор,2016-10,29
Булган,2016-10,24
Говь-Алтай,2016-10,17
Говьсүмбэр,2016-10,6
Дархан-Уул,2016-10,45
Дорноговь,2016-10,41
Дорнод,2016-10,38
Дундговь,2016-10,22
Завхан,2016-10,36
Орхон,2016-10,23
Сэлэнгэ,2016-10,41
Сүхбаатар,2016-10,25
Төв,2016-10,33
Увс,2016-10,27
Улаанбаатар,2016-10,575
Ховд,2016-10,26
Хэнтий,2016-10,35
Хөвсгөл,2016-10,59
Өвөрхангай,2016-10,50
Өмнөговь,2016-10,18
Архангай,2016-11,33
Баян-Өлгий,2016-11,41
Баянхонгор,2016-11,48
Булган,2016-11,30
Говь-Алтай,2016-11,25
Говьсүмбэр,2016-11,9
Дархан-Уул,2016-11,54
Дорноговь,2016-11,35
Дорнод,2016-11,49
Дундговь,2016-11,20
Завхан,2016-11,39
Орхон,2016-11,35
Сэлэнгэ,2016-11,65
Сүхбаатар,2016-11,17
Төв,2016-11,24
Увс,2016-11,33
Улаанбаатар,2016-11,588
Ховд,2016-11,31
Хэнтий,2016-11,35
Хөвсгөл,2016-11,59
Өвөрхангай,2016-11,47
Өмнөговь,2016-11,31
Архангай,2016-12,40
Баян-Өлгий,2016-12,42
Баянхонгор,2016-12,43
Булган,2016-12,26
Говь-Алтай,2016-12,21
Говьсүмбэр,2016-12,4
Дархан-Уул,2016-12,41
Дорноговь,2016-12,42
Дорнод,2016-12,39
Дундговь,2016-12,18
Завхан,2016-12,28
Орхон,2016-12,26
Сэлэнгэ,2016-12,30
Сүхбаатар,2016-12,24
Төв,2016-12,37
Увс,2016-12,36
Улаанбаатар,2016-12,583
Ховд,2016-12,41
Хэнтий,2016-12,27
Хөвсгөл,2016-12,63
Өвөрхангай,2016-12,49
Өмнөговь,2016-12,26
Архангай,2017-01,33
Баян-Өлгий,2017-01,49
Баянхонгор,2017-01,33
Булган,2017-01,24
Говь-Алтай,2017-01,22
Говьсүмбэр,2017-01,9
Дархан-Уул,2017-01,46
Дорноговь,2017-01,24
Дорнод,2017-01,35
Дундговь,2017-01,17
Завхан,2017-01,17
Орхон,2017-01,43
Сэлэнгэ,2017-01,40
Сүхбаатар,2017-01,26
Төв,2017-01,38
Увс,2017-01,26
Улаанбаатар,2017-01,687
Ховд,2017-01,34
Хэнтий,2017-01,29
Хөвсгөл,2017-01,60
Өвөрхангай,2017-01,49
Өмнөговь,2017-01,16
Архангай,2017-02,21
Баян-Өлгий,2017-02,45
Баянхонгор,2017-02,33
Булган,2017-02,19
Говь-Алтай,2017-02,17
Говьсүмбэр,2017-02,7
Дархан-Уул,2017-02,32
Дорноговь,2017-02,25
Дорнод,2017-02,30
Дундговь,2017-02,22
Завхан,2017-02,38
Орхон,2017-02,35
Сэлэнгэ,2017-02,37
Сүхбаатар,2017-02,18
Төв,2017-02,25
Увс,2017-02,36
Улаанбаатар,2017-02,499
Ховд,2017-02,33
Хэнтий,2017-02,27
Хөвсгөл,2017-02,58
Өвөрхангай,2017-02,33
Өмнөговь,2017-02,22
Архангай,2017-03,43
Баян-Өлгий,2017-03,45
Баянхонгор,2017-03,43
